ubicageo_f,rnspni1,divter1,divter2,divter3,divter4,divter5
15006,0,NA,NA,NA,NA,NA
15007,0,NA,NA,NA,NA,NA
15008,0,NA,NA,NA,NA,NA
15009,1,0,8,8,0,0
15010,0,NA,NA,NA,NA,NA
15011,0,NA,NA,NA,NA,NA
15012,0,NA,NA,NA,NA,NA
15013,1,0,0,99,0,0
15014,0,NA,NA,NA,NA,NA
15015,0,NA,NA,NA,NA,NA
15016,0,NA,NA,NA,NA,NA
15017,0,NA,NA,NA,NA,NA
15018,0,NA,NA,NA,NA,NA
15019,0,NA,NA,NA,NA,NA
15020,0,NA,NA,NA,NA,NA
15021,0,NA,NA,NA,NA,NA
15022,0,NA,NA,NA,NA,NA
15023,2,NA,NA,NA,NA,NA
15024,1,0,5,31,0,0
15025,3,NA,NA,NA,NA,NA
15026,0,NA,NA,NA,NA,NA
15027,0,NA,NA,NA,NA,NA
15028,0,NA,NA,NA,NA,NA
15029,0,NA,NA,NA,NA,NA
15030,1,0,6,0,0,0
15031,1,1,0,0,0,0
15032,0,NA,NA,NA,NA,NA
15033,1,0,0,71,0,7
15034,0,NA,NA,NA,NA,NA
15035,0,NA,NA,NA,NA,NA
15036,1,0,0,1,0,0
15037,0,NA,NA,NA,NA,NA
15038,0,NA,NA,NA,NA,NA
15039,0,NA,NA,NA,NA,NA
15040,0,NA,NA,NA,NA,NA
15041,0,NA,NA,NA,NA,NA
15042,1,0,4,4,0,0
15043,0,NA,NA,NA,NA,NA
15044,0,NA,NA,NA,NA,NA
15045,3,NA,NA,NA,NA,NA
15046,1,0,0,9,0,0
15047,0,NA,NA,NA,NA,NA
15048,0,NA,NA,NA,NA,NA
15049,1,0,0,0,1,0
15050,1,0,8,0,0,0
15051,97,NSS,NSS,NSS,NSS,NSS
15052,0,NA,NA,NA,NA,NA
15053,1,0,0,9,0,0
15054,1,0,0,15,0,0
15055,9,NSS,NSS,NSS,NSS,NSS
15056,0,NA,NA,NA,NA,NA
15057,1,0,0,0,0,2
15058,1,4,15,100,0,10953
15059,0,NA,NA,NA,NA,NA
15060,1,NA,NA,NA,NA,NA
15061,0,NA,NA,NA,NA,NA
15062,0,NA,NA,NA,NA,NA
15063,0,NA,NA,NA,NA,NA
15064,0,NA,NA,NA,NA,NA
15065,3,NA,NA,NA,NA,NA
15066,0,NA,NA,NA,NA,NA
15067,0,NA,NA,NA,NA,NA
15068,0,NA,NA,NA,NA,NA
15069,0,NA,NA,NA,NA,NA
15070,0,NA,NA,NA,NA,NA
15071,0,NA,NA,NA,NA,NA
15072,0,NA,NA,NA,NA,NA
15073,3,NA,NA,NA,NA,NA
15074,0,NA,NA,NA,NA,NA
15075,0,NA,NA,NA,NA,NA
15076,0,NA,NA,NA,NA,NA
15077,0,NA,NA,NA,NA,NA
15078,0,NA,NA,NA,NA,NA
15079,3,NA,NA,NA,NA,NA
15080,0,NA,NA,NA,NA,NA
15081,1,0,10,58,0,0
15082,0,NA,NA,NA,NA,NA
15083,0,NA,NA,NA,NA,NA
15084,0,NA,NA,NA,NA,NA
15085,0,NA,NA,NA,NA,NA
15086,0,NA,NA,NA,NA,NA
15087,1,0,0,14,0,0
15088,0,NA,NA,NA,NA,NA
15089,0,NA,NA,NA,NA,NA
15090,0,NA,NA,NA,NA,NA
15091,1,0,4,0,0,0
15092,3,NA,NA,NA,NA,NA
15093,0,NA,NA,NA,NA,NA
15094,0,NA,NA,NA,NA,NA
15095,2,NA,NA,NA,NA,NA
15096,1,0,9,0,0,0
15097,0,NA,NA,NA,NA,NA
15098,0,NA,NA,NA,NA,NA
15099,0,NA,NA,NA,NA,NA
15100,0,NA,NA,NA,NA,NA
15101,0,NA,NA,NA,NA,NA
15102,0,NA,NA,NA,NA,NA
15103,0,NA,NA,NA,NA,NA
15104,0,NA,NA,NA,NA,NA
15105,0,NA,NA,NA,NA,NA
15106,1,0,0,0,0,280
15107,0,NA,NA,NA,NA,NA
15108,0,NA,NA,NA,NA,NA
15109,0,NA,NA,NA,NA,NA
15110,0,NA,NA,NA,NA,NA
15111,0,NA,NA,NA,NA,NA
15112,0,NA,NA,NA,NA,NA
15113,0,NA,NA,NA,NA,NA
15114,0,NA,NA,NA,NA,NA
15115,0,NA,NA,NA,NA,NA
15116,0,NA,NA,NA,NA,NA
15117,0,NA,NA,NA,NA,NA
15118,0,NA,NA,NA,NA,NA
15119,0,NA,NA,NA,NA,NA
15120,3,NA,NA,NA,NA,NA
15121,1,0,10,0,0,0
15122,1,0,0,0,0,1
15123,0,NA,NA,NA,NA,NA
15124,3,NA,NA,NA,NA,NA
15125,0,NA,NA,NA,NA,NA
16001,0,NA,NA,NA,NA,NA
16002,0,NA,NA,NA,NA,NA
16003,0,NA,NA,NA,NA,NA
16004,0,NA,NA,NA,NA,NA
16005,0,NA,NA,NA,NA,NA
16006,0,NA,NA,NA,NA,NA
16007,0,NA,NA,NA,NA,NA
16008,0,NA,NA,NA,NA,NA
16009,0,NA,NA,NA,NA,NA
16010,0,NA,NA,NA,NA,NA
16011,0,NA,NA,NA,NA,NA
16012,0,NA,NA,NA,NA,NA
16013,0,NA,NA,NA,NA,NA
16014,0,NA,NA,NA,NA,NA
16015,0,NA,NA,NA,NA,NA
16016,0,NA,NA,NA,NA,NA
16017,0,NA,NA,NA,NA,NA
16018,0,NA,NA,NA,NA,NA
16019,0,NA,NA,NA,NA,NA
16020,0,NA,NA,NA,NA,NA
16021,2,NA,NA,NA,NA,NA
16022,1,0,4,0,0,0
16023,0,NA,NA,NA,NA,NA
16024,0,NA,NA,NA,NA,NA
16025,0,NA,NA,NA,NA,NA
16026,0,NA,NA,NA,NA,NA
16027,0,NA,NA,NA,NA,NA
16028,0,NA,NA,NA,NA,NA
16029,0,NA,NA,NA,NA,NA
16030,0,NA,NA,NA,NA,NA
16031,0,NA,NA,NA,NA,NA
16032,0,NA,NA,NA,NA,NA
16033,0,NA,NA,NA,NA,NA
16034,0,NA,NA,NA,NA,NA
16035,0,NA,NA,NA,NA,NA
16036,2,NA,NA,NA,NA,NA
16037,0,NA,NA,NA,NA,NA
16038,0,NA,NA,NA,NA,NA
16039,0,NA,NA,NA,NA,NA
16040,0,NA,NA,NA,NA,NA
16041,0,NA,NA,NA,NA,NA
16042,0,NA,NA,NA,NA,NA
16043,3,NA,NA,NA,NA,NA
16044,0,NA,NA,NA,NA,NA
16045,0,NA,NA,NA,NA,NA
16046,0,NA,NA,NA,NA,NA
16047,0,NA,NA,NA,NA,NA
16048,1,1,1,4,0,0
16049,0,NA,NA,NA,NA,NA
16050,0,NA,NA,NA,NA,NA
16051,98,ND,ND,ND,ND,ND
16052,2,NA,NA,NA,NA,NA
16053,1,0,7,69,0,0
16054,2,NA,NA,NA,NA,NA
16055,0,NA,NA,NA,NA,NA
16056,2,NA,NA,NA,NA,NA
16057,0,NA,NA,NA,NA,NA
16058,0,NA,NA,NA,NA,NA
16059,0,NA,NA,NA,NA,NA
16060,0,NA,NA,NA,NA,NA
16061,0,NA,NA,NA,NA,NA
16062,1,0,0,1,0,0
16063,0,NA,NA,NA,NA,NA
16064,0,NA,NA,NA,NA,NA
16065,0,NA,NA,NA,NA,NA
16066,1,0,6,0,0,0
