ubicageo_f,rnspni1,dirurl1
13037,0,NO APLICA
13038,0,NO APLICA
13039,0,NO APLICA
13040,0,NO APLICA
13041,0,NO APLICA
13042,0,NO APLICA
13043,0,NO APLICA
13044,0,NO APLICA
13045,0,NO APLICA
13046,0,NO APLICA
13047,0,NO APLICA
13048,0,NO APLICA
13049,0,NO APLICA
13050,0,NO APLICA
13051,2,NO APLICA
13052,2,NO APLICA
13053,0,NO APLICA
13054,0,NO APLICA
13055,0,NO APLICA
13056,3,NO APLICA
13057,0,NO APLICA
13058,0,NO APLICA
13059,0,NO APLICA
13060,0,NO APLICA
13061,0,NO APLICA
13062,0,NO APLICA
13063,0,NO APLICA
13064,0,NO APLICA
13065,0,NO APLICA
13066,0,NO APLICA
13067,0,NO APLICA
13068,0,NO APLICA
13069,0,NO APLICA
13070,3,NO APLICA
13071,0,NO APLICA
13072,0,NO APLICA
13073,0,NO APLICA
13074,2,NO APLICA
13075,0,NO APLICA
13076,0,NO APLICA
13077,0,
13078,0,NO APLICA
13079,0,NO APLICA
13080,0,NO APLICA
13081,0,NO APLICA
13082,0,NO APLICA
13083,0,NO APLICA
13084,0,NO APLICA
14001,0,NO APLICA
14002,0,NO APLICA
14003,0,NO APLICA
14004,0,NO APLICA
14005,3,NO APLICA
14006,0,NO APLICA
14007,0,NO APLICA
14008,1,NO APLICA
14009,0,NO APLICA
14010,0,NO APLICA
14011,0,NO APLICA
14012,0,NO APLICA
14013,0,NO APLICA
14014,0,NO APLICA
14015,2,NO APLICA
14016,0,NO APLICA
14017,0,NO APLICA
14018,0,NO APLICA
14019,0,NO APLICA
14020,0,NO APLICA
14021,0,NO APLICA
14022,97,NO IDENTIFICADO
14023,2,NO APLICA
14024,0,NO APLICA
14025,0,NO APLICA
14026,0,NO APLICA
14027,0,NO APLICA
14028,0,NO APLICA
14029,0,NO APLICA
14030,0,NO APLICA
14031,0,NO APLICA
14032,0,NO APLICA
14033,0,NO APLICA
14034,0,NO APLICA
14035,0,NO APLICA
14036,0,NO APLICA
14037,0,NO APLICA
14038,0,NO APLICA
14039,0,NO APLICA
14040,0,NO APLICA
14041,0,NO APLICA
14042,0,NO APLICA
14043,0,NO APLICA
14044,0,NO APLICA
14045,0,NO APLICA
14046,0,NO APLICA
14047,0,NO APLICA
14048,0,NO APLICA
14049,0,NO APLICA
14050,0,NO APLICA
14051,0,NO APLICA
14052,0,NO APLICA
14053,0,NO APLICA
14054,0,NO APLICA
14055,0,NO APLICA
14056,0,NO APLICA
14057,0,NO APLICA
14058,0,NO APLICA
14059,0,NO APLICA
14060,0,NO APLICA
14061,0,NO APLICA
14062,0,NO APLICA
14063,0,NO APLICA
14064,0,NO APLICA
14065,0,NO APLICA
14066,0,NO APLICA
14067,0,NO APLICA
14068,0,NO APLICA
14069,0,NO APLICA
14070,3,NO APLICA
14071,0,NO APLICA
14072,0,NO APLICA
14073,97,NO IDENTIFICADO
14074,0,NO APLICA
14075,0,NO APLICA
14076,0,NO APLICA
14077,0,NO APLICA
14078,0,NO APLICA
14079,0,NO APLICA
14080,0,NO APLICA
14081,0,NO APLICA
14082,0,NO APLICA
14083,0,NO APLICA
14084,0,NO APLICA
14085,0,NO APLICA
14086,0,NO APLICA
14087,0,NO APLICA
14088,0,NO APLICA
14089,0,NO APLICA
14090,0,NO APLICA
14091,0,NO APLICA
14092,0,NO APLICA
14093,0,NO APLICA
14094,0,NO APLICA
14095,0,NO APLICA
14096,0,NO APLICA
14097,3,NO APLICA
14098,2,NO APLICA
14099,0,NO APLICA
14100,0,NO APLICA
14101,0,NO APLICA
14102,0,NO APLICA
14103,0,NO APLICA
14104,0,NO APLICA
14105,0,NO APLICA
14106,0,NO APLICA
14107,0,NO APLICA
14108,0,NO APLICA
14109,3,NO APLICA
14110,0,NO APLICA
14111,0,NO APLICA
14112,0,NO APLICA
14113,0,NO APLICA
14114,0,NO APLICA
14115,0,NO APLICA
14116,0,NO APLICA
14117,0,NO APLICA
14118,0,NO APLICA
14119,0,NO APLICA
14120,3,NO APLICA
14121,0,NO APLICA
14122,0,NO APLICA
14123,0,NO APLICA
14124,1,https://www.google.com/maps/d/u/0/viewer?hl=es-419&mid=15SvB3Gxx0tPcIklXZ-upRVLbvunatUQ&ll=20.642797335847956%2C-103.076699&z=11
14125,0,NO APLICA
15001,0,NO APLICA
15002,3,NO APLICA
15003,0,NO APLICA
15004,0,NO APLICA
15005,0,NO APLICA
15006,0,NO APLICA
15007,0,NO APLICA
15008,0,NO APLICA
15009,1,https://amecameca.gob.mx/ubica-tu-patrulla/
15010,0,NO APLICA
15011,0,NO APLICA
15012,0,NO APLICA
15013,3,NO APLICA
15014,0,NO APLICA
15015,0,NO APLICA
15016,0,NO APLICA
15017,0,NO APLICA
15018,0,NO APLICA
15019,0,NO APLICA
15020,0,NO APLICA
15021,0,NO APLICA
15022,0,NO APLICA
15023,0,NO APLICA
15024,3,NO APLICA
15025,0,NO APLICA
15026,0,NO APLICA
15027,0,NO APLICA
15028,0,NO APLICA
15029,0,NO APLICA
15030,2,NO APLICA
15031,2,NO APLICA
15032,0,NO APLICA
15033,1,NO APLICA
15034,0,NO APLICA
15035,0,NO APLICA
15036,2,NO APLICA
15037,0,NO APLICA
15038,0,NO APLICA
15039,0,NO APLICA
15040,0,NO APLICA
15041,0,NO APLICA
15042,2,NO APLICA
15043,0,NO APLICA
15044,0,NO APLICA
15045,0,NO APLICA
15046,3,NO APLICA
15047,0,NO APLICA
15048,0,NO APLICA
15049,3,NO APLICA
15050,3,NO APLICA
15051,97,NO IDENTIFICADO
15052,0,NO APLICA
15053,3,NO APLICA
15054,1,NO APLICA
15055,97,NO IDENTIFICADO
15056,0,NO APLICA
15057,1,https://naucalpan.gob.mx/wp-content/uploads/2020/07/Gaceta-Municipal-N%C2%B0-25..pdf
15058,1,http://www.seguridadneza.gob.mx/cuadrantes.html
15059,0,NO APLICA
15060,3,NO APLICA
15061,0,NO APLICA
15062,0,NO APLICA
