ubicageo_f,rnsnni1,totalca1
12044,0,NA
12045,0,NA
12046,0,NA
12047,0,NA
12048,0,NA
12049,0,NA
12050,0,NA
12051,2,NA
12052,0,NA
12053,0,NA
12054,0,NA
12055,0,NA
12056,0,NA
12057,0,NA
12058,0,NA
12059,0,NA
12060,0,NA
12061,0,NA
12062,0,NA
12063,0,NA
12064,0,NA
12065,0,NA
12066,0,NA
12067,0,NA
12068,0,NA
12069,0,NA
12070,0,NA
12071,0,NA
12072,0,NA
12073,0,NA
12074,0,NA
12075,0,NA
12076,0,NA
12077,0,NA
12078,0,NA
12079,0,NA
12080,0,NA
12081,0,NA
12082,0,NA
12083,0,NA
12084,0,NA
12085,0,NA
13001,0,NA
13002,0,NA
13003,1,6
13004,0,NA
13005,0,NA
13006,2,NA
13007,1,3
13008,0,NA
13009,0,NA
13010,0,NA
13011,0,NA
13012,0,NA
13013,1,1
13014,0,NA
13015,0,NA
13016,1,10
13017,1,1
13018,0,NA
13019,0,NA
13020,0,NA
13021,0,NA
13022,0,NA
13023,2,NA
13024,0,NA
13025,0,NA
13026,0,NA
13027,0,NA
13028,0,NA
13029,0,NA
13030,1,15
13031,0,NA
13032,0,NA
13033,0,NA
13034,0,NA
13035,0,NA
13036,0,NA
13037,0,NA
13038,0,NA
13039,0,NA
13040,0,NA
13041,0,NA
13042,0,NA
13043,0,NA
13044,0,NA
13045,0,NA
13046,0,NA
13047,0,NA
13048,0,NA
13049,0,NA
13050,0,NA
13051,1,302
13052,1,1
13053,0,NA
13054,0,NA
13055,0,NA
13056,1,30
13057,0,NA
13058,0,NA
13059,0,NA
13060,0,NA
13061,0,NA
13062,0,NA
13063,1,1
13064,0,NA
13065,0,NA
13066,0,NA
13067,2,NA
13068,0,NA
13069,2,NA
13070,1,3
13071,0,NA
13072,0,NA
13073,0,NA
13074,1,4
13075,0,NA
13076,0,NA
13077,0,NA
13078,0,NA
13079,0,NA
13080,0,NA
13081,0,NA
13082,0,NA
13083,0,NA
13084,0,NA
14001,0,NA
14002,0,NA
14003,2,NA
14004,0,NA
14005,1,2
14006,0,NA
14007,0,NA
14008,9,NSS
14009,0,NA
14010,0,NA
14011,0,NA
14012,0,NA
14013,0,NA
14014,0,NA
14015,2,NA
14016,0,NA
14017,0,NA
14018,0,NA
14019,0,NA
14020,0,NA
14021,0,NA
14022,2,NA
14023,1,12
14024,0,NA
14025,0,NA
14026,0,NA
14027,0,NA
14028,0,NA
14029,0,NA
14030,0,NA
14031,0,NA
14032,0,NA
14033,0,NA
14034,0,NA
14035,0,NA
14036,0,NA
14037,0,NA
14038,2,NA
14039,1,285
14040,0,NA
14041,0,NA
14042,0,NA
14043,0,NA
14044,9,NSS
14045,0,NA
14046,0,NA
14047,0,NA
14048,1,1
14049,0,NA
14050,0,NA
14051,0,NA
14052,0,NA
14053,2,NA
14054,0,NA
14055,0,NA
14056,0,NA
14057,0,NA
14058,0,NA
14059,0,NA
14060,0,NA
14061,0,NA
14062,0,NA
14063,2,NA
14064,0,NA
14065,0,NA
14066,0,NA
14067,1,150
14068,0,NA
14069,0,NA
14070,2,NA
14071,0,NA
14072,0,NA
14073,2,NA
14074,0,NA
14075,0,NA
14076,0,NA
14077,0,NA
14078,0,NA
14079,0,NA
14080,0,NA
14081,0,NA
14082,0,NA
14083,0,NA
14084,2,NA
14085,0,NA
14086,0,NA
14087,0,NA
14088,0,NA
14089,0,NA
14090,0,NA
14091,0,NA
14092,0,NA
14093,0,NA
14094,0,NA
14095,2,NA
14096,0,NA
14097,1,20
14098,2,NA
14099,0,NA
14100,0,NA
14101,0,NA
14102,0,NA
14103,0,NA
14104,0,NA
14105,0,NA
14106,0,NA
14107,0,NA
14108,0,NA
14109,9,NSS
14110,0,NA
14111,0,NA
14112,0,NA
14113,0,NA
14114,0,NA
14115,0,NA
14116,0,NA
14117,0,NA
14118,0,NA
14119,0,NA
14120,2,NA
14121,0,NA
14122,0,NA
14123,0,NA
14124,1,1
14125,0,NA
15001,0,NA
15002,1,10
15003,0,NA
15004,0,NA
15005,0,NA
15006,0,NA
15007,0,NA
15008,0,NA
15009,1,114
15010,0,NA
15011,0,NA
15012,0,NA
15013,1,139
15014,0,NA
15015,0,NA
15016,0,NA
15017,0,NA
15018,0,NA
15019,0,NA
15020,0,NA
15021,0,NA
15022,0,NA
15023,1,3
15024,1,46
15025,2,NA
15026,0,NA
15027,0,NA
15028,0,NA
15029,0,NA
15030,1,4
15031,2,NA
15032,0,NA
15033,1,400
15034,0,NA
15035,0,NA
15036,1,11
15037,0,NA
15038,0,NA
15039,0,NA
15040,0,NA
15041,0,NA
15042,9,NSS
15043,0,NA
15044,0,NA
15045,2,NA
15046,1,NSS
15047,0,NA
15048,0,NA
15049,9,NSS
15050,1,1
15051,97,NSS
15052,0,NA
15053,1,22
15054,1,148
15055,1,3
15056,0,NA
15057,1,162
15058,1,10451
15059,0,NA
15060,1,175
15061,0,NA
15062,0,NA
15063,0,NA
15064,0,NA
15065,1,2
15066,0,NA
15067,0,NA
15068,0,NA
15069,0,NA
15070,0,NA
15071,0,NA
15072,0,NA
15073,2,NA
15074,0,NA
15075,0,NA
15076,0,NA
15077,0,NA
15078,0,NA
15079,2,NA
15080,0,NA
15081,1,690
15082,0,NA
15083,0,NA
15084,0,NA
15085,0,NA
15086,0,NA
15087,1,64
15088,0,NA
15089,0,NA
15090,0,NA
15091,1,1
15092,2,NA
15093,0,NA
15094,0,NA
15095,2,NA
15096,1,9
15097,0,NA
15098,0,NA
15099,0,NA
15100,0,NA
15101,0,NA
15102,0,NA
15103,0,NA
15104,0,NA
15105,0,NA
15106,1,10
15107,0,NA
15108,0,NA
15109,0,NA
15110,0,NA
15111,0,NA
15112,0,NA
15113,0,NA
15114,0,NA
15115,0,NA
15116,0,NA
15117,0,NA
15118,0,NA
15119,0,NA
15120,2,NA
15121,1,50
15122,1,39
15123,0,NA
15124,1,3
15125,0,NA
16001,0,NA
16002,0,NA
16003,0,NA
16004,0,NA
16005,0,NA
16006,0,NA
16007,0,NA
16008,0,NA
16009,0,NA
16010,0,NA
16011,0,NA
16012,0,NA
16013,0,NA
16014,0,NA
16015,0,NA
16016,0,NA
16017,0,NA
16018,0,NA
16019,0,NA
16020,0,NA
16021,2,NA
16022,1,4
16023,0,NA
16024,0,NA
16025,0,NA
16026,0,NA
