ubicageo_f,rnspni1,anios_a,nombre1
16021,2,NA,NO APLICA
16022,2,NA,NO APLICA
16023,2,NA,NO APLICA
16024,2,NA,NO APLICA
16025,2,NA,NO APLICA
16026,3,NA,NO APLICA
16027,2,NA,NO APLICA
16028,2,NA,NO APLICA
16029,3,NA,NO APLICA
16030,3,NA,NO APLICA
16031,2,NA,NO APLICA
16032,2,NA,NO APLICA
16033,3,NA,NO APLICA
16034,2,NA,NO APLICA
16035,2,NA,NO APLICA
16036,3,NA,NO APLICA
16037,3,NA,NO APLICA
16038,3,NA,NO APLICA
16039,3,NA,NO APLICA
16040,3,NA,NO APLICA
16041,3,NA,NO APLICA
16042,2,NA,NO APLICA
16043,3,NA,NO APLICA
16044,2,NA,NO APLICA
16045,2,NA,NO APLICA
16046,2,NA,NO APLICA
16047,3,NA,NO APLICA
16048,2,NA,NO APLICA
16049,3,NA,NO APLICA
16050,2,NA,NO APLICA
16051,98,ND,NO DISPONIBLE
16052,2,NA,NO APLICA
16053,3,NA,NO APLICA
16054,3,NA,NO APLICA
16055,2,NA,NO APLICA
16056,3,NA,NO APLICA
16057,2,NA,NO APLICA
16058,3,NA,NO APLICA
16059,3,NA,NO APLICA
16060,2,NA,NO APLICA
16061,3,NA,NO APLICA
16062,2,NA,NO APLICA
16063,2,NA,NO APLICA
16064,2,NA,NO APLICA
16065,3,NA,NO APLICA
16066,2,NA,NO APLICA
16067,2,NA,NO APLICA
16068,2,NA,NO APLICA
16069,3,NA,NO APLICA
16070,2,NA,NO APLICA
16071,3,NA,NO APLICA
16072,9,NSS,NO IDENTIFICADO
16073,3,NA,NO APLICA
16074,2,NA,NO APLICA
16075,2,NA,NO APLICA
16076,2,NA,NO APLICA
16077,2,NA,NO APLICA
16078,2,NA,NO APLICA
16079,3,NA,NO APLICA
16080,3,NA,NO APLICA
16081,2,NA,NO APLICA
16082,3,NA,NO APLICA
16083,2,NA,NO APLICA
16084,2,NA,NO APLICA
16085,2,NA,NO APLICA
16086,2,NA,NO APLICA
16087,2,NA,NO APLICA
16088,2,NA,NO APLICA
16089,3,NA,NO APLICA
16090,3,NA,NO APLICA
16091,2,NA,NO APLICA
16092,2,NA,NO APLICA
16093,3,NA,NO APLICA
16094,2,NA,NO APLICA
16095,2,NA,NO APLICA
16096,2,NA,NO APLICA
16097,2,NA,NO APLICA
16098,2,NA,NO APLICA
16099,2,NA,NO APLICA
16100,3,NA,NO APLICA
16101,2,NA,NO APLICA
16102,2,NA,NO APLICA
16103,2,NA,NO APLICA
16104,2,NA,NO APLICA
16105,2,NA,NO APLICA
16106,2,NA,NO APLICA
16107,2,NA,NO APLICA
16108,2,NA,NO APLICA
16109,3,NA,NO APLICA
16110,3,NA,NO APLICA
16111,2,NA,NO APLICA
16112,2,NA,NO APLICA
16113,2,NA,NO APLICA
17001,2,NA,NO APLICA
17002,3,NA,NO APLICA
17003,3,NA,NO APLICA
17004,2,NA,NO APLICA
17005,2,NA,NO APLICA
17006,3,NA,NO APLICA
17007,2,NA,NO APLICA
17008,3,NA,NO APLICA
17009,2,NA,NO APLICA
17010,3,NA,NO APLICA
17011,3,NA,NO APLICA
17012,2,NA,NO APLICA
17013,3,NA,NO APLICA
17014,2,NA,NO APLICA
17015,3,NA,NO APLICA
17016,2,NA,NO APLICA
17017,2,NA,NO APLICA
17018,2,NA,NO APLICA
17019,2,NA,NO APLICA
17020,3,NA,NO APLICA
17021,3,NA,NO APLICA
17022,2,NA,NO APLICA
17023,2,NA,NO APLICA
17024,3,NA,NO APLICA
17025,3,NA,NO APLICA
17026,3,NA,NO APLICA
17027,2,NA,NO APLICA
17028,2,NA,NO APLICA
17029,2,NA,NO APLICA
17030,3,NA,NO APLICA
17031,0,NA,NO APLICA
17032,3,NA,NO APLICA
17033,2,NA,NO APLICA
17034,2,NA,NO APLICA
17035,0,NA,NO APLICA
17036,3,NA,NO APLICA
18001,2,NA,NO APLICA
18002,3,NA,NO APLICA
18003,2,NA,NO APLICA
18004,3,NA,NO APLICA
18005,2,NA,NO APLICA
18006,2,NA,NO APLICA
18007,3,NA,NO APLICA
18008,3,NA,NO APLICA
18009,3,NA,NO APLICA
18010,3,NA,NO APLICA
18011,2,NA,NO APLICA
18012,3,NA,NO APLICA
18013,3,NA,NO APLICA
18014,3,NA,NO APLICA
18015,3,NA,NO APLICA
18016,3,NA,NO APLICA
18017,3,NA,NO APLICA
18018,2,NA,NO APLICA
18019,3,NA,NO APLICA
18020,2,NA,NO APLICA
19001,3,NA,NO APLICA
19002,0,NA,NO APLICA
19003,3,NA,NO APLICA
19004,3,NA,NO APLICA
19005,2,NA,NO APLICA
19006,3,NA,NO APLICA
19007,3,NA,NO APLICA
19008,2,NA,NO APLICA
19009,2,NA,NO APLICA
19010,3,NA,NO APLICA
19011,3,NA,NO APLICA
19012,3,NA,NO APLICA
19013,2,NA,NO APLICA
19014,3,NA,NO APLICA
19015,0,NA,NO APLICA
19016,2,NA,NO APLICA
19017,2,NA,NO APLICA
19018,3,NA,NO APLICA
19019,3,NA,NO APLICA
19020,2,NA,NO APLICA
19021,1,2022,POLICIA CIBERNETICA DEL MUNICIPIO DE GENERAL ESCOBEDO
19022,3,NA,NO APLICA
19023,0,NA,NO APLICA
19024,3,NA,NO APLICA
19025,3,NA,NO APLICA
19026,3,NA,NO APLICA
19027,3,NA,NO APLICA
19028,3,NA,NO APLICA
19029,2,NA,NO APLICA
19030,3,NA,NO APLICA
19031,3,NA,NO APLICA
19032,3,NA,NO APLICA
19033,2,NA,NO APLICA
19034,3,NA,NO APLICA
19035,3,NA,NO APLICA
19036,3,NA,NO APLICA
19037,3,NA,NO APLICA
19038,3,NA,NO APLICA
19039,2,NA,NO APLICA
19040,0,NA,NO APLICA
19041,3,NA,NO APLICA
19042,3,NA,NO APLICA
19043,2,NA,NO APLICA
19044,3,NA,NO APLICA
19045,2,NA,NO APLICA
19046,2,NA,NO APLICA
19047,9,NSS,NO IDENTIFICADO
19048,2,NA,NO APLICA
19049,3,NA,NO APLICA
19050,0,NA,NO APLICA
19051,3,NA,NO APLICA
20001,3,NA,NO APLICA
20002,2,NA,NO APLICA
20003,3,NA,NO APLICA
20004,3,NA,NO APLICA
20005,3,NA,NO APLICA
20006,3,NA,NO APLICA
20007,3,NA,NO APLICA
20008,3,NA,NO APLICA
20009,3,NA,NO APLICA
20010,3,NA,NO APLICA
20011,3,NA,NO APLICA
20012,3,NA,NO APLICA
20013,3,NA,NO APLICA
20014,3,NA,NO APLICA
20015,3,NA,NO APLICA
20016,3,NA,NO APLICA
20017,3,NA,NO APLICA
20018,3,NA,NO APLICA
20019,3,NA,NO APLICA
20020,3,NA,NO APLICA
20021,3,NA,NO APLICA
20022,3,NA,NO APLICA
20023,3,NA,NO APLICA
20024,3,NA,NO APLICA
20025,3,NA,NO APLICA
20026,3,NA,NO APLICA
20027,3,NA,NO APLICA
20028,3,NA,NO APLICA
20029,3,NA,NO APLICA
20030,3,NA,NO APLICA
20031,3,NA,NO APLICA
20032,3,NA,NO APLICA
20033,3,NA,NO APLICA
20034,3,NA,NO APLICA
20035,3,NA,NO APLICA
20036,3,NA,NO APLICA
20037,3,NA,NO APLICA
20038,3,NA,NO APLICA
20039,3,NA,NO APLICA
20040,3,NA,NO APLICA
20041,3,NA,NO APLICA
20042,3,NA,NO APLICA
20043,3,NA,NO APLICA
20044,3,NA,NO APLICA
20045,3,NA,NO APLICA
20046,3,NA,NO APLICA
20047,3,NA,NO APLICA
20048,3,NA,NO APLICA
20049,3,NA,NO APLICA
20050,3,NA,NO APLICA
20051,3,NA,NO APLICA
20052,2,NA,NO APLICA
20053,3,NA,NO APLICA
20054,3,NA,NO APLICA
20055,3,NA,NO APLICA
20056,3,NA,NO APLICA
20057,3,NA,NO APLICA
20058,3,NA,NO APLICA
20059,3,NA,NO APLICA
20060,3,NA,NO APLICA
20061,3,NA,NO APLICA
20062,3,NA,NO APLICA
20063,3,NA,NO APLICA
20064,3,NA,NO APLICA
20065,3,NA,NO APLICA
20066,2,NA,NO APLICA
20067,2,NA,NO APLICA
20068,2,NA,NO APLICA
20069,3,NA,NO APLICA
20070,3,NA,NO APLICA
20071,2,NA,NO APLICA
20072,3,NA,NO APLICA
20073,3,NA,NO APLICA
20074,3,NA,NO APLICA
20075,3,NA,NO APLICA
20076,3,NA,NO APLICA
20077,3,NA,NO APLICA
20078,3,NA,NO APLICA
20079,2,NA,NO APLICA
20080,3,NA,NO APLICA
20081,3,NA,NO APLICA
20082,3,NA,NO APLICA
20083,3,NA,NO APLICA
20084,3,NA,NO APLICA
20085,2,NA,NO APLICA
20086,3,NA,NO APLICA
20087,2,NA,NO APLICA
20088,3,NA,NO APLICA
20089,3,NA,NO APLICA
20090,3,NA,NO APLICA
20091,2,NA,NO APLICA
20092,3,NA,NO APLICA
20093,3,NA,NO APLICA
20094,3,NA,NO APLICA
20095,3,NA,NO APLICA
20096,3,NA,NO APLICA
20097,3,NA,NO APLICA
20098,3,NA,NO APLICA
20099,3,NA,NO APLICA
20100,3,NA,NO APLICA
20101,3,NA,NO APLICA
20102,3,NA,NO APLICA
20103,3,NA,NO APLICA
20104,3,NA,NO APLICA
20105,3,NA,NO APLICA
20106,3,NA,NO APLICA
20107,3,NA,NO APLICA
20108,3,NA,NO APLICA
20109,3,NA,NO APLICA
20110,3,NA,NO APLICA
20111,3,NA,NO APLICA
20112,3,NA,NO APLICA
20113,3,NA,NO APLICA
20114,3,NA,NO APLICA
20115,3,NA,NO APLICA
20116,3,NA,NO APLICA
20117,3,NA,NO APLICA
20118,3,NA,NO APLICA
20119,3,NA,NO APLICA
20120,3,NA,NO APLICA
20121,3,NA,NO APLICA
20122,3,NA,NO APLICA
20123,3,NA,NO APLICA
20124,3,NA,NO APLICA
20125,3,NA,NO APLICA
20126,3,NA,NO APLICA
20127,3,NA,NO APLICA
20128,3,NA,NO APLICA
20129,3,NA,NO APLICA
20130,3,NA,NO APLICA
20131,3,NA,NO APLICA
20132,3,NA,NO APLICA
20133,3,NA,NO APLICA
