ubicageo_f,aniorefe_b,elinsp1,elinsp2,elinsp3,elinsp4,elinsp5,elinsp6,elinsp7,elinsp8,elinsp9
8045,1,,,,,,,,1,
8045,2,,,,,,,,1,
8046,1,,,,,,,,1,
8046,2,,,,,,,,1,
8047,1,,,,,,,,1,
8047,2,,,,,,,,1,
8048,1,,,,,,,,1,
8048,2,,,,,,,,1,
8049,1,,,,,,,,1,
8049,2,,,,,,,,1,
8050,1,,,,,,,,1,
8050,2,,,,,,,,1,
8051,1,,,,,,,,1,
8051,2,,,,,,,,1,
8052,1,,,,,,,,,1
8052,2,,,,,,,,,1
8053,1,,,,,,,,1,
8053,2,,,,,,,,1,
8054,1,,,,,,,,1,
8054,2,,,,,,,,1,
8055,1,,,,,,,,1,
8055,2,,,,,,,,1,
8056,1,,,,,,,,,1
8056,2,,,,,,,,,1
8057,1,,,,,,,,1,
8057,2,,,,,,,,1,
8058,1,,,,,,,,,1
8058,2,,,,,,,,,1
8059,1,,,,,,,,1,
8059,2,,,,,,,,1,
8060,1,1,,,,,,,,
8060,2,1,,,,,,,,
8061,1,,,,,,,,1,
8061,2,,,,,,,,1,
8062,1,,,,,,,,1,
8062,2,,,,,,,,1,
8063,1,,,,,,,,,1
8063,2,,,,,,,,,1
8064,1,,,,,,,,1,
8064,2,,,,,,,,1,
8065,1,,,,,,,,1,
8065,2,,,,,,,,1,
8066,1,,,,,,,,1,
8066,2,,,,,,,,1,
8067,1,,,,,,,,,1
8067,2,,,,,,,,,1
9002,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
9002,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
9003,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
9003,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
9004,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
9004,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
9005,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
9005,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
9006,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
9006,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
9007,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
9007,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
9008,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
9008,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
9009,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
9009,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
9010,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
9010,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
9011,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
9011,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
9012,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
9012,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
9013,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
9013,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
9014,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
9014,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
9015,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
9015,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
9016,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
9016,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
9017,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
9017,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
10001,1,,,,,,,,1,
10001,2,,,,,,,,1,
10002,1,,,,,,,,1,
10002,2,,,,,,,,1,
10003,1,,,,,,,,1,
10003,2,,,,,,,,1,
10004,1,,,,,,,,1,
10004,2,,,,,,,,1,
10005,1,1,,,,,,,,
10005,2,1,,,,,,,,
10006,1,,,,,,,,1,
10006,2,,,,,,,,1,
10007,1,1,,,,1,,,,
10007,2,1,,,,1,,,,
10008,1,,,,,,,,1,
10008,2,,,,,,,,1,
10009,1,,,,,,,,1,
10009,2,,,,,,,,1,
10010,1,,,,,,,,1,
10010,2,,,,,,,,1,
10011,1,,,,,,,,1,
10011,2,,,,,,,,1,
10012,1,1,,,,,,,,
10012,2,,,,,,,,1,
10013,1,,,,,,,,1,
10013,2,,,,,,,,1,
10014,1,,,,,,,,1,
10014,2,,,,,,,,1,
10015,1,,,,,,,,1,
10015,2,,,,,,,,1,
10016,1,,,,,,,,,1
10016,2,,,,,,,,,1
10017,1,,,,,,,,,1
10017,2,,,,,,,,,1
10018,1,,,,,,,,,1
10018,2,,,,,,,,,1
10019,1,,,,,,,,1,
10019,2,,,,,,,,1,
10020,1,,,,,,,,1,
10020,2,,,,,,,,1,
10021,1,,,,,,,,,1
10021,2,,,,,,,,,1
10022,1,,,,,,,,,1
10022,2,,,,,,,,,1
10023,1,,1,,,,,,,
10023,2,,1,,,,,,,
10024,1,,,,,,,,,1
10024,2,,,,,,,,,1
10025,1,,,,,,,,1,
10025,2,,,,,,,,1,
10026,1,,,,,,,,1,
10026,2,,,,,,,,1,
10027,1,,,,,,,,1,
10027,2,,,,,,,,1,
10028,1,,,,,,,,1,
10028,2,,,,,,,,1,
10029,1,,,,,,,,1,
10029,2,,,,,,,,1,
10030,1,,,,,,,,1,
10030,2,,,,,,,,1,
10031,1,1,1,,,,,,,
10031,2,1,1,,,,,,,
10032,1,,,,,,,,1,
10032,2,,,,,,,,1,
10033,1,,,,,,,,1,
10033,2,,,,,,,,1,
10034,1,,,,,,,,1,
10034,2,,,,,,,,1,
10035,1,,,,,,,,1,
10035,2,,,,,,,,1,
10036,1,,,,,,,,1,
10036,2,,,,,,,,1,
10037,1,,,,,,,,1,
10037,2,,,,,,,,1,
10038,1,,,,,,,,1,
10038,2,,,,,,,,1,
10039,1,1,1,,,,,,,
10039,2,1,1,,,,,,,
11001,1,,,,,,,,1,
11001,2,,,,,,,,1,
11002,1,,,,,,,,,1
11002,2,,,,,,,,,1
11003,1,1,1,1,1,,,,,
11003,2,1,1,1,1,,,,,
11004,1,,,,,,,,1,
11004,2,,,,,,,,1,
11005,1,,,,,,,,1,
11005,2,,,,,,,,1,
11006,1,,,,,,,,1,
11006,2,,,,,,,,1,
11007,1,1,1,1,,,,,,
11007,2,1,1,1,,,,,,
11008,1,,,,,,,,,1
11008,2,,,,,,,,,1
11009,1,,,,,,,,1,
11009,2,,,,,,,,1,
11010,1,,,,,,,,,1
11010,2,,,,,,,,,1
11011,1,1,,1,,,,,,
11011,2,1,,1,,,,,,
11012,1,,,,,,,,1,
11012,2,,,,,,,,1,
11013,1,,,,,,,,1,
11013,2,,,,,,,,1,
11014,1,,,,,,,,1,
11014,2,,,,,,,,1,
11015,1,1,1,1,,1,,,,
11015,2,1,1,1,,1,,,,
11016,1,,,,,,,,,1
11016,2,,,,,,,,,1
11017,1,,,,,,,,1,
11017,2,,,,,,,,1,
11018,1,1,,,,,,,,
11018,2,1,,,,,,,,
11019,1,,,,,,,,,1
11019,2,,,,,,,,,1
11020,1,1,1,1,,1,1,,,
11020,2,1,1,1,,1,1,,,
11021,1,,,,,,,,1,
11021,2,1,1,1,,,,1,,
11022,1,,,,,,,,,1
11022,2,,1,,,,,,,
11023,1,,,,,,,,,1
11023,2,,,,,,,,,1
11024,1,,,,,,,,,1
11024,2,,,,,,,,,1
11025,1,1,,1,,1,,,,
11025,2,1,,1,,1,,,,
11026,1,1,,,,,,,,
11026,2,1,,,,,,,,
11027,1,,,,,,,,1,
11027,2,,,,,,,,1,
11028,1,,,,,,,,,1
11028,2,,,,,,,,,1
11029,1,,,,,,,,1,
11029,2,,,,,,,,1,
11030,1,,,,,,,,1,
11030,2,,,,,,,,1,
11031,1,1,1,1,,1,,,,
11031,2,1,1,1,,1,,,,
11032,1,1,,,,,,,,
11032,2,1,,,,,,,,
11033,1,1,,,,,,,,
11033,2,1,,,,,,,,
11034,1,,,,,,,,1,
11034,2,,,,,,,,1,
11035,1,,,,,,,,,1
11035,2,,,,,,,,,1
11036,1,,,1,,1,,,,
11036,2,,,1,,1,,,,
11037,1,1,,,,1,,,,
11037,2,1,1,,,1,,,,
11038,1,,,,,,,,,1
11038,2,,,,,,,,,1
11039,1,,,,,,,,,1
11039,2,,,,,,,,,1
11040,1,,,,,,,,1,
11040,2,,,,,,,,1,
11041,1,1,1,1,,1,,,,
11041,2,1,1,1,,1,,,,
11042,1,1,,1,1,1,,1,,
11042,2,1,,1,1,1,,1,,
11043,1,,,,,,,,1,
11043,2,,,,,,,,1,
11044,1,1,1,1,,1,,,,
11044,2,,,,,,,,1,
11045,1,,,,,,,,1,
11045,2,,,,,,,,1,
11046,1,,,,,,,,1,
11046,2,,,,,,,,1,
12001,1,,,,,,,,1,
12001,2,,,,,,,,1,
12002,1,,,,,,,,1,
12002,2,,,,,,,,1,
12003,1,,,,,,,,1,
12003,2,,,,,,,,1,
12004,1,,,,,,,,1,
12004,2,,,,,,,,1,
12005,1,,,,,,,,1,
12005,2,,,,,,,,1,
12006,1,,,,,,,,1,
12006,2,,,,,,,,1,
12007,1,,,,,,,,1,
12007,2,,,,,,,,1,
12008,1,,,,,,,,1,
12008,2,,,,,,,,1,
12009,1,,,,,,,,1,
12009,2,,,,,,,,1,
12010,1,,,,,,,,1,
12010,2,,,,,,,,1,
12011,1,,,,,,,,1,
12011,2,,,,,,,,1,
12012,1,,,,,,,,1,
12012,2,,,,,,,,1,
12013,1,,,,,,,,1,
12013,2,,,,,,,,1,
12014,1,,,,,,,,1,
12014,2,,,,,,,,1,
12015,1,,,,,,,,1,
12015,2,,,,,,,,1,
12016,1,,,,,,,,1,
12016,2,,,,,,,,1,
12017,1,,,,,,,,1,
12017,2,,,,,,,,1,
12018,1,,,,,,,,1,
12018,2,,,,,,,,1,
12019,1,,,,,,,,1,
12019,2,,,,,,,,1,
12020,1,,,,,,,,1,
12020,2,,,,,,,,1,
12021,1,,,,,,,,,1
12021,2,,,,,,,,,1
12022,1,,,,,,,1,,
12022,2,,,,,,,1,,
12023,1,,,,,,,,1,
12023,2,,,,,,,,1,
12024,1,,,,,,,,1,
12024,2,,,,,,,,1,
12025,1,,,,,,,,1,
12025,2,,,,,,,,1,
12026,1,,,,,,,,,1
12026,2,,,,,,,,,1
12027,1,,,,,,,,1,
12027,2,,,,,,,,1,
12028,1,,1,,,,,,,
12028,2,1,1,1,,,,,,
12029,1,,,,,,,,1,
12029,2,,,,,,,,1,
12030,1,,,,,,,,1,
12030,2,,,,,,,,1,
12031,1,,,,,,,,1,
12031,2,,,,,,,,1,
12032,1,,,,,,,,1,
12032,2,,,,,,,,1,
12033,1,,,,,,,,1,
12033,2,,,,,,,,1,
12034,1,,,,,,,,1,
12034,2,,,,,,,,1,
12035,1,,,,,,,,1,
12035,2,,,,,,,,1,
12036,1,,,,,,,,1,
12036,2,,,,,,,,1,
12037,1,,,,,,,,,1
12037,2,,,,,,,,,1
12038,1,,,,,,,,1,
12038,2,,,,,,,,1,
12039,1,,,,,,,,,1
12039,2,,1,,,,,,,
12040,1,,,,,,,,1,
12040,2,,,,,,,,1,
12041,1,,,,,,,1,,
12041,2,,,,,,,1,,
12042,1,,,,,,,,1,
12042,2,,,,,,,,1,
12043,1,,,,,,,,1,
12043,2,,,,,,,,1,
12044,1,,,,,,,,1,
12044,2,,,,,,,,1,
12045,1,,,,,,,,1,
12045,2,,,,,,,,1,
12046,1,,,,,,,,1,
12046,2,,,,,,,,1,
12047,1,,,,,,,,1,
12047,2,,,,,,,,1,
12048,1,,,,,,,,1,
12048,2,,,,,,,,1,
12049,1,,,,,,,,,1
12049,2,,,,,,,,,1
12050,1,,,,,,,,,1
12050,2,,,,,,,1,,
12051,1,,,,,,,,1,
