ubicageo_f,numeral,nombre1
16065,1,NO APLICA
16066,1,NO APLICA
16067,1,NO APLICA
16068,1,NO APLICA
16069,1,NO APLICA
16070,1,NO APLICA
16071,1,NO APLICA
16072,1,NO IDENTIFICADO
16073,1,NO APLICA
16074,1,NO APLICA
16075,1,NO APLICA
16076,1,NO APLICA
16077,1,NO APLICA
16078,1,NO APLICA
16079,1,NO APLICA
16080,1,NO APLICA
16081,1,NO APLICA
16082,1,NO APLICA
16083,1,NO APLICA
16084,1,NO APLICA
16085,1,NO APLICA
16086,1,NO APLICA
16087,1,NO APLICA
16088,1,NO APLICA
16089,1,NO APLICA
16090,1,NO APLICA
16091,1,NO APLICA
16092,1,NO APLICA
16093,1,NO APLICA
16094,1,NO APLICA
16095,1,NO APLICA
16096,1,NO APLICA
16097,1,NO APLICA
16098,1,NO APLICA
16099,1,NO APLICA
16100,1,NO APLICA
16101,1,NO APLICA
16102,1,NO APLICA
16103,1,NO APLICA
16104,1,NO APLICA
16105,1,NO APLICA
16106,1,NO APLICA
16107,1,NO APLICA
16108,1,NO APLICA
16109,1,NO APLICA
16110,1,NO APLICA
16111,1,NO APLICA
16112,1,NO APLICA
16113,1,NO APLICA
17001,1,NO APLICA
17002,1,NO APLICA
17003,1,NO APLICA
17004,1,NO APLICA
17005,1,NO IDENTIFICADO
17006,1,NO APLICA
17007,1,NO APLICA
17008,1,NO APLICA
17009,1,NO APLICA
17010,1,NO APLICA
17011,1,NO APLICA
17012,1,NO IDENTIFICADO
17013,1,NO APLICA
