ubicageo_f,rnsnni1,acfoic1,acfoic2,acfoic3,acfoic4,acfoic6,acfoic7,acfoic8,acfoic9,sexostt,sexos1,sexos2
29047,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29048,1,67,20,47,0,67,20,47,0,24,16,8
29049,1,4,4,0,0,4,4,0,0,4,3,1
29050,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29051,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29052,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29053,1,6,4,2,0,6,4,2,0,14,10,4
29054,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29055,1,10,9,1,0,10,9,1,0,9,7,2
29056,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29057,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29058,1,6,5,1,0,6,5,1,0,15,10,5
29059,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29060,1,20,20,0,0,20,20,0,0,20,13,7
30001,1,4,4,0,0,4,4,0,0,9,7,2
30002,1,6,6,0,0,6,6,0,0,9,8,1
30003,1,6,3,3,0,6,3,3,0,3,3,0
30004,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30005,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30006,9,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
30007,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30008,1,7,2,5,0,7,2,5,0,9,7,2
30009,1,7,4,3,0,7,4,3,0,33,27,6
30010,1,1,1,0,0,1,1,0,0,47,38,9
30011,1,1,1,0,0,1,1,0,0,36,27,9
30012,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30013,1,10,0,10,0,10,0,10,0,40,32,8
30014,9,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
30015,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
