ubicageo_f,esquprof_b,sexostt,sexos1,sexos2
13037,21,0,0,0
13037,22,0,0,0
13037,23,0,0,0
13037,31,0,0,0
13037,32,0,0,0
13037,33,0,0,0
13037,34,0,0,0
13037,35,0,0,0
13037,40,0,0,0
13038,11,3,2,1
13038,12,0,0,0
13038,13,0,0,0
13038,21,0,0,0
13038,22,0,0,0
13038,23,0,0,0
13038,31,0,0,0
13038,32,0,0,0
13038,33,0,0,0
13038,34,0,0,0
13038,35,0,0,0
13038,40,0,0,0
13039,11,26,22,4
13039,12,0,0,0
13039,13,0,0,0
13039,21,0,0,0
13039,22,0,0,0
13039,23,0,0,0
13039,31,0,0,0
13039,32,0,0,0
13039,33,0,0,0
13039,34,0,0,0
13039,35,0,0,0
13039,40,0,0,0
13040,11,15,13,2
13040,12,0,0,0
13040,13,0,0,0
13040,21,0,0,0
13040,22,0,0,0
13040,23,0,0,0
13040,31,0,0,0
13040,32,0,0,0
13040,33,0,0,0
13040,34,0,0,0
13040,35,0,0,0
13040,40,0,0,0
13041,11,12,10,2
13041,12,0,0,0
13041,13,0,0,0
13041,21,0,0,0
13041,22,0,0,0
13041,23,0,0,0
13041,31,0,0,0
13041,32,0,0,0
13041,33,0,0,0
13041,34,0,0,0
13041,35,0,0,0
13041,40,0,0,0
13042,11,23,19,4
13042,12,0,0,0
13042,13,0,0,0
13042,21,0,0,0
13042,22,0,0,0
13042,23,0,0,0
13042,31,0,0,0
13042,32,0,0,0
13042,33,0,0,0
13042,34,0,0,0
13042,35,0,0,0
13042,40,0,0,0
13043,11,15,15,0
13043,12,0,0,0
13043,13,0,0,0
13043,21,0,0,0
13043,22,0,0,0
13043,23,0,0,0
13043,31,0,0,0
13043,32,0,0,0
13043,33,0,0,0
13043,34,0,0,0
13043,35,0,0,0
13043,40,0,0,0
13044,11,23,20,3
13044,12,0,0,0
13044,13,0,0,0
13044,21,0,0,0
13044,22,0,0,0
13044,23,0,0,0
13044,31,0,0,0
13044,32,0,0,0
13044,33,0,0,0
13044,34,0,0,0
13044,35,0,0,0
13044,40,0,0,0
13045,11,20,16,4
13045,12,0,0,0
13045,13,0,0,0
13045,21,0,0,0
13045,22,0,0,0
13045,23,0,0,0
13045,31,0,0,0
13045,32,0,0,0
13045,33,0,0,0
13045,34,0,0,0
13045,35,0,0,0
13045,40,0,0,0
13046,11,0,0,0
13046,12,0,0,0
13046,13,0,0,0
13046,21,0,0,0
13046,22,0,0,0
13046,23,0,0,0
13046,31,0,0,0
13046,32,0,0,0
13046,33,0,0,0
13046,34,0,0,0
13046,35,0,0,0
13046,40,0,0,0
13047,11,16,13,3
13047,12,0,0,0
13047,13,0,0,0
13047,21,0,0,0
13047,22,0,0,0
13047,23,0,0,0
13047,31,0,0,0
13047,32,0,0,0
13047,33,0,0,0
13047,34,0,0,0
13047,35,0,0,0
13047,40,0,0,0
13048,11,437,349,88
13048,12,0,0,0
13048,13,0,0,0
13048,21,0,0,0
13048,22,0,0,0
13048,23,51,47,4
13048,31,0,0,0
13048,32,0,0,0
13048,33,0,0,0
13048,34,0,0,0
13048,35,0,0,0
13048,40,0,0,0
13049,11,18,15,3
13049,12,0,0,0
13049,13,0,0,0
13049,21,0,0,0
13049,22,0,0,0
13049,23,0,0,0
13049,31,0,0,0
13049,32,0,0,0
13049,33,0,0,0
13049,34,0,0,0
13049,35,0,0,0
13049,40,0,0,0
13050,11,21,16,5
13050,12,0,0,0
13050,13,0,0,0
13050,21,0,0,0
13050,22,0,0,0
13050,23,0,0,0
13050,31,0,0,0
13050,32,0,0,0
13050,33,0,0,0
13050,34,0,0,0
13050,35,0,0,0
13050,40,0,0,0
13051,11,141,116,25
13051,12,0,0,0
13051,13,23,19,4
13051,21,0,0,0
13051,22,0,0,0
13051,23,0,0,0
13051,31,0,0,0
13051,32,0,0,0
13051,33,0,0,0
13051,34,0,0,0
13051,35,0,0,0
13051,40,0,0,0
13052,11,0,0,0
13052,12,0,0,0
13052,13,11,9,2
13052,21,0,0,0
13052,22,0,0,0
13052,23,0,0,0
13052,31,0,0,0
13052,32,0,0,0
13052,33,0,0,0
13052,34,0,0,0
13052,35,0,0,0
13052,40,0,0,0
13053,11,40,35,5
13053,12,0,0,0
13053,13,0,0,0
13053,21,0,0,0
13053,22,0,0,0
13053,23,0,0,0
13053,31,0,0,0
13053,32,0,0,0
13053,33,0,0,0
13053,34,0,0,0
13053,35,0,0,0
13053,40,0,0,0
13054,11,10,8,2
13054,12,0,0,0
13054,13,0,0,0
13054,21,0,0,0
13054,22,0,0,0
13054,23,0,0,0
13054,31,0,0,0
13054,32,0,0,0
13054,33,0,0,0
13054,34,0,0,0
13054,35,0,0,0
13054,40,0,0,0
13055,11,0,0,0
13055,12,0,0,0
13055,13,0,0,0
13055,21,0,0,0
13055,22,0,0,0
13055,23,0,0,0
13055,31,0,0,0
13055,32,0,0,0
13055,33,0,0,0
13055,34,0,0,0
13055,35,0,0,0
13055,40,0,0,0
13056,11,23,12,11
13056,12,0,0,0
13056,13,0,0,0
13056,21,0,0,0
13056,22,0,0,0
13056,23,0,0,0
13056,31,0,0,0
13056,32,0,0,0
13056,33,0,0,0
13056,34,0,0,0
13056,35,0,0,0
13056,40,0,0,0
13057,11,35,25,10
13057,12,0,0,0
13057,13,0,0,0
13057,21,0,0,0
13057,22,0,0,0
13057,23,0,0,0
13057,31,0,0,0
13057,32,0,0,0
13057,33,0,0,0
13057,34,0,0,0
13057,35,0,0,0
13057,40,0,0,0
13058,11,3,3,0
13058,12,0,0,0
13058,13,0,0,0
13058,21,0,0,0
13058,22,0,0,0
13058,23,0,0,0
13058,31,0,0,0
13058,32,0,0,0
13058,33,0,0,0
13058,34,0,0,0
13058,35,0,0,0
13058,40,0,0,0
13059,11,17,15,2
13059,12,0,0,0
13059,13,0,0,0
13059,21,9,7,2
13059,22,0,0,0
13059,23,0,0,0
13059,31,0,0,0
13059,32,0,0,0
13059,33,0,0,0
13059,34,0,0,0
13059,35,0,0,0
13059,40,0,0,0
13060,11,15,13,2
13060,12,0,0,0
13060,13,0,0,0
13060,21,0,0,0
13060,22,0,0,0
13060,23,0,0,0
13060,31,0,0,0
13060,32,0,0,0
13060,33,0,0,0
13060,34,0,0,0
13060,35,0,0,0
13060,40,0,0,0
13061,11,80,62,18
13061,12,0,0,0
13061,13,0,0,0
13061,21,0,0,0
13061,22,0,0,0
13061,23,0,0,0
13061,31,0,0,0
13061,32,0,0,0
13061,33,0,0,0
13061,34,0,0,0
13061,35,0,0,0
13061,40,0,0,0
13062,11,0,0,0
13062,12,0,0,0
13062,13,21,19,2
13062,21,0,0,0
13062,22,0,0,0
13062,23,0,0,0
13062,31,0,0,0
13062,32,0,0,0
13062,33,0,0,0
13062,34,0,0,0
13062,35,0,0,0
13062,40,0,0,0
13063,11,0,0,0
13063,12,0,0,0
13063,13,6,3,3
13063,21,0,0,0
13063,22,0,0,0
13063,23,85,66,19
13063,31,0,0,0
13063,32,0,0,0
13063,33,0,0,0
13063,34,0,0,0
13063,35,0,0,0
13063,40,0,0,0
13064,11,11,10,1
13064,12,0,0,0
13064,13,0,0,0
13064,21,0,0,0
13064,22,0,0,0
13064,23,0,0,0
13064,31,0,0,0
13064,32,0,0,0
13064,33,0,0,0
13064,34,0,0,0
13064,35,0,0,0
13064,40,0,0,0
13065,11,15,11,4
13065,12,0,0,0
13065,13,0,0,0
13065,21,0,0,0
13065,22,0,0,0
13065,23,0,0,0
13065,31,0,0,0
13065,32,0,0,0
13065,33,0,0,0
13065,34,0,0,0
13065,35,0,0,0
13065,40,0,0,0
13066,11,0,0,0
13066,12,0,0,0
13066,13,22,17,5
13066,21,0,0,0
13066,22,0,0,0
13066,23,0,0,0
13066,31,0,0,0
13066,32,0,0,0
13066,33,0,0,0
13066,34,0,0,0
13066,35,0,0,0
13066,40,0,0,0
13067,11,0,0,0
13067,12,0,0,0
13067,13,3,2,1
13067,21,0,0,0
13067,22,0,0,0
13067,23,0,0,0
13067,31,0,0,0
13067,32,0,0,0
13067,33,0,0,0
13067,34,0,0,0
13067,35,0,0,0
13067,40,0,0,0
13068,11,0,0,0
13068,12,0,0,0
13068,13,0,0,0
13068,21,0,0,0
13068,22,0,0,0
13068,23,0,0,0
13068,31,0,0,0
13068,32,0,0,0
13068,33,0,0,0
13068,34,0,0,0
13068,35,0,0,0
13068,40,0,0,0
13069,11,173,136,37
13069,12,0,0,0
13069,13,0,0,0
13069,21,0,0,0
13069,22,0,0,0
13069,23,0,0,0
13069,31,0,0,0
13069,32,0,0,0
13069,33,0,0,0
13069,34,0,0,0
13069,35,0,0,0
13069,40,0,0,0
13070,11,23,18,5
13070,12,0,0,0
13070,13,0,0,0
13070,21,0,0,0
13070,22,0,0,0
13070,23,0,0,0
13070,31,0,0,0
13070,32,5,5,0
13070,33,0,0,0
13070,34,0,0,0
13070,35,1,0,1
13070,40,0,0,0
13071,11,13,11,2
13071,12,0,0,0
13071,13,0,0,0
13071,21,0,0,0
13071,22,0,0,0
13071,23,0,0,0
13071,31,0,0,0
13071,32,0,0,0
13071,33,0,0,0
13071,34,0,0,0
13071,35,0,0,0
13071,40,0,0,0
13072,11,9,5,4
13072,12,0,0,0
13072,13,0,0,0
13072,21,0,0,0
13072,22,0,0,0
13072,23,0,0,0
13072,31,0,0,0
13072,32,0,0,0
13072,33,0,0,0
13072,34,0,0,0
13072,35,0,0,0
13072,40,0,0,0
13073,11,0,0,0
13073,12,0,0,0
13073,13,0,0,0
13073,21,0,0,0
13073,22,0,0,0
13073,23,0,0,0
13073,31,0,0,0
13073,32,0,0,0
13073,33,0,0,0
13073,34,0,0,0
13073,35,0,0,0
13073,40,0,0,0
13074,11,4,3,1
13074,12,0,0,0
13074,13,0,0,0
13074,21,0,0,0
13074,22,0,0,0
13074,23,0,0,0
13074,31,0,0,0
13074,32,0,0,0
13074,33,0,0,0
13074,34,0,0,0
13074,35,0,0,0
13074,40,0,0,0
13075,11,24,16,8
13075,12,0,0,0
13075,13,0,0,0
13075,21,0,0,0
13075,22,0,0,0
13075,23,0,0,0
13075,31,0,0,0
13075,32,0,0,0
13075,33,0,0,0
13075,34,0,0,0
13075,35,0,0,0
13075,40,0,0,0
13076,11,183,140,43
13076,12,0,0,0
13076,13,0,0,0
13076,21,0,0,0
13076,22,0,0,0
13076,23,0,0,0
13076,31,0,0,0
13076,32,0,0,0
13076,33,0,0,0
13076,34,0,0,0
13076,35,0,0,0
13076,40,0,0,0
13077,11,192,154,38
13077,12,0,0,0
13077,13,0,0,0
13077,21,0,0,0
13077,22,0,0,0
13077,23,0,0,0
13077,31,0,0,0
13077,32,0,0,0
13077,33,0,0,0
13077,34,0,0,0
13077,35,0,0,0
13077,40,0,0,0
13078,11,0,0,0
13078,12,0,0,0
13078,13,0,0,0
13078,21,0,0,0
13078,22,0,0,0
13078,23,0,0,0
13078,31,0,0,0
13078,32,0,0,0
13078,33,0,0,0
13078,34,0,0,0
13078,35,0,0,0
13078,40,0,0,0
13079,11,0,0,0
13079,12,0,0,0
13079,13,4,3,1
13079,21,0,0,0
13079,22,0,0,0
13079,23,0,0,0
13079,31,0,0,0
13079,32,0,0,0
13079,33,0,0,0
13079,34,0,0,0
13079,35,0,0,0
13079,40,0,0,0
13080,11,0,0,0
13080,12,0,0,0
13080,13,12,8,4
13080,21,0,0,0
13080,22,0,0,0
13080,23,0,0,0
13080,31,0,0,0
13080,32,0,0,0
13080,33,0,0,0
13080,34,0,0,0
13080,35,0,0,0
13080,40,0,0,0
13081,11,0,0,0
13081,12,0,0,0
13081,13,0,0,0
13081,21,0,0,0
13081,22,0,0,0
13081,23,0,0,0
13081,31,0,0,0
13081,32,0,0,0
13081,33,0,0,0
13081,34,0,0,0
13081,35,0,0,0
13081,40,0,0,0
13082,11,14,11,3
13082,12,0,0,0
13082,13,0,0,0
13082,21,0,0,0
13082,22,0,0,0
13082,23,0,0,0
13082,31,0,0,0
13082,32,0,0,0
13082,33,0,0,0
13082,34,0,0,0
13082,35,0,0,0
13082,40,0,0,0
13083,11,31,24,7
13083,12,0,0,0
13083,13,0,0,0
13083,21,0,0,0
13083,22,0,0,0
13083,23,0,0,0
13083,31,0,0,0
13083,32,0,0,0
13083,33,0,0,0
13083,34,0,0,0
13083,35,0,0,0
13083,40,0,0,0
13084,11,1,0,1
13084,12,0,0,0
13084,13,0,0,0
13084,21,32,22,10
13084,22,0,0,0
13084,23,0,0,0
13084,31,0,0,0
13084,32,0,0,0
13084,33,0,0,0
13084,34,0,0,0
13084,35,0,0,0
13084,40,0,0,0
14001,11,23,20,3
14001,12,1,0,1
14001,13,12,12,0
14001,21,0,0,0
14001,22,0,0,0
14001,23,0,0,0
14001,31,0,0,0
14001,32,0,0,0
14001,33,0,0,0
14001,34,0,0,0
14001,35,0,0,0
14001,40,0,0,0
14002,11,18,16,2
14002,12,0,0,0
14002,13,5,3,2
14002,21,0,0,0
14002,22,0,0,0
14002,23,0,0,0
14002,31,0,0,0
14002,32,0,0,0
14002,33,0,0,0
14002,34,0,0,0
14002,35,0,0,0
14002,40,0,0,0
14003,11,7,4,3
14003,12,0,0,0
14003,13,0,0,0
14003,21,0,0,0
14003,22,0,0,0
14003,23,0,0,0
14003,31,0,0,0
14003,32,0,0,0
14003,33,0,0,0
14003,34,0,0,0
14003,35,0,0,0
14003,40,0,0,0
14004,11,0,0,0
14004,12,0,0,0
14004,13,0,0,0
14004,21,0,0,0
14004,22,0,0,0
14004,23,0,0,0
14004,31,0,0,0
14004,32,0,0,0
14004,33,0,0,0
14004,34,0,0,0
14004,35,0,0,0
14004,40,0,0,0
14005,11,0,0,0
14005,12,0,0,0
14005,13,10,6,4
14005,21,0,0,0
14005,22,0,0,0
14005,23,0,0,0
14005,31,0,0,0
14005,32,0,0,0
14005,33,0,0,0
14005,34,0,0,0
14005,35,0,0,0
14005,40,0,0,0
14006,11,75,64,11
14006,12,0,0,0
14006,13,0,0,0
14006,21,0,0,0
14006,22,0,0,0
14006,23,0,0,0
14006,31,0,0,0
14006,32,0,0,0
14006,33,0,0,0
14006,34,0,0,0
14006,35,0,0,0
14006,40,0,0,0
14007,11,7,5,2
14007,12,6,2,4
14007,13,7,4,3
14007,21,0,0,0
14007,22,0,0,0
14007,23,0,0,0
14007,31,0,0,0
14007,32,0,0,0
14007,33,0,0,0
14007,34,0,0,0
14007,35,0,0,0
14007,40,0,0,0
14008,11,0,0,0
14008,12,0,0,0
14008,13,34,21,13
14008,21,0,0,0
14008,22,0,0,0
14008,23,0,0,0
14008,31,0,0,0
14008,32,0,0,0
14008,33,0,0,0
14008,34,0,0,0
14008,35,0,0,0
14008,40,0,0,0
14009,11,0,0,0
14009,12,0,0,0
14009,13,11,9,2
14009,21,0,0,0
14009,22,0,0,0
14009,23,0,0,0
14009,31,0,0,0
14009,32,0,0,0
14009,33,0,0,0
14009,34,0,0,0
14009,35,0,0,0
14009,40,0,0,0
14010,11,1,0,1
14010,12,0,0,0
14010,13,0,0,0
14010,21,0,0,0
14010,22,0,0,0
14010,23,0,0,0
14010,31,0,0,0
14010,32,0,0,0
14010,33,0,0,0
14010,34,0,0,0
14010,35,0,0,0
14010,40,0,0,0
14011,11,10,8,2
14011,12,0,0,0
14011,13,0,0,0
14011,21,0,0,0
14011,22,0,0,0
14011,23,0,0,0
14011,31,0,0,0
14011,32,0,0,0
14011,33,0,0,0
14011,34,0,0,0
14011,35,0,0,0
14011,40,0,0,0
14012,11,17,7,10
14012,12,0,0,0
14012,13,0,0,0
14012,21,0,0,0
14012,22,0,0,0
14012,23,0,0,0
14012,31,0,0,0
14012,32,0,0,0
14012,33,0,0,0
14012,34,0,0,0
14012,35,0,0,0
14012,40,0,0,0
14013,11,29,17,12
14013,12,0,0,0
14013,13,0,0,0
14013,21,0,0,0
14013,22,0,0,0
14013,23,0,0,0
14013,31,0,0,0
14013,32,0,0,0
14013,33,0,0,0
14013,34,0,0,0
14013,35,0,0,0
14013,40,0,0,0
14014,11,10,6,4
14014,12,1,0,1
14014,13,0,0,0
14014,21,0,0,0
14014,22,0,0,0
14014,23,0,0,0
14014,31,0,0,0
14014,32,0,0,0
14014,33,0,0,0
14014,34,0,0,0
14014,35,0,0,0
14014,40,0,0,0
14015,11,126,98,28
14015,12,0,0,0
14015,13,0,0,0
14015,21,0,0,0
14015,22,0,0,0
14015,23,0,0,0
14015,31,0,0,0
14015,32,0,0,0
14015,33,0,0,0
14015,34,0,0,0
14015,35,0,0,0
14015,40,0,0,0
14016,11,42,40,2
14016,12,0,0,0
14016,13,0,0,0
14016,21,0,0,0
14016,22,0,0,0
14016,23,0,0,0
14016,31,0,0,0
14016,32,0,0,0
14016,33,0,0,0
14016,34,0,0,0
14016,35,0,0,0
14016,40,0,0,0
14017,11,19,13,6
14017,12,0,0,0
14017,13,0,0,0
14017,21,0,0,0
14017,22,0,0,0
14017,23,0,0,0
14017,31,0,0,0
14017,32,0,0,0
14017,33,0,0,0
14017,34,0,0,0
14017,35,0,0,0
14017,40,0,0,0
14018,11,67,50,17
14018,12,0,0,0
14018,13,0,0,0
14018,21,0,0,0
14018,22,0,0,0
14018,23,0,0,0
14018,31,0,0,0
14018,32,0,0,0
14018,33,0,0,0
14018,34,0,0,0
14018,35,0,0,0
14018,40,0,0,0
14019,11,13,13,0
14019,12,0,0,0
14019,13,0,0,0
14019,21,0,0,0
14019,22,0,0,0
14019,23,0,0,0
14019,31,0,0,0
14019,32,0,0,0
14019,33,0,0,0
14019,34,0,0,0
14019,35,0,0,0
14019,40,0,0,0
14020,11,16,12,4
14020,12,0,0,0
14020,13,0,0,0
14020,21,0,0,0
14020,22,0,0,0
14020,23,0,0,0
14020,31,0,0,0
14020,32,0,0,0
14020,33,0,0,0
14020,34,0,0,0
14020,35,0,0,0
14020,40,0,0,0
14021,11,30,24,6
14021,12,0,0,0
14021,13,0,0,0
14021,21,0,0,0
14021,22,0,0,0
14021,23,0,0,0
14021,31,0,0,0
14021,32,0,0,0
14021,33,0,0,0
14021,34,0,0,0
14021,35,0,0,0
14021,40,0,0,0
14022,11,0,0,0
14022,12,0,0,0
14022,13,0,0,0
14022,21,0,0,0
14022,22,0,0,0
14022,23,0,0,0
14022,31,0,0,0
14022,32,0,0,0
14022,33,0,0,0
14022,34,0,0,0
14022,35,0,0,0
14022,40,0,0,0
14023,11,188,141,47
14023,12,0,0,0
14023,13,0,0,0
14023,21,0,0,0
14023,22,0,0,0
14023,23,0,0,0
14023,31,0,0,0
14023,32,0,0,0
14023,33,0,0,0
14023,34,0,0,0
14023,35,0,0,0
14023,40,0,0,0
14024,11,0,0,0
14024,12,1,0,1
14024,13,7,4,3
14024,21,0,0,0
14024,22,0,0,0
14024,23,0,0,0
14024,31,0,0,0
14024,32,0,0,0
14024,33,0,0,0
14024,34,0,0,0
14024,35,0,0,0
14024,40,0,0,0
14025,11,33,24,9
14025,12,0,0,0
14025,13,0,0,0
14025,21,0,0,0
14025,22,0,0,0
14025,23,0,0,0
14025,31,0,0,0
14025,32,0,0,0
14025,33,0,0,0
14025,34,0,0,0
14025,35,0,0,0
14025,40,0,0,0
14026,11,0,0,0
14026,12,0,0,0
14026,13,0,0,0
14026,21,0,0,0
14026,22,0,0,0
14026,23,0,0,0
14026,31,0,0,0
14026,32,0,0,0
14026,33,0,0,0
14026,34,0,0,0
14026,35,0,0,0
14026,40,0,0,0
14027,11,43,39,4
14027,12,0,0,0
14027,13,0,0,0
14027,21,0,0,0
14027,22,0,0,0
14027,23,0,0,0
14027,31,0,0,0
14027,32,0,0,0
14027,33,0,0,0
14027,34,0,0,0
14027,35,0,0,0
14027,40,0,0,0
14028,11,0,0,0
14028,12,0,0,0
14028,13,0,0,0
14028,21,0,0,0
14028,22,0,0,0
14028,23,0,0,0
14028,31,0,0,0
14028,32,0,0,0
14028,33,0,0,0
14028,34,0,0,0
14028,35,0,0,0
14028,40,0,0,0
14029,11,43,27,16
14029,12,0,0,0
14029,13,0,0,0
14029,21,0,0,0
14029,22,0,0,0
14029,23,0,0,0
14029,31,0,0,0
14029,32,0,0,0
14029,33,0,0,0
14029,34,0,0,0
14029,35,0,0,0
14029,40,0,0,0
14030,11,99,75,24
14030,12,0,0,0
14030,13,0,0,0
14030,21,0,0,0
14030,22,0,0,0
14030,23,0,0,0
14030,31,0,0,0
14030,32,0,0,0
14030,33,0,0,0
14030,34,0,0,0
14030,35,0,0,0
14030,40,0,0,0
14031,11,21,19,2
14031,12,0,0,0
14031,13,0,0,0
14031,21,0,0,0
14031,22,0,0,0
14031,23,0,0,0
14031,31,0,0,0
14031,32,0,0,0
14031,33,0,0,0
14031,34,0,0,0
14031,35,0,0,0
14031,40,0,0,0
14032,11,0,0,0
14032,12,0,0,0
14032,13,0,0,0
14032,21,0,0,0
14032,22,0,0,0
14032,23,0,0,0
14032,31,0,0,0
14032,32,0,0,0
14032,33,0,0,0
14032,34,0,0,0
14032,35,0,0,0
14032,40,0,0,0
14033,11,41,36,5
14033,12,0,0,0
14033,13,0,0,0
14033,21,5,3,2
14033,22,0,0,0
14033,23,0,0,0
14033,31,0,0,0
14033,32,0,0,0
14033,33,0,0,0
14033,34,0,0,0
14033,35,0,0,0
14033,40,0,0,0
14034,11,4,4,0
14034,12,0,0,0
14034,13,0,0,0
14034,21,0,0,0
14034,22,0,0,0
14034,23,0,0,0
14034,31,0,0,0
14034,32,0,0,0
14034,33,0,0,0
14034,34,0,0,0
14034,35,0,0,0
14034,40,0,0,0
14035,11,0,0,0
14035,12,0,0,0
14035,13,0,0,0
14035,21,0,0,0
14035,22,0,0,0
14035,23,0,0,0
14035,31,0,0,0
14035,32,0,0,0
14035,33,0,0,0
14035,34,0,0,0
14035,35,0,0,0
14035,40,0,0,0
14036,11,11,10,1
14036,12,0,0,0
14036,13,0,0,0
14036,21,0,0,0
14036,22,0,0,0
14036,23,0,0,0
14036,31,0,0,0
14036,32,0,0,0
14036,33,0,0,0
14036,34,0,0,0
14036,35,0,0,0
14036,40,0,0,0
14037,11,0,0,0
14037,12,0,0,0
14037,13,0,0,0
14037,21,0,0,0
14037,22,0,0,0
14037,23,0,0,0
14037,31,0,0,0
14037,32,0,0,0
14037,33,0,0,0
14037,34,0,0,0
14037,35,0,0,0
14037,40,0,0,0
14038,11,16,12,4
14038,12,0,0,0
14038,13,0,0,0
14038,21,0,0,0
14038,22,0,0,0
14038,23,0,0,0
14038,31,0,0,0
14038,32,0,0,0
14038,33,0,0,0
14038,34,0,0,0
14038,35,32,26,6
14038,40,0,0,0
14039,11,2924,2302,622
14039,12,0,0,0
14039,13,0,0,0
14039,21,0,0,0
14039,22,0,0,0
14039,23,0,0,0
14039,31,0,0,0
14039,32,0,0,0
14039,33,0,0,0
14039,34,0,0,0
14039,35,0,0,0
14039,40,0,0,0
14040,11,10,8,2
14040,12,0,0,0
14040,13,0,0,0
14040,21,0,0,0
14040,22,0,0,0
14040,23,0,0,0
14040,31,0,0,0
14040,32,0,0,0
14040,33,0,0,0
14040,34,0,0,0
14040,35,0,0,0
14040,40,0,0,0
14041,11,4,4,0
14041,12,0,0,0
14041,13,0,0,0
14041,21,0,0,0
14041,22,0,0,0
14041,23,0,0,0
14041,31,0,0,0
14041,32,0,0,0
14041,33,0,0,0
14041,34,0,0,0
14041,35,0,0,0
14041,40,0,0,0
14042,11,25,21,4
14042,12,0,0,0
14042,13,0,0,0
14042,21,0,0,0
14042,22,0,0,0
14042,23,0,0,0
14042,31,0,0,0
14042,32,0,0,0
14042,33,0,0,0
14042,34,0,0,0
14042,35,0,0,0
14042,40,0,0,0
14043,11,0,0,0
14043,12,0,0,0
14043,13,0,0,0
14043,21,0,0,0
14043,22,0,0,0
14043,23,0,0,0
14043,31,0,0,0
14043,32,0,0,0
14043,33,0,0,0
14043,34,0,0,0
14043,35,0,0,0
14043,40,0,0,0
14044,11,41,30,11
14044,12,0,0,0
14044,13,0,0,0
14044,21,0,0,0
14044,22,0,0,0
14044,23,0,0,0
14044,31,0,0,0
14044,32,0,0,0
14044,33,0,0,0
14044,34,0,0,0
14044,35,0,0,0
14044,40,0,0,0
14045,11,26,21,5
14045,12,0,0,0
14045,13,0,0,0
14045,21,0,0,0
14045,22,0,0,0
14045,23,0,0,0
14045,31,0,0,0
14045,32,0,0,0
14045,33,0,0,0
14045,34,0,0,0
14045,35,0,0,0
14045,40,0,0,0
14046,11,0,0,0
14046,12,0,0,0
14046,13,0,0,0
14046,21,0,0,0
14046,22,0,0,0
14046,23,0,0,0
14046,31,0,0,0
14046,32,0,0,0
14046,33,0,0,0
14046,34,0,0,0
14046,35,0,0,0
14046,40,0,0,0
14047,11,38,28,10
14047,12,0,0,0
14047,13,0,0,0
14047,21,0,0,0
14047,22,0,0,0
14047,23,0,0,0
14047,31,0,0,0
14047,32,0,0,0
14047,33,0,0,0
14047,34,0,0,0
14047,35,0,0,0
14047,40,0,0,0
14048,11,29,21,8
14048,12,0,0,0
14048,13,0,0,0
14048,21,0,0,0
14048,22,0,0,0
14048,23,0,0,0
14048,31,0,0,0
14048,32,0,0,0
14048,33,0,0,0
14048,34,0,0,0
14048,35,0,0,0
14048,40,0,0,0
14049,11,11,10,1
14049,12,0,0,0
14049,13,0,0,0
14049,21,0,0,0
14049,22,0,0,0
14049,23,0,0,0
14049,31,0,0,0
14049,32,0,0,0
14049,33,0,0,0
14049,34,0,0,0
14049,35,0,0,0
14049,40,0,0,0
14050,11,59,49,10
14050,12,0,0,0
14050,13,0,0,0
14050,21,0,0,0
14050,22,0,0,0
14050,23,0,0,0
14050,31,0,0,0
14050,32,0,0,0
14050,33,0,0,0
14050,34,0,0,0
14050,35,0,0,0
14050,40,0,0,0
14051,11,0,0,0
14051,12,0,0,0
14051,13,34,22,12
14051,21,0,0,0
14051,22,0,0,0
14051,23,0,0,0
14051,31,0,0,0
14051,32,0,0,0
14051,33,0,0,0
14051,34,0,0,0
14051,35,0,0,0
14051,40,0,0,0
14052,11,8,6,2
14052,12,0,0,0
14052,13,0,0,0
14052,21,0,0,0
14052,22,0,0,0
14052,23,0,0,0
14052,31,0,0,0
14052,32,0,0,0
14052,33,0,0,0
14052,34,0,0,0
14052,35,0,0,0
14052,40,0,0,0
14053,11,170,101,69
14053,12,0,0,0
14053,13,0,0,0
14053,21,0,0,0
14053,22,0,0,0
14053,23,0,0,0
14053,31,0,0,0
14053,32,0,0,0
14053,33,0,0,0
14053,34,0,0,0
14053,35,0,0,0
14053,40,0,0,0
14054,11,3,3,0
14054,12,0,0,0
14054,13,0,0,0
14054,21,0,0,0
14054,22,0,0,0
14054,23,0,0,0
14054,31,0,0,0
14054,32,0,0,0
14054,33,0,0,0
14054,34,0,0,0
14054,35,0,0,0
14054,40,0,0,0
14055,11,8,7,1
14055,12,0,0,0
14055,13,0,0,0
14055,21,0,0,0
14055,22,0,0,0
14055,23,0,0,0
14055,31,0,0,0
14055,32,0,0,0
14055,33,0,0,0
14055,34,0,0,0
14055,35,0,0,0
14055,40,0,0,0
14056,11,0,0,0
14056,12,0,0,0
14056,13,0,0,0
14056,21,0,0,0
14056,22,0,0,0
14056,23,0,0,0
14056,31,0,0,0
14056,32,0,0,0
14056,33,0,0,0
14056,34,0,0,0
14056,35,0,0,0
14056,40,0,0,0
14057,11,1,1,0
14057,12,0,0,0
14057,13,0,0,0
14057,21,0,0,0
14057,22,0,0,0
14057,23,0,0,0
14057,31,0,0,0
14057,32,0,0,0
14057,33,0,0,0
14057,34,0,0,0
14057,35,0,0,0
14057,40,0,0,0
14058,11,0,0,0
14058,12,0,0,0
14058,13,10,8,2
14058,21,0,0,0
14058,22,0,0,0
14058,23,0,0,0
14058,31,0,0,0
14058,32,0,0,0
14058,33,0,0,0
14058,34,0,0,0
14058,35,0,0,0
14058,40,0,0,0
