ubicageo_f,listtema_o,norealiz,accfor1,accfor2,sexostt,sexos1,sexosne
2007,308,NA,NA,NA,NA,NA,NA
2007,309,NA,NA,NA,NA,NA,NA
2007,310,NA,NA,NA,NA,NA,NA
2007,400,NA,NA,NA,NA,NA,NA
2007,500,NA,NA,NA,NA,NA,NA
2007,600,NA,NA,NA,NA,NA,NA
3001,101,NA,NA,NA,NA,NA,NA
3001,102,NA,NA,NA,NA,NA,NA
3001,103,NA,NA,NA,NA,NA,NA
3001,104,NA,NA,NA,NA,NA,NA
3001,105,NA,NA,NA,NA,NA,NA
3001,106,NA,NA,NA,NA,NA,NA
3001,107,NA,NA,NA,NA,NA,NA
3001,108,NA,NA,NA,NA,NA,NA
3001,201,NA,NA,NA,NA,NA,NA
3001,202,NA,NA,NA,NA,NA,NA
3001,203,NA,NA,NA,NA,NA,NA
3001,204,NA,NA,NA,NA,NA,NA
3001,205,NA,NA,NA,NA,NA,NA
3001,206,NA,NA,NA,NA,NA,NA
3001,207,NA,NA,NA,NA,NA,NA
3001,301,NA,NA,NA,NA,NA,NA
3001,302,NA,NA,NA,NA,NA,NA
3001,303,NA,NA,NA,NA,NA,NA
3001,304,NA,NA,NA,NA,NA,NA
3001,305,NA,NA,NA,NA,NA,NA
3001,306,NA,NA,NA,NA,NA,NA
3001,307,NA,NA,NA,NA,NA,NA
3001,308,NA,NA,NA,NA,NA,NA
3001,309,NA,NA,NA,NA,NA,NA
3001,310,NA,NA,NA,NA,NA,NA
3001,400,NA,NA,NA,NA,NA,NA
3001,500,NA,NA,NA,NA,NA,NA
3001,600,NA,NA,NA,NA,NA,NA
3002,101,NSS,NSS,NSS,NSS,NSS,NSS
3002,102,NSS,NSS,NSS,NSS,NSS,NSS
3002,103,NSS,NSS,NSS,NSS,NSS,NSS
3002,104,NSS,NSS,NSS,NSS,NSS,NSS
3002,105,NSS,NSS,NSS,NSS,NSS,NSS
3002,106,NSS,NSS,NSS,NSS,NSS,NSS
3002,107,NSS,NSS,NSS,NSS,NSS,NSS
3002,108,NSS,NSS,NSS,NSS,NSS,NSS
3002,201,NSS,NSS,NSS,NSS,NSS,NSS
3002,202,NSS,NSS,NSS,NSS,NSS,NSS
3002,203,NSS,NSS,NSS,NSS,NSS,NSS
3002,204,NSS,NSS,NSS,NSS,NSS,NSS
3002,205,NSS,NSS,NSS,NSS,NSS,NSS
3002,206,NSS,NSS,NSS,NSS,NSS,NSS
3002,207,NSS,NSS,NSS,NSS,NSS,NSS
3002,301,NSS,NSS,NSS,NSS,NSS,NSS
3002,302,NSS,NSS,NSS,NSS,NSS,NSS
3002,303,NSS,NSS,NSS,NSS,NSS,NSS
3002,304,NSS,NSS,NSS,NSS,NSS,NSS
3002,305,NSS,NSS,NSS,NSS,NSS,NSS
3002,306,NSS,NSS,NSS,NSS,NSS,NSS
3002,307,NSS,NSS,NSS,NSS,NSS,NSS
3002,308,NSS,NSS,NSS,NSS,NSS,NSS
3002,309,NSS,NSS,NSS,NSS,NSS,NSS
3002,310,NSS,NSS,NSS,NSS,NSS,NSS
3002,400,NSS,NSS,NSS,NSS,NSS,NSS
3002,500,NSS,NSS,NSS,NSS,NSS,NSS
3002,600,NSS,NSS,NSS,NSS,NSS,NSS
3003,101,NA,NA,NA,NA,NA,1
3003,102,NA,NA,NA,NA,NA,1
3003,103,NA,NA,NA,NA,NA,1
3003,104,NA,NA,NA,NA,NA,1
3003,105,NA,NA,NA,NA,NA,1
3003,106,NA,NA,NA,NA,NA,1
3003,107,NA,NA,NA,NA,NA,1
3003,108,NA,NA,NA,NA,NA,1
3003,201,NA,NA,NA,NA,NA,1
3003,202,NA,NA,NA,NA,NA,1
3003,203,NA,NA,NA,NA,NA,1
3003,204,NA,NA,NA,NA,NA,1
3003,205,1,1,15,13,2,
3003,206,14,14,57,45,12,
3003,207,NA,NA,NA,NA,NA,1
3003,301,NA,NA,NA,NA,NA,1
3003,302,NA,NA,NA,NA,NA,1
3003,303,NA,NA,NA,NA,NA,1
3003,304,NA,NA,NA,NA,NA,1
3003,305,NA,NA,NA,NA,NA,1
3003,306,NA,NA,NA,NA,NA,1
3003,307,NA,NA,NA,NA,NA,1
3003,308,NA,NA,NA,NA,NA,1
3003,309,NA,NA,NA,NA,NA,1
3003,310,NA,NA,NA,NA,NA,1
3003,400,NA,NA,NA,NA,NA,1
3003,500,NA,NA,NA,NA,NA,1
3003,600,40,40,1472,1085,387,
3008,101,NA,NA,NA,NA,NA,1
3008,102,NA,NA,NA,NA,NA,1
3008,103,NA,NA,NA,NA,NA,1
3008,104,NA,NA,NA,NA,NA,1
3008,105,1,1,40,25,15,
3008,106,NA,NA,NA,NA,NA,1
3008,107,NA,NA,NA,NA,NA,1
3008,108,NA,NA,NA,NA,NA,1
3008,201,1,1,30,19,11,
3008,202,NA,NA,NA,NA,NA,1
3008,203,NA,NA,NA,NA,NA,1
3008,204,NA,NA,NA,NA,NA,1
3008,205,NA,NA,NA,NA,NA,1
3008,206,3,3,80,52,28,
3008,207,NA,NA,NA,NA,NA,1
3008,301,NA,NA,NA,NA,NA,1
3008,302,NA,NA,NA,NA,NA,1
3008,303,NA,NA,NA,NA,NA,1
3008,304,NA,NA,NA,NA,NA,1
3008,305,NA,NA,NA,NA,NA,1
3008,306,NA,NA,NA,NA,NA,1
3008,307,NA,NA,NA,NA,NA,1
3008,308,NA,NA,NA,NA,NA,1
3008,309,NA,NA,NA,NA,NA,1
3008,310,NA,NA,NA,NA,NA,1
3008,400,NA,NA,NA,NA,NA,1
3008,500,NA,NA,NA,NA,NA,1
3008,600,2,2,60,40,20,
3009,101,NA,NA,NA,NA,NA,1
3009,102,NA,NA,NA,NA,NA,1
3009,103,NA,NA,NA,NA,NA,1
3009,104,NA,NA,NA,NA,NA,1
3009,105,NA,NA,NA,NA,NA,1
3009,106,NA,NA,NA,NA,NA,1
3009,107,NA,NA,NA,NA,NA,1
3009,108,NA,NA,NA,NA,NA,1
3009,201,1,1,1,1,0,
3009,202,NA,NA,NA,NA,NA,1
3009,203,NA,NA,NA,NA,NA,1
3009,204,NA,NA,NA,NA,NA,1
3009,205,NA,NA,NA,NA,NA,1
3009,206,1,1,3,3,0,
3009,207,NA,NA,NA,NA,NA,1
3009,301,NA,NA,NA,NA,NA,1
