ubicageo_f,funcsepu_a,sexostt,sexos1,sexos2
7023,2,55,55,0
7023,3,0,0,0
7023,4,0,0,0
7024,1,0,0,0
7024,2,0,0,0
7024,3,0,0,0
7024,4,22,19,3
7025,1,0,0,0
7025,2,24,16,8
7025,3,0,0,0
7025,4,0,0,0
7026,1,0,0,0
7026,2,30,30,0
7026,3,0,0,0
7026,4,0,0,0
7027,1,0,0,0
7027,2,72,61,11
7027,3,0,0,0
7027,4,0,0,0
7028,1,0,0,0
7028,2,0,0,0
7028,3,0,0,0
7028,4,0,0,0
7029,1,0,0,0
7029,2,13,8,5
7029,3,0,0,0
7029,4,0,0,0
7030,1,0,0,0
7030,2,48,38,10
7030,3,0,0,0
7030,4,0,0,0
7031,1,0,0,0
7031,2,132,113,19
7031,3,0,0,0
7031,4,16,15,1
7032,1,10,10,0
7032,2,10,4,6
7032,3,8,8,0
7032,4,15,15,0
7033,1,0,0,0
7033,2,12,8,4
7033,3,0,0,0
