ubicageo_f,rnsnni1,sexostt,sexos1,sexos2,sexos3
15119,2,NA,NA,NA,NA
15120,1,288,20,268,0
15121,1,1059,205,854,0
15122,1,1515,154,1361,0
15123,1,155,55,85,15
15124,1,50,0,50,0
15125,1,24,4,20,0
16001,2,NA,NA,NA,NA
16002,2,NA,NA,NA,NA
16003,2,NA,NA,NA,NA
16004,1,4,1,3,0
16005,2,NA,NA,NA,NA
16006,2,NA,NA,NA,NA
16007,2,NA,NA,NA,NA
16008,0,NA,NA,NA,NA
16009,2,NA,NA,NA,NA
16010,0,NA,NA,NA,NA
16011,2,NA,NA,NA,NA
16012,2,NA,NA,NA,NA
16013,2,NA,NA,NA,NA
16014,2,NA,NA,NA,NA
16015,1,75,30,45,0
16016,2,NA,NA,NA,NA
16017,2,NA,NA,NA,NA
16018,2,NA,NA,NA,NA
16019,9,NSS,NSS,NSS,NSS
16020,2,NA,NA,NA,NA
16021,1,20,11,9,0
16022,2,NA,NA,NA,NA
16023,2,NA,NA,NA,NA
16024,2,NA,NA,NA,NA
16025,2,NA,NA,NA,NA
16026,2,NA,NA,NA,NA
16027,2,NA,NA,NA,NA
16028,2,NA,NA,NA,NA
16029,2,NA,NA,NA,NA
16030,1,18,6,12,0
16031,1,12,3,9,0
16032,2,NA,NA,NA,NA
16033,2,NA,NA,NA,NA
16034,1,163,41,122,0
16035,2,NA,NA,NA,NA
16036,2,NA,NA,NA,NA
16037,2,NA,NA,NA,NA
16038,2,NA,NA,NA,NA
16039,1,4,0,4,0
16040,2,NA,NA,NA,NA
16041,2,NA,NA,NA,NA
16042,2,NA,NA,NA,NA
16043,1,59,0,59,0
16044,2,NA,NA,NA,NA
16045,2,NA,NA,NA,NA
16046,1,2,1,1,0
16047,2,NA,NA,NA,NA
16048,1,62,0,62,0
16049,1,10,3,7,0
16050,2,NA,NA,NA,NA
16051,98,ND,ND,ND,ND
16052,1,561,156,405,0
16053,1,2466,1037,1389,40
16054,9,NSS,NSS,NSS,NSS
16055,2,NA,NA,NA,NA
16056,1,77,0,77,0
16057,1,100,70,30,0
16058,1,19,17,2,0
16059,2,NA,NA,NA,NA
16060,1,6,0,6,0
16061,2,NA,NA,NA,NA
16062,2,NA,NA,NA,NA
16063,1,13,3,8,2
16064,2,NA,NA,NA,NA
16065,1,50,15,35,0
16066,1,43,40,3,0
16067,9,NSS,NSS,NSS,NSS
16068,2,NA,NA,NA,NA
16069,2,NA,NA,NA,NA
16070,2,NA,NA,NA,NA
16071,2,NA,NA,NA,NA
16072,1,25,5,20,0
16073,2,NA,NA,NA,NA
16074,2,NA,NA,NA,NA
16075,2,NA,NA,NA,NA
16076,2,NA,NA,NA,NA
16077,2,NA,NA,NA,NA
