ubicageo_f,vehicttt,vehict1,vehict2,vehict3,vehict4,vehict5,vehict6,vehict7,vehict8,vehict9,vehictne
20162,1,0,1,0,0,0,0,0,0,0,
20163,0,0,0,0,0,0,0,0,0,0,
20164,2,0,2,0,0,0,0,0,0,0,
20165,1,0,1,0,0,0,0,0,0,0,
20166,2,0,2,0,0,0,0,0,0,0,
20167,1,0,1,0,0,0,0,0,0,0,
20168,1,0,1,0,0,0,0,0,0,0,
20169,1,1,0,0,0,0,0,0,0,0,
20170,1,0,1,0,0,0,0,0,0,0,
20171,4,0,2,2,0,0,0,0,0,0,
20172,1,0,1,0,0,0,0,0,0,0,
20173,1,0,1,0,0,0,0,0,0,0,
20174,2,0,1,1,0,0,0,0,0,0,
20175,1,0,1,0,0,0,0,0,0,0,
20176,3,0,2,1,0,0,0,0,0,0,
20177,6,0,2,4,0,0,0,0,0,0,
20178,1,0,1,0,0,0,0,0,0,0,
20179,2,0,2,0,0,0,0,0,0,0,
20180,1,1,0,0,0,0,0,0,0,0,
20181,1,0,0,1,0,0,0,0,0,0,
20182,1,0,1,0,0,0,0,0,0,0,
20183,1,0,1,0,0,0,0,0,0,0,
20184,59,1,19,21,17,0,0,0,0,1,
20185,3,3,0,0,0,0,0,0,0,0,
20186,1,0,1,0,0,0,0,0,0,0,
20187,0,0,0,0,0,0,0,0,0,0,
20188,2,2,0,0,0,0,0,0,0,0,
20189,1,0,1,0,0,0,0,0,0,0,
20190,1,0,1,0,0,0,0,0,0,0,
20191,3,0,3,0,0,0,0,0,0,0,
20192,2,0,2,0,0,0,0,0,0,0,
20193,2,0,2,0,0,0,0,0,0,0,
20194,2,0,2,0,0,0,0,0,0,0,
20195,3,0,2,1,0,0,0,0,0,0,
20196,1,0,1,0,0,0,0,0,0,0,
20197,2,0,2,0,0,0,0,0,0,0,
20198,9,0,5,4,0,0,0,0,0,0,
20199,1,0,1,0,0,0,0,0,0,0,
20200,1,0,1,0,0,0,0,0,0,0,
20201,0,0,0,0,0,0,0,0,0,0,
20202,5,0,4,1,0,0,0,0,0,0,
20203,1,0,1,0,0,0,0,0,0,0,
20204,0,0,0,0,0,0,0,0,0,0,
20205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
20206,1,0,1,0,0,0,0,0,0,0,
20207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
20208,2,0,2,0,0,0,0,0,0,0,
20209,0,0,0,0,0,0,0,0,0,0,
20210,1,1,0,0,0,0,0,0,0,0,
20211,1,0,1,0,0,0,0,0,0,0,
20212,0,0,0,0,0,0,0,0,0,0,
20213,2,0,2,0,0,0,0,0,0,0,
20214,1,0,1,0,0,0,0,0,0,0,
20215,1,0,1,0,0,0,0,0,0,0,
20216,1,0,1,0,0,0,0,0,0,0,
20217,1,0,1,0,0,0,0,0,0,0,
20218,1,0,1,0,0,0,0,0,0,0,
20219,3,0,1,2,0,0,0,0,0,0,
20220,1,0,1,0,0,0,0,0,0,0,
20221,2,0,2,0,0,0,0,0,0,0,
20222,0,0,0,0,0,0,0,0,0,0,
20223,0,0,0,0,0,0,0,0,0,0,
20224,0,0,0,0,0,0,0,0,0,0,
20225,2,0,2,0,0,0,0,0,0,0,
20226,1,0,1,0,0,0,0,0,0,0,
20227,8,0,3,5,0,0,0,0,0,0,
20228,0,0,0,0,0,0,0,0,0,0,
20229,3,0,1,2,0,0,0,0,0,0,
20230,0,0,0,0,0,0,0,0,0,0,
20231,1,0,1,0,0,0,0,0,0,0,
20232,4,0,2,2,0,0,0,0,0,0,
20233,2,0,2,0,0,0,0,0,0,0,
20234,1,0,1,0,0,0,0,0,0,0,
20235,2,0,1,1,0,0,0,0,0,0,
20236,1,0,1,0,0,0,0,0,0,0,
20237,10,1,5,2,0,0,0,0,0,2,
20238,3,0,0,3,0,0,0,0,0,0,
20239,3,0,1,2,0,0,0,0,0,0,
20240,1,0,1,0,0,0,0,0,0,0,
20241,1,0,1,0,0,0,0,0,0,0,
20242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
20243,3,0,1,2,0,0,0,0,0,0,
20244,1,0,1,0,0,0,0,0,0,0,
20245,1,0,1,0,0,0,0,0,0,0,
20246,1,0,1,0,0,0,0,0,0,0,
20247,4,0,2,2,0,0,0,0,0,0,
20248,1,0,1,0,0,0,0,0,0,0,
20249,1,0,1,0,0,0,0,0,0,0,
20250,1,0,1,0,0,0,0,0,0,0,
20251,1,0,1,0,0,0,0,0,0,0,
20252,1,0,1,0,0,0,0,0,0,0,
20253,2,0,2,0,0,0,0,0,0,0,
20254,0,0,0,0,0,0,0,0,0,0,
20255,1,0,1,0,0,0,0,0,0,0,
20256,0,0,0,0,0,0,0,0,0,0,
20257,0,0,0,0,0,0,0,0,0,0,
20258,1,0,1,0,0,0,0,0,0,0,
20259,1,0,1,0,0,0,0,0,0,0,
20260,1,0,1,0,0,0,0,0,0,0,
20261,1,0,1,0,0,0,0,0,0,0,
20262,2,0,2,0,0,0,0,0,0,0,
20263,2,0,2,0,0,0,0,0,0,0,
20264,1,0,1,0,0,0,0,0,0,0,
20265,1,0,1,0,0,0,0,0,0,0,
20266,1,0,1,0,0,0,0,0,0,0,
20267,1,0,1,0,0,0,0,0,0,0,
20268,0,0,0,0,0,0,0,0,0,0,
20269,1,0,1,0,0,0,0,0,0,0,
20270,1,0,1,0,0,0,0,0,0,0,
20271,2,0,2,0,0,0,0,0,0,0,
20272,2,0,2,0,0,0,0,0,0,0,
20273,1,0,1,0,0,0,0,0,0,0,
20274,1,0,1,0,0,0,0,0,0,0,
20275,1,0,1,0,0,0,0,0,0,0,
20276,0,0,0,0,0,0,0,0,0,0,
20277,4,0,1,3,0,0,0,0,0,0,
20278,3,0,3,0,0,0,0,0,0,0,
20279,0,0,0,0,0,0,0,0,0,0,
20280,0,0,0,0,0,0,0,0,0,0,
20281,1,0,1,0,0,0,0,0,0,0,
20282,0,0,0,0,0,0,0,0,0,0,
20283,1,0,1,0,0,0,0,0,0,0,
20284,1,0,1,0,0,0,0,0,0,0,
20285,3,1,0,2,0,0,0,0,0,0,
20286,4,0,2,2,0,0,0,0,0,0,
20287,0,0,0,0,0,0,0,0,0,0,
20288,1,0,1,0,0,0,0,0,0,0,
20289,0,0,0,0,0,0,0,0,0,0,
20290,1,0,1,0,0,0,0,0,0,0,
20291,1,0,1,0,0,0,0,0,0,0,
20292,2,0,1,1,0,0,0,0,0,0,
20293,6,0,2,3,0,0,0,0,0,1,
20294,9,0,3,6,0,0,0,0,0,0,
20295,5,0,2,3,0,0,0,0,0,0,
20296,2,0,1,1,0,0,0,0,0,0,
20297,1,0,1,0,0,0,0,0,0,0,
20298,5,0,2,3,0,0,0,0,0,0,
20299,1,0,1,0,0,0,0,0,0,0,
20300,1,0,1,0,0,0,0,0,0,0,
20301,7,0,1,4,2,0,0,0,0,0,
20302,1,0,1,0,0,0,0,0,0,0,
20303,0,0,0,0,0,0,0,0,0,0,
20304,1,0,1,0,0,0,0,0,0,0,
20305,3,0,1,2,0,0,0,0,0,0,
20306,1,0,1,0,0,0,0,0,0,0,
20307,2,0,2,0,0,0,0,0,0,0,
20308,1,0,1,0,0,0,0,0,0,0,
20309,3,0,2,0,0,0,0,1,0,0,
20310,8,0,3,5,0,0,0,0,0,0,
20311,0,0,0,0,0,0,0,0,0,0,
20312,2,1,0,1,0,0,0,0,0,0,
20313,0,0,0,0,0,0,0,0,0,0,
20314,1,0,1,0,0,0,0,0,0,0,
20315,4,0,1,3,0,0,0,0,0,0,
20316,0,0,0,0,0,0,0,0,0,0,
20317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
20318,13,2,7,4,0,0,0,0,0,0,
20319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
20320,0,0,0,0,0,0,0,0,0,0,
20321,1,0,1,0,0,0,0,0,0,0,
20322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
20323,0,0,0,0,0,0,0,0,0,0,
20324,13,0,7,6,0,0,0,0,0,0,
20325,15,0,3,12,0,0,0,0,0,0,
20326,2,0,2,0,0,0,0,0,0,0,
20327,7,0,3,4,0,0,0,0,0,0,
20328,5,0,1,4,0,0,0,0,0,0,
20329,1,0,1,0,0,0,0,0,0,0,
20330,1,0,1,0,0,0,0,0,0,0,
20331,2,0,2,0,0,0,0,0,0,0,
20332,0,0,0,0,0,0,0,0,0,0,
20333,1,0,1,0,0,0,0,0,0,0,
20334,10,2,4,4,0,0,0,0,0,0,
20335,2,0,2,0,0,0,0,0,0,0,
20336,1,0,1,0,0,0,0,0,0,0,
20337,2,0,2,0,0,0,0,0,0,0,
20338,4,0,2,2,0,0,0,0,0,0,
20339,2,0,2,0,0,0,0,0,0,0,
20340,3,0,1,2,0,0,0,0,0,0,
20341,1,0,1,0,0,0,0,0,0,0,
20342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
20343,4,0,2,0,2,0,0,0,0,0,
20344,1,0,1,0,0,0,0,0,0,0,
20345,1,1,0,0,0,0,0,0,0,0,
20346,1,0,1,0,0,0,0,0,0,0,
20347,4,0,1,3,0,0,0,0,0,0,
