ubicageo_f,eqinfo9,eqinfo10,eqinfo11,eqinfo1,eqinfo2,eqinfo3,eqinfo4,eqinfo5,eqinfo6,eqinfo7,rnsnni1
14019,0,0,0,1,1,0,,1,1,0,1
14020,0,0,0,2,2,0,,1,0,1,2
14021,2,0,0,3,3,0,,0,0,0,2
14022,0,0,0,7,7,0,,2,1,1,9
14023,2,1,0,16,14,2,,2,2,0,1
14024,0,0,0,3,3,0,,1,0,1,1
14025,1,1,0,4,4,0,,1,0,1,2
14026,1,0,0,1,1,0,,1,1,0,1
14027,1,0,0,1,1,0,,1,0,1,2
14028,1,0,0,2,2,0,,0,0,0,1
14029,3,1,0,4,3,1,,0,0,0,1
14030,0,0,2,13,12,1,,4,0,4,1
14031,0,1,0,1,1,0,,1,0,1,1
14032,1,0,0,1,0,1,,0,0,0,2
14033,0,0,0,3,3,0,,1,0,1,1
14034,1,0,0,1,1,0,,0,0,0,2
14035,2,0,0,6,6,0,,2,0,2,9
14036,1,0,0,3,3,0,,1,1,0,1
14037,4,0,0,16,13,3,,6,0,6,9
14038,0,0,0,2,2,0,,1,0,1,2
14039,98,4,430,834,669,165,,98,0,98,2
14040,0,0,0,1,1,0,,1,1,0,2
14041,0,0,0,2,2,0,,1,1,0,2
14042,1,1,0,2,2,0,,1,1,0,2
14043,1,2,0,2,2,0,,1,0,1,1
14044,4,0,0,4,2,2,,4,0,4,2
14045,1,0,0,2,2,0,,1,1,0,1
14046,6,0,0,6,6,0,,4,4,0,1
14047,1,0,0,4,4,0,,1,1,0,1
14048,1,0,0,4,4,0,,2,2,0,2
14049,0,0,0,3,3,0,,1,1,0,1
14050,0,0,0,11,11,0,,2,0,2,2
14051,3,6,1,6,6,0,,3,0,3,2
14052,0,0,0,0,0,0,,0,0,0,2
14053,11,0,0,11,11,0,,0,0,0,1
14054,1,0,0,2,1,1,,1,0,1,2
14055,0,0,0,1,1,0,,1,1,0,2
14056,0,0,0,1,1,0,,1,1,0,1
14057,1,0,0,1,1,0,,1,1,0,2
14058,0,0,0,3,3,0,,1,0,1,2
14059,0,0,0,4,4,0,,2,1,1,2
14060,1,0,0,3,3,0,,1,1,0,2
14061,1,0,0,2,2,0,,1,0,1,2
14062,0,0,0,1,1,0,,1,0,1,2
14063,0,0,0,24,24,0,,10,0,10,2
14064,0,3,0,3,3,0,,2,0,2,1
14065,1,0,0,3,3,0,,0,0,0,2
14066,3,0,0,6,6,0,,0,0,0,2
14067,10,3,0,81,77,4,,0,0,0,1
14068,1,0,0,3,3,0,,1,0,1,1
14069,0,0,0,2,2,0,,1,1,0,2
14070,1,0,0,7,7,0,,8,8,0,1
14071,0,0,0,1,1,0,,1,1,0,1
14072,2,0,0,2,2,0,,2,2,0,2
14073,3,1,0,9,3,6,,5,2,3,1
14074,2,0,0,4,2,2,,2,0,2,2
14075,0,0,0,1,1,0,,0,0,0,2
14076,1,0,0,1,1,0,,1,1,0,2
14077,2,0,0,5,5,0,,2,0,2,2
14078,1,0,0,2,2,0,,1,1,0,9
14079,1,0,0,2,1,1,,1,0,1,1
14080,0,0,0,2,2,0,,1,0,1,2
14081,0,0,0,1,1,0,,1,1,0,2
14082,1,0,0,2,2,0,,1,0,1,9
14083,2,0,0,13,13,0,,2,2,0,1
14084,1,0,0,5,5,0,,4,4,0,2
14085,0,0,0,3,3,0,,1,1,0,1
14086,1,0,0,3,2,1,,2,1,1,1
14087,0,0,0,4,4,0,,1,0,1,2
14088,2,1,0,2,2,0,,2,2,0,2
14089,0,0,0,2,2,0,,2,2,0,1
14090,1,0,0,3,2,1,,1,0,1,2
14091,1,0,2,3,3,0,,2,0,2,2
14092,0,0,0,3,2,1,,1,0,1,1
14093,5,0,0,29,16,13,,5,0,5,1
14094,2,0,0,2,2,0,,2,0,2,2
14095,1,0,0,2,2,0,,1,0,1,2
14096,1,0,0,2,2,0,,1,1,0,1
14097,5,0,0,38,38,0,,0,0,0,9
14098,36,3,49,174,135,39,,22,10,12,1
14099,0,1,0,2,1,1,,1,1,0,2
14100,0,0,0,3,3,0,,1,0,1,2
14101,1,0,0,50,37,13,,20,0,20,1
14102,0,0,0,2,1,1,,1,1,0,2
14103,0,0,0,2,2,0,,1,0,1,2
14104,1,0,0,1,0,1,,1,1,0,2
14105,1,0,0,10,8,2,,1,0,1,1
14106,0,0,0,2,2,0,,0,0,0,2
14107,0,0,0,1,1,0,,1,0,1,2
14108,1,0,0,3,3,0,,3,0,3,1
14109,0,0,0,2,2,0,,2,1,1,2
14110,1,1,0,3,3,0,,1,0,1,1
14111,0,1,0,1,1,0,,1,0,1,9
14112,0,0,0,1,1,0,,1,0,1,2
14113,0,0,0,1,1,0,,1,1,0,1
14114,0,0,0,3,3,0,,0,0,0,2
14115,0,0,0,1,1,0,,1,1,0,2
14116,5,2,0,7,6,1,,6,6,0,2
14117,1,1,1,3,2,1,,1,0,1,1
14118,3,0,0,4,4,0,,3,0,3,2
14119,1,0,0,4,4,0,,0,0,0,2
14120,46,37,500,530,380,150,,0,0,0,1
14121,4,0,0,4,4,0,,2,0,2,2
14122,0,0,0,2,2,0,,1,0,1,2
14123,0,0,0,1,1,0,,1,0,1,1
14124,3,1,0,14,11,3,,1,0,1,2
14125,0,0,0,3,3,0,,2,0,2,1
15001,1,0,0,8,8,0,,5,0,5,2
15002,4,0,0,7,7,0,,5,0,5,2
15003,0,0,0,8,8,0,,2,0,2,9
15004,1,0,0,2,2,0,,1,0,1,1
15005,0,0,0,4,4,0,,2,2,0,1
15006,0,0,0,3,3,0,,1,0,1,1
15007,0,3,0,3,2,1,,2,1,1,9
15008,0,1,0,2,2,0,,0,0,0,1
15009,1,0,0,7,6,1,,2,1,1,2
15010,1,1,0,2,2,0,,1,0,1,1
15011,0,0,0,5,5,0,,1,1,0,2
15012,0,0,0,3,3,0,,2,0,2,2
15013,44,11,16,206,191,15,,22,22,0,1
15014,2,1,0,14,14,0,,2,0,2,2
15015,0,0,0,4,4,0,,2,0,2,1
15016,1,1,0,2,2,0,,2,1,1,1
15017,0,0,0,7,7,0,,2,0,2,1
15018,0,0,0,12,10,2,,2,2,0,1
15019,1,0,0,4,4,0,,1,0,1,9
15020,9,0,0,24,23,1,,9,0,9,2
15021,1,0,0,4,4,0,,1,0,1,1
15022,1,0,0,6,5,1,,1,0,1,1
15023,0,0,0,1,1,0,,1,1,0,1
15024,2,1,0,15,15,0,,2,0,2,1
15025,6,0,0,49,46,3,,6,0,6,2
15026,8,2,0,8,6,2,,2,0,2,1
15027,2,1,0,6,3,3,,3,3,0,2
15028,1,0,0,1,1,0,,1,1,0,2
15029,2,2,0,21,21,0,,5,2,3,1
15030,0,0,2,3,3,0,,1,0,1,2
15031,20,5,5,90,80,10,,10,0,10,2
15032,0,1,0,4,4,0,,2,0,2,2
15033,20,0,0,20,20,0,,15,0,15,2
15034,0,0,0,2,2,0,,1,0,1,1
15035,3,1,1,36,36,0,,0,0,0,9
15036,1,0,0,2,2,0,,1,1,0,1
15037,2,3,19,145,139,6,,145,145,0,2
15038,4,0,0,4,2,2,,2,2,0,2
15039,0,4,0,116,116,0,,8,6,2,2
15040,0,0,0,5,4,1,,1,0,1,2
15041,2,0,0,3,3,0,,2,1,1,2
15042,1,0,0,11,10,1,,0,0,0,1
15043,1,0,0,3,2,1,,3,1,2,2
15044,0,0,0,1,1,0,,0,0,0,2
15045,1,3,0,2,1,1,,1,0,1,1
15046,1,0,0,4,3,1,,1,0,1,1
15047,1,1,0,2,2,0,,1,0,1,1
15048,0,1,0,8,8,0,,1,0,1,1
15049,0,0,0,3,2,1,,1,0,1,9
15050,0,0,0,10,10,0,,3,0,3,1
15051,0,12,0,3,3,0,,1,0,1,2
15052,1,0,0,5,5,0,,2,0,2,1
15053,0,0,0,5,5,0,,1,0,1,2
15054,6,3,0,62,49,13,,5,0,5,2
15055,1,2,0,5,2,3,,2,0,2,1
15056,0,0,0,11,1,10,,2,0,2,2
15057,16,0,0,247,231,16,,16,0,16,1
15058,26,97,190,195,159,36,,26,0,26,1
15059,1,0,0,5,5,0,,1,0,1,1
15060,1,0,0,9,8,1,,1,0,1,1
15061,2,6,0,6,6,0,,2,2,0,2
15062,4,1,0,8,0,8,,4,3,1,2
15063,NA,NA,NA,NA,NA,NA,,NA,NA,NA,0
15064,1,0,0,3,3,0,,0,0,0,1
15065,1,1,0,2,1,1,,1,0,1,1
15066,1,0,0,2,1,1,,2,1,1,1
15067,0,0,0,5,5,0,,1,0,1,1
15068,1,1,0,2,2,0,,1,1,0,1
15069,1,1,0,4,4,0,,2,1,1,1
15070,2,0,0,24,18,6,,2,0,2,2
15071,1,0,0,4,3,1,,2,0,2,2
15072,0,0,0,2,2,0,,1,0,1,2
15073,1,0,0,2,2,0,,1,0,1,1
15074,0,0,0,3,3,0,,0,0,0,9
15075,1,1,0,3,3,0,,1,0,1,2
15076,0,1,0,25,24,1,,2,0,2,1
15077,0,0,0,1,1,0,,0,0,0,2
15078,1,0,0,1,1,0,,1,1,0,2
15079,1,0,0,2,2,0,,1,0,1,1
15080,1,0,0,2,2,0,,1,1,0,2
15081,0,1,0,91,73,18,,1,1,0,2
15082,0,0,0,3,3,0,,1,0,1,1
15083,2,0,0,2,2,0,,2,2,0,1
15084,1,0,0,1,0,1,,1,0,1,2
15085,1,0,0,4,4,0,,2,0,2,1
15086,0,0,0,1,1,0,,1,0,1,1
15087,3,10,0,10,10,0,,3,0,3,1
15088,1,0,0,7,6,1,,4,0,4,2
15089,0,0,0,4,4,0,,2,0,2,1
15090,3,5,0,5,5,0,,3,1,2,2
15091,1,2,1,8,6,2,,2,0,2,1
15092,0,2,0,8,8,0,,1,0,1,1
15093,1,0,0,3,2,1,,1,0,1,2
15094,0,0,0,1,1,0,,1,1,0,2
15095,7,1,0,9,6,3,,7,6,1,2
15096,0,1,0,3,3,0,,1,0,1,2
15097,1,0,0,1,1,0,,1,1,0,2
15098,0,0,0,2,2,0,,1,0,1,1
15099,1,1,0,60,60,0,,3,2,1,1
15100,0,1,0,6,6,0,,2,0,2,1
15101,4,4,0,6,6,0,,1,0,1,2
15102,1,0,0,2,2,0,,1,0,1,2
15103,0,0,0,5,4,1,,4,3,1,2
15104,10,0,0,271,260,11,,10,0,10,2
15105,0,0,0,3,2,1,,1,1,0,1
15106,23,13,2,216,216,0,,24,0,24,9
15107,1,1,0,9,9,0,,1,1,0,9
15108,2,0,0,7,7,0,,3,0,3,2
15109,6,6,23,85,67,18,,8,8,0,1
15110,0,0,0,20,20,0,,10,10,0,1
15111,1,0,0,2,2,0,,2,0,2,2
15112,4,4,0,4,4,0,,1,0,1,1
15113,0,0,0,2,2,0,,1,1,0,9
15114,1,0,0,4,4,0,,1,0,1,1
15115,2,0,0,4,4,0,,3,3,0,1
15116,0,0,0,0,0,0,,0,0,0,2
15117,2,0,0,1,1,0,,1,0,1,2
15118,0,0,25,25,23,2,,2,0,2,1
15119,0,0,0,4,4,0,,1,0,1,1
15120,5,0,0,15,9,6,,7,5,2,9
15121,9,0,0,54,51,3,,12,9,3,2
15122,1,2,0,27,27,0,,1,0,1,2
15123,0,0,0,1,1,0,,1,0,1,1
15124,3,0,0,6,6,0,,3,0,3,2
15125,1,0,0,3,3,0,,1,0,1,2
16001,1,1,0,3,3,0,,2,0,2,1
16002,1,0,0,2,2,0,,2,1,1,1
16003,0,0,0,3,2,1,,0,0,0,1
16004,1,0,0,2,2,0,,1,0,1,1
16005,0,0,0,1,1,0,,0,0,0,2
16006,0,1,0,13,13,0,,1,1,0,1
16007,1,1,0,1,1,0,,1,0,1,1
16008,NA,NA,NA,NA,NA,NA,,NA,NA,NA,0
16009,1,0,0,3,3,0,,2,1,1,1
16010,NA,NA,NA,NA,NA,NA,,NA,NA,NA,0
16011,0,0,0,1,1,0,,1,1,0,2
16012,0,0,0,1,1,0,,1,1,0,2
16013,0,1,0,1,1,0,,1,0,1,1
16014,0,0,0,1,1,0,,1,1,0,2
16015,2,0,0,2,2,0,,0,0,0,2
16016,1,0,0,1,1,0,,1,0,1,2
16017,0,0,0,1,1,0,,1,0,1,2
16018,0,0,0,4,4,0,,0,0,0,2
16019,1,0,0,3,3,0,,2,0,2,1
16020,0,0,0,2,2,0,,2,1,1,1
16021,0,0,0,1,1,0,,1,1,0,9
16022,1,2,0,4,3,1,,2,0,2,2
16023,0,0,0,2,2,0,,1,1,0,1
16024,0,0,0,3,3,0,,3,0,3,2
16025,2,2,0,2,2,0,,2,0,2,1
16026,0,0,0,1,1,0,,0,0,0,2
16027,10,1,0,1,1,0,,1,1,0,2
16028,0,1,0,1,1,0,,1,0,1,1
16029,0,0,0,1,1,0,,0,0,0,2
16030,0,0,0,1,1,0,,1,1,0,1
16031,0,0,0,2,2,0,,2,0,2,2
16032,0,0,0,2,0,2,,1,0,1,2
16033,1,0,0,1,1,0,,0,0,0,2
16034,2,6,0,14,7,7,,8,8,0,1
16035,0,0,0,2,2,0,,1,0,1,2
16036,1,0,0,3,3,0,,1,0,1,1
16037,1,0,0,2,2,0,,1,1,0,2
16038,4,0,0,9,6,3,,4,2,2,1
16039,0,0,0,1,1,0,,1,1,0,9
16040,1,0,0,2,2,0,,1,1,0,1
16041,0,0,0,1,1,0,,1,1,0,2
16042,1,0,0,1,1,0,,0,0,0,2
16043,0,0,0,8,8,0,,0,0,0,1
16044,0,0,0,3,3,0,,0,0,0,2
16045,1,0,0,2,2,0,,1,1,0,2
16046,0,0,0,2,2,0,,2,2,0,2
16047,1,0,0,2,2,0,,1,1,0,1
16048,0,0,0,1,1,0,,1,1,0,1
16049,0,0,0,2,2,0,,1,0,1,2
16050,0,0,0,8,7,1,,1,0,1,1
16051,ND,ND,ND,ND,ND,ND,,ND,ND,ND,98
16052,1,0,0,19,19,0,,10,7,3,1
16053,15,5,50,170,150,20,,15,0,15,1
16054,0,0,0,1,1,0,,0,0,0,9
16055,0,0,0,2,2,0,,2,0,2,2
16056,0,0,0,1,1,0,,1,1,0,2
16057,0,0,0,1,1,0,,2,0,2,2
16058,0,0,0,1,1,0,,1,0,1,9
16059,0,0,0,1,1,0,,1,1,0,2
16060,0,0,0,2,0,2,,2,0,2,1
16061,0,0,0,1,1,0,,1,0,1,1
16062,0,0,0,2,2,0,,1,0,1,1
16063,0,0,0,1,0,1,,1,1,0,9
16064,0,0,0,1,1,0,,1,1,0,1
16065,1,0,0,2,2,0,,1,0,1,2
16066,4,0,0,7,7,0,,0,0,0,2
16067,1,0,0,2,2,0,,1,0,1,2
16068,0,1,0,3,2,1,,2,2,0,2
16069,1,0,0,14,14,0,,2,1,1,1
16070,2,1,0,2,2,0,,2,0,2,1
16071,1,0,0,2,2,0,,0,0,0,1
16072,1,0,0,1,1,0,,1,1,0,1
16073,1,0,0,5,4,1,,1,0,1,2
16074,0,0,0,1,1,0,,1,1,0,1
16075,3,0,0,5,5,0,,2,2,0,1
16076,2,0,0,5,5,0,,2,0,2,1
16077,1,0,0,2,1,1,,1,0,1,1
16078,0,0,0,3,3,0,,3,0,3,2
16079,0,0,0,4,4,0,,2,0,2,2
16080,0,0,0,2,2,0,,1,1,0,1
16081,0,0,0,1,1,0,,0,0,0,1
16082,2,0,0,11,11,0,,2,0,2,2
16083,4,1,0,8,7,1,,2,0,2,1
16084,0,0,0,2,2,0,,2,1,1,2
16085,2,0,0,4,4,0,,4,0,4,2
16086,2,0,0,1,1,0,,1,1,0,2
16087,0,0,0,1,1,0,,1,0,1,2
16088,0,0,0,24,24,0,,8,0,8,1
16089,2,0,0,4,3,1,,3,0,3,1
16090,0,0,0,1,1,0,,1,1,0,2
16091,1,0,0,3,2,1,,0,0,0,2
16092,0,1,0,3,3,0,,3,3,0,2
16093,1,1,0,1,1,0,,1,0,1,1
16094,1,0,0,1,1,0,,0,0,0,2
16095,0,1,0,2,1,1,,1,1,0,2
16096,1,1,0,1,1,0,,1,1,0,2
16097,0,0,0,2,1,1,,2,2,0,1
16098,1,0,0,1,1,0,,1,0,1,2
16099,1,1,0,1,1,0,,1,0,1,1
16100,1,0,0,3,3,0,,1,1,0,1
16101,1,1,0,3,3,0,,1,0,1,1
16102,0,0,0,64,34,30,,15,2,13,2
16103,0,0,0,1,1,0,,1,0,1,1
16104,0,0,0,2,2,0,,2,2,0,2
16105,0,0,0,2,2,0,,3,3,0,2
16106,0,0,0,2,2,0,,1,1,0,2
16107,0,0,0,5,5,0,,1,0,1,1
16108,2,1,0,30,30,0,,11,0,11,1
16109,0,0,0,1,1,0,,1,1,0,2
16110,0,0,0,3,3,0,,1,0,1,1
16111,0,0,0,2,2,0,,2,2,0,9
16112,1,2,0,13,13,0,,5,0,5,2
16113,1,1,0,1,1,0,,1,1,0,2
17001,0,0,0,4,4,0,,2,2,0,2
17002,0,0,0,6,5,1,,6,0,6,2
17003,1,0,0,3,3,0,,1,0,1,2
17004,3,0,0,10,10,0,,3,3,0,2
17005,1,0,0,1,1,0,,1,0,1,9
17006,10,0,0,45,43,2,,10,0,10,9
17007,0,0,0,162,154,8,,3,3,0,2
17008,1,0,0,6,6,0,,3,3,0,2
17009,0,0,0,1,1,0,,1,0,1,2
17010,0,0,0,3,3,0,,4,2,2,1
17011,0,1,0,29,29,0,,0,0,0,2
17012,3,0,0,12,12,0,,3,3,0,2
17013,2,1,0,2,2,0,,3,2,1,1
17014,0,0,0,1,1,0,,0,0,0,1
17015,0,0,0,1,1,0,,1,0,1,1
17016,1,1,0,1,1,0,,0,0,0,2
17017,0,0,0,3,3,0,,0,0,0,2
17018,0,0,0,35,35,0,,1,0,1,2
17019,1,1,0,3,3,0,,1,0,1,1
17020,1,0,0,10,10,0,,2,2,0,2
17021,2,2,0,1,1,0,,2,0,2,1
17022,1,0,0,2,2,0,,2,0,2,2
17023,1,1,0,2,2,0,,1,0,1,1
17024,0,0,0,7,5,2,,7,7,0,2
17025,0,0,0,6,6,0,,2,2,0,2
17026,0,0,0,1,1,0,,1,1,0,2
17027,0,0,0,2,2,0,,2,0,2,1
17028,4,0,0,11,11,0,,6,2,4,1
17029,1,2,0,8,8,0,,1,0,1,2
17030,0,0,0,7,7,0,,1,0,1,1
17031,NA,NA,NA,NA,NA,NA,,NA,NA,NA,0
17032,0,0,0,2,2,0,,2,0,2,9
17033,0,0,0,3,3,0,,2,0,2,2
17034,1,0,0,2,2,0,,1,1,0,1
17035,NA,NA,NA,NA,NA,NA,,NA,NA,NA,0
17036,2,0,0,2,2,0,,2,0,2,1
18001,1,0,0,4,4,0,,0,0,0,1
18002,0,1,0,4,4,0,,4,4,0,2
18003,0,0,0,3,2,1,,3,0,3,1
18004,1,1,0,11,11,0,,2,0,2,1
18005,4,0,0,3,3,0,,1,0,1,1
18006,0,0,0,6,6,0,,3,2,1,2
18007,1,0,0,1,1,0,,0,0,0,2
18008,0,0,0,3,3,0,,1,0,1,2
18009,0,0,0,3,2,1,,1,0,1,2
18010,0,0,0,1,1,0,,1,1,0,2
18011,0,1,0,3,3,0,,3,3,0,2
18012,3,0,0,4,3,1,,0,0,0,2
18013,0,0,0,3,3,0,,2,0,2,2
18014,7,0,0,5,5,0,,2,0,2,2
18015,0,0,0,9,9,0,,3,1,2,2
18016,0,0,0,4,4,0,,0,0,0,2
18017,3,1,0,47,43,4,,21,0,21,2
18018,1,0,0,5,5,0,,1,0,1,1
18019,1,0,0,2,2,0,,1,0,1,2
18020,0,1,0,36,32,4,,10,8,2,1
19001,NSS,NSS,NSS,NSS,NSS,NSS,,NSS,NSS,NSS,9
19002,NA,NA,NA,NA,NA,NA,,NA,NA,NA,0
19003,0,0,0,1,1,0,,1,0,1,9
19004,0,0,0,13,13,0,,3,0,3,2
19005,0,0,0,2,2,0,,1,0,1,2
19006,5,4,3,125,120,5,,41,41,0,2
19007,0,0,0,2,2,0,,2,2,0,2
19008,0,0,0,1,1,0,,1,0,1,2
19009,0,1,0,44,36,8,,7,0,7,9
19010,0,0,0,33,33,0,,8,2,6,1
19011,1,0,0,2,2,0,,0,0,0,2
19012,0,0,1,1,1,0,,1,0,1,2
19013,0,0,0,1,1,0,,1,1,0,1
19014,2,0,0,2,2,0,,2,0,2,1
19015,NA,NA,NA,NA,NA,NA,,NA,NA,NA,0
19016,0,0,0,3,2,1,,1,0,1,1
19017,0,0,0,3,2,1,,2,0,2,9
19018,18,2,1,119,109,10,,18,7,11,2
19019,4,65,0,166,159,7,,2,0,2,1
19020,0,0,0,1,1,0,,1,1,0,1
19021,NSS,NSS,NSS,NSS,NSS,NSS,,NSS,NSS,NSS,2
19022,0,0,0,2,2,0,,1,1,0,2
19023,NA,NA,NA,NA,NA,NA,,NA,NA,NA,0
19024,0,0,0,2,2,0,,2,1,1,1
19025,11,8,0,11,11,0,,8,6,2,1
19026,8,2,115,229,193,36,,13,13,0,2
19027,0,0,0,5,4,1,,2,0,2,1
19028,0,0,0,1,1,0,,1,1,0,1
19029,0,0,0,5,5,0,,1,0,1,9
19030,2,0,0,2,2,0,,2,0,2,9
19031,3,3,0,60,60,0,,10,9,1,2
19032,2,0,0,2,2,0,,0,0,0,1
19033,7,1,1,23,21,2,,11,5,6,1
19034,1,0,0,2,2,0,,1,0,1,1
19035,1,0,0,1,1,0,,0,0,0,2
19036,2,0,0,2,2,0,,3,0,3,1
19037,1,0,1,2,2,0,,1,0,1,2
19038,4,1,0,13,12,1,,3,0,3,1
19039,0,0,0,360,360,0,,35,0,35,1
19040,NA,NA,NA,NA,NA,NA,,NA,NA,NA,0
19041,0,0,0,3,0,3,,5,4,1,1
19042,2,2,0,2,2,0,,2,0,2,1
19043,1,0,0,1,1,0,,1,1,0,2
19044,3,4,0,10,10,0,,0,0,0,1
19045,0,0,0,8,8,0,,3,0,3,2
19046,13,7,0,98,74,24,,0,0,0,1
19047,0,0,0,4,4,0,,3,2,1,2
19048,0,1,0,91,90,1,,25,16,9,2
19049,3,2,12,29,27,2,,6,3,3,2
19050,NA,NA,NA,NA,NA,NA,,NA,NA,NA,0
19051,2,1,0,3,3,0,,2,0,2,9
20001,0,0,0,0,0,0,,0,0,0,2
20002,1,0,0,1,0,1,,1,0,1,1
20003,0,0,0,0,0,0,,0,0,0,2
20004,0,0,0,0,0,0,,0,0,0,2
20005,1,0,0,1,0,1,,1,0,1,2
20006,2,0,0,3,3,0,,0,0,0,2
20007,0,0,0,0,0,0,,0,0,0,2
20008,0,0,0,0,0,0,,0,0,0,2
20009,1,0,0,1,1,0,,0,0,0,2
20010,1,0,0,1,1,0,,1,1,0,2
20011,0,0,0,0,0,0,,0,0,0,2
20012,0,0,0,0,0,0,,0,0,0,2
20013,0,0,0,1,1,0,,0,0,0,2
20014,0,0,0,2,2,0,,1,0,1,2
20015,0,0,0,0,0,0,,0,0,0,2
20016,0,0,0,0,0,0,,0,0,0,2
20017,0,0,0,0,0,0,,0,0,0,2
20018,0,0,0,0,0,0,,0,0,0,2
20019,0,0,0,0,0,0,,0,0,0,2
20020,0,0,0,0,0,0,,0,0,0,2
20021,0,0,0,1,1,0,,0,0,0,1
20022,0,0,0,0,0,0,,0,0,0,2
20023,1,0,0,1,1,0,,0,0,0,2
20024,0,0,0,0,0,0,,0,0,0,2
20025,0,0,0,1,1,0,,1,1,0,2
20026,0,0,0,0,0,0,,0,0,0,2
20027,0,0,0,0,0,0,,0,0,0,2
20028,0,0,0,2,0,2,,1,1,0,1
20029,0,0,0,0,0,0,,0,0,0,2
20030,2,0,0,2,2,0,,2,2,0,2
20031,0,0,0,0,0,0,,0,0,0,2
20032,0,0,0,0,0,0,,0,0,0,2
20033,0,0,0,1,0,1,,0,0,0,2
20034,0,0,0,0,0,0,,0,0,0,2
20035,0,0,0,0,0,0,,0,0,0,2
20036,0,0,0,0,0,0,,0,0,0,2
20037,0,0,0,0,0,0,,0,0,0,9
20038,0,0,0,0,0,0,,0,0,0,2
20039,0,0,0,1,1,0,,1,0,1,1
20040,0,0,0,0,0,0,,0,0,0,2
20041,1,0,0,1,1,0,,1,1,0,2
20042,1,0,0,1,1,0,,1,1,0,2
20043,1,1,0,1,1,0,,1,0,1,2
20044,1,0,0,1,1,0,,0,0,0,1
20045,1,0,0,1,1,0,,0,0,0,2
20046,0,0,0,0,0,0,,0,0,0,2
20047,0,0,0,0,0,0,,0,0,0,2
20048,0,0,0,0,0,0,,0,0,0,2
20049,0,0,0,0,0,0,,0,0,0,2
20050,0,0,0,0,0,0,,0,0,0,2
20051,0,0,0,0,0,0,,0,0,0,2
20052,0,0,0,0,0,0,,0,0,0,2
20053,0,0,0,0,0,0,,0,0,0,2
20054,0,0,0,0,0,0,,0,0,0,2
20055,0,0,0,0,0,0,,0,0,0,2
20056,0,0,0,0,0,0,,0,0,0,2
20057,0,0,0,2,2,0,,1,0,1,2
20058,0,0,0,1,1,0,,0,0,0,2
20059,0,0,0,3,3,0,,1,0,1,2
20060,0,0,0,0,0,0,,0,0,0,2
20061,0,0,0,0,0,0,,0,0,0,2
20062,0,0,0,0,0,0,,0,0,0,2
20063,0,0,0,1,1,0,,1,0,1,1
20064,0,0,0,0,0,0,,0,0,0,2
20065,0,0,0,0,0,0,,0,0,0,2
20066,0,0,0,0,0,0,,0,0,0,2
20067,3,8,0,192,179,13,,65,0,65,2
20068,0,0,0,2,2,0,,1,1,0,2
20069,0,0,0,0,0,0,,0,0,0,2
20070,1,0,0,1,1,0,,0,0,0,2
20071,0,0,0,0,0,0,,0,0,0,2
20072,0,0,0,0,0,0,,0,0,0,2
20073,2,0,0,2,2,0,,0,0,0,2
20074,0,0,0,0,0,0,,0,0,0,2
20075,0,0,0,0,0,0,,0,0,0,2
20076,0,0,0,0,0,0,,0,0,0,2
20077,0,0,0,0,0,0,,0,0,0,2
20078,0,0,0,0,0,0,,0,0,0,2
20079,2,0,0,5,5,0,,2,0,2,2
20080,0,0,0,0,0,0,,0,0,0,2
20081,0,0,0,0,0,0,,0,0,0,2
20082,0,0,0,0,0,0,,0,0,0,2
20083,0,0,0,2,2,0,,1,1,0,2
20084,0,0,0,0,0,0,,0,0,0,2
20085,0,0,0,0,0,0,,0,0,0,2
20086,0,0,0,0,0,0,,0,0,0,2
20087,0,0,0,0,0,0,,0,0,0,2
20088,0,0,0,0,0,0,,0,0,0,2
20089,0,0,0,0,0,0,,0,0,0,2
20090,0,0,0,0,0,0,,0,0,0,2
20091,0,0,0,1,1,0,,1,0,1,2
20092,0,0,0,1,1,0,,1,1,0,2
20093,0,0,0,0,0,0,,0,0,0,2
20094,0,0,0,0,0,0,,0,0,0,2
20095,0,0,0,0,0,0,,0,0,0,2
20096,0,0,0,0,0,0,,0,0,0,2
20097,0,0,0,0,0,0,,0,0,0,2
20098,0,0,0,0,0,0,,0,0,0,2
20099,0,0,0,0,0,0,,0,0,0,2
20100,0,0,0,0,0,0,,0,0,0,2
20101,0,0,0,0,0,0,,0,0,0,2
20102,0,0,0,1,1,0,,1,1,0,2
20103,0,0,0,1,1,0,,0,0,0,2
20104,0,0,0,0,0,0,,0,0,0,2
20105,0,0,0,0,0,0,,0,0,0,2
20106,0,0,0,0,0,0,,0,0,0,2
20107,0,0,0,1,1,0,,1,1,0,2
20108,0,0,0,0,0,0,,0,0,0,2
20109,0,0,0,0,0,0,,0,0,0,2
20110,0,0,0,0,0,0,,0,0,0,2
20111,0,0,0,0,0,0,,0,0,0,2
20112,0,0,0,1,1,0,,1,1,0,2
20113,0,0,0,0,0,0,,0,0,0,2
20114,0,0,0,0,0,0,,0,0,0,2
20115,0,0,0,0,0,0,,0,0,0,2
20116,0,0,0,0,0,0,,0,0,0,2
20117,0,0,0,0,0,0,,0,0,0,2
20118,0,0,0,2,1,1,,1,1,0,2
20119,0,0,0,0,0,0,,0,0,0,2
20120,0,0,0,0,0,0,,0,0,0,2
20121,0,0,0,0,0,0,,0,0,0,2
20122,0,0,0,0,0,0,,0,0,0,2
