ubicageo_f,tipoequi_g,rnsnni1,totalca1
13008,42,2,NA
13008,50,2,NA
13008,60,1,3
13008,70,2,NA
13008,80,2,NA
13008,90,1,1
13008,101,2,NA
13008,102,2,NA
13008,103,2,NA
13008,104,2,NA
13008,105,2,NA
13008,110,2,NA
13009,10,2,NA
13009,20,2,NA
13009,30,2,NA
13009,41,2,NA
13009,42,2,NA
13009,50,2,NA
13009,60,2,NA
13009,70,2,NA
13009,80,2,NA
13009,90,1,1
13009,101,2,NA
13009,102,2,NA
13009,103,2,NA
13009,104,2,NA
13009,105,2,NA
13009,110,2,NA
13010,10,2,NA
13010,20,2,NA
13010,30,2,NA
13010,41,2,NA
13010,42,2,NA
13010,50,2,NA
13010,60,2,NA
13010,70,2,NA
13010,80,2,NA
13010,90,1,11
13010,101,2,NA
13010,102,2,NA
13010,103,2,NA
13010,104,2,NA
13010,105,2,NA
13010,110,2,NA
13011,10,2,NA
13011,20,2,NA
13011,30,2,NA
13011,41,2,NA
13011,42,2,NA
13011,50,2,NA
13011,60,2,NA
13011,70,2,NA
13011,80,2,NA
13011,90,2,NA
13011,101,2,NA
13011,102,2,NA
13011,103,2,NA
13011,104,2,NA
13011,105,2,NA
13011,110,2,NA
13012,10,2,NA
13012,20,2,NA
13012,30,2,NA
13012,41,2,NA
13012,42,2,NA
13012,50,2,NA
13012,60,2,NA
13012,70,2,NA
13012,80,2,NA
13012,90,2,NA
13012,101,2,NA
13012,102,2,NA
13012,103,2,NA
13012,104,2,NA
13012,105,2,NA
13012,110,2,NA
13013,10,2,NA
13013,20,2,NA
13013,30,2,NA
13013,41,2,NA
13013,42,2,NA
13013,50,2,NA
13013,60,2,NA
13013,70,2,NA
13013,80,2,NA
13013,90,1,1
13013,101,2,NA
13013,102,2,NA
13013,103,1,1
13013,104,2,NA
13013,105,2,NA
13013,110,2,NA
13014,10,2,NA
13014,20,2,NA
13014,30,2,NA
13014,41,2,NA
13014,42,2,NA
13014,50,2,NA
13014,60,2,NA
13014,70,2,NA
13014,80,2,NA
13014,90,2,NA
13014,101,2,NA
13014,102,2,NA
13014,103,2,NA
13014,104,2,NA
13014,105,2,NA
13014,110,2,NA
13015,10,2,NA
13015,20,2,NA
13015,30,2,NA
13015,41,2,NA
13015,42,2,NA
13015,50,2,NA
13015,60,2,NA
13015,70,2,NA
13015,80,2,NA
13015,90,2,NA
13015,101,2,NA
13015,102,2,NA
13015,103,2,NA
13015,104,2,NA
13015,105,2,NA
13015,110,2,NA
13016,10,2,NA
13016,20,2,NA
13016,30,2,NA
13016,41,2,NA
13016,42,2,NA
13016,50,2,NA
13016,60,2,NA
13016,70,2,NA
13016,80,2,NA
13016,90,1,1
13016,101,2,NA
13016,102,2,NA
13016,103,2,NA
13016,104,2,NA
13016,105,2,NA
13016,110,2,NA
13017,10,2,NA
13017,20,2,NA
13017,30,2,NA
13017,41,2,NA
13017,42,2,NA
13017,50,2,NA
13017,60,2,NA
13017,70,2,NA
13017,80,2,NA
13017,90,2,NA
13017,101,2,NA
13017,102,2,NA
13017,103,2,NA
13017,104,2,NA
13017,105,2,NA
13017,110,2,NA
13018,10,2,NA
13018,20,2,NA
13018,30,2,NA
13018,41,2,NA
13018,42,2,NA
13018,50,2,NA
13018,60,2,NA
13018,70,2,NA
13018,80,2,NA
13018,90,2,NA
13018,101,2,NA
13018,102,2,NA
13018,103,2,NA
13018,104,2,NA
13018,105,2,NA
13018,110,2,NA
13019,10,2,NA
13019,20,2,NA
13019,30,2,NA
13019,41,2,NA
13019,42,2,NA
13019,50,2,NA
13019,60,2,NA
13019,70,2,NA
13019,80,2,NA
13019,90,2,NA
13019,101,2,NA
13019,102,2,NA
13019,103,2,NA
13019,104,2,NA
13019,105,2,NA
13019,110,2,NA
13020,10,2,NA
13020,20,2,NA
13020,30,2,NA
13020,41,2,NA
13020,42,2,NA
13020,50,2,NA
13020,60,2,NA
13020,70,2,NA
13020,80,2,NA
13020,90,2,NA
13020,101,2,NA
13020,102,2,NA
13020,103,2,NA
13020,104,2,NA
13020,105,2,NA
13020,110,2,NA
13021,10,2,NA
13021,20,2,NA
13021,30,2,NA
13021,41,2,NA
13021,42,2,NA
13021,50,2,NA
13021,60,2,NA
13021,70,2,NA
13021,80,2,NA
13021,90,2,NA
13021,101,2,NA
13021,102,2,NA
13021,103,2,NA
13021,104,2,NA
13021,105,2,NA
13021,110,2,NA
13022,10,2,NA
13022,20,2,NA
13022,30,1,1
13022,41,2,NA
13022,42,2,NA
13022,50,2,NA
13022,60,2,NA
13022,70,2,NA
13022,80,2,NA
13022,90,2,NA
13022,101,2,NA
13022,102,2,NA
13022,103,2,NA
13022,104,2,NA
13022,105,2,NA
13022,110,2,NA
13023,10,2,NA
13023,20,2,NA
13023,30,2,NA
13023,41,2,NA
13023,42,2,NA
13023,50,2,NA
13023,60,2,NA
13023,70,2,NA
13023,80,2,NA
13023,90,2,NA
13023,101,2,NA
13023,102,2,NA
13023,103,2,NA
13023,104,2,NA
13023,105,2,NA
13023,110,2,NA
13024,10,2,NA
13024,20,2,NA
13024,30,2,NA
13024,41,2,NA
13024,42,2,NA
13024,50,2,NA
13024,60,2,NA
13024,70,2,NA
13024,80,2,NA
13024,90,2,NA
13024,101,2,NA
13024,102,2,NA
13024,103,2,NA
13024,104,2,NA
13024,105,2,NA
13024,110,2,NA
13025,10,2,NA
13025,20,2,NA
13025,30,2,NA
13025,41,2,NA
13025,42,2,NA
13025,50,2,NA
13025,60,2,NA
13025,70,2,NA
13025,80,2,NA
13025,90,2,NA
13025,101,2,NA
13025,102,2,NA
13025,103,2,NA
13025,104,2,NA
13025,105,2,NA
13025,110,2,NA
13026,10,2,NA
13026,20,2,NA
13026,30,2,NA
13026,41,2,NA
13026,42,2,NA
13026,50,2,NA
13026,60,2,NA
13026,70,2,NA
13026,80,2,NA
13026,90,1,1
13026,101,2,NA
13026,102,2,NA
13026,103,2,NA
13026,104,2,NA
13026,105,2,NA
13026,110,2,NA
13027,10,2,NA
13027,20,2,NA
13027,30,2,NA
13027,41,2,NA
13027,42,1,1
13027,50,2,NA
13027,60,2,NA
13027,70,2,NA
13027,80,2,NA
13027,90,2,NA
13027,101,2,NA
13027,102,2,NA
13027,103,2,NA
13027,104,2,NA
13027,105,2,NA
13027,110,2,NA
13028,10,2,NA
13028,20,2,NA
13028,30,2,NA
13028,41,2,NA
13028,42,2,NA
13028,50,2,NA
13028,60,2,NA
13028,70,2,NA
13028,80,2,NA
13028,90,2,NA
13028,101,2,NA
13028,102,2,NA
13028,103,2,NA
13028,104,2,NA
13028,105,2,NA
13028,110,2,NA
13029,10,2,NA
13029,20,2,NA
13029,30,2,NA
13029,41,2,NA
13029,42,2,NA
13029,50,2,NA
13029,60,2,NA
13029,70,2,NA
13029,80,2,NA
13029,90,1,1
13029,101,2,NA
13029,102,2,NA
13029,103,2,NA
13029,104,2,NA
13029,105,2,NA
13029,110,2,NA
13030,10,2,NA
13030,20,2,NA
13030,30,2,NA
13030,41,2,NA
13030,42,2,NA
13030,50,2,NA
13030,60,2,NA
13030,70,2,NA
13030,80,2,NA
13030,90,1,25
13030,101,2,NA
13030,102,2,NA
13030,103,2,NA
13030,104,2,NA
13030,105,2,NA
13030,110,2,NA
13031,10,2,NA
13031,20,2,NA
13031,30,2,NA
13031,41,2,NA
13031,42,2,NA
13031,50,2,NA
13031,60,2,NA
13031,70,2,NA
13031,80,2,NA
13031,90,2,NA
13031,101,2,NA
13031,102,2,NA
13031,103,2,NA
13031,104,2,NA
13031,105,2,NA
13031,110,2,NA
13032,10,2,NA
13032,20,2,NA
13032,30,2,NA
13032,41,2,NA
13032,42,2,NA
13032,50,2,NA
13032,60,2,NA
13032,70,2,NA
13032,80,2,NA
13032,90,2,NA
13032,101,2,NA
13032,102,2,NA
13032,103,2,NA
13032,104,2,NA
13032,105,2,NA
13032,110,2,NA
13033,10,2,NA
13033,20,2,NA
13033,30,2,NA
13033,41,2,NA
13033,42,2,NA
13033,50,2,NA
13033,60,2,NA
13033,70,2,NA
13033,80,2,NA
13033,90,1,3
13033,101,2,NA
13033,102,2,NA
13033,103,2,NA
13033,104,2,NA
13033,105,2,NA
13033,110,2,NA
13034,10,2,NA
13034,20,2,NA
13034,30,2,NA
13034,41,2,NA
13034,42,2,NA
13034,50,2,NA
13034,60,2,NA
13034,70,2,NA
13034,80,2,NA
13034,90,2,NA
13034,101,2,NA
13034,102,2,NA
13034,103,2,NA
13034,104,2,NA
13034,105,2,NA
13034,110,2,NA
13035,10,2,NA
13035,20,2,NA
13035,30,2,NA
13035,41,2,NA
13035,42,2,NA
13035,50,2,NA
13035,60,2,NA
13035,70,2,NA
13035,80,2,NA
13035,90,2,NA
13035,101,2,NA
13035,102,2,NA
13035,103,2,NA
13035,104,2,NA
13035,105,2,NA
13035,110,2,NA
13036,10,2,NA
13036,20,2,NA
13036,30,2,NA
13036,41,2,NA
13036,42,2,NA
13036,50,2,NA
13036,60,2,NA
13036,70,2,NA
13036,80,2,NA
13036,90,1,1
13036,101,2,NA
13036,102,2,NA
13036,103,2,NA
13036,104,2,NA
13036,105,2,NA
13036,110,2,NA
13037,10,2,NA
13037,20,2,NA
13037,30,2,NA
13037,41,2,NA
13037,42,2,NA
13037,50,2,NA
13037,60,2,NA
13037,70,2,NA
13037,80,2,NA
13037,90,1,1
13037,101,2,NA
13037,102,2,NA
13037,103,2,NA
13037,104,2,NA
13037,105,2,NA
13037,110,2,NA
13038,10,1,42
13038,20,1,5
13038,30,2,NA
13038,41,2,NA
13038,42,2,NA
13038,50,2,NA
13038,60,2,NA
13038,70,2,NA
13038,80,2,NA
13038,90,1,12
13038,101,2,NA
13038,102,2,NA
13038,103,2,NA
13038,104,2,NA
13038,105,2,NA
13038,110,2,NA
13039,10,2,NA
13039,20,2,NA
13039,30,2,NA
13039,41,2,NA
13039,42,2,NA
13039,50,2,NA
13039,60,1,3
13039,70,2,NA
13039,80,2,NA
13039,90,2,NA
13039,101,2,NA
13039,102,2,NA
13039,103,2,NA
13039,104,2,NA
13039,105,2,NA
13039,110,2,NA
13040,10,2,NA
13040,20,2,NA
13040,30,2,NA
13040,41,2,NA
13040,42,2,NA
13040,50,2,NA
13040,60,2,NA
13040,70,2,NA
13040,80,2,NA
13040,90,2,NA
13040,101,2,NA
13040,102,2,NA
13040,103,2,NA
13040,104,2,NA
13040,105,2,NA
13040,110,2,NA
13041,10,2,NA
13041,20,2,NA
13041,30,2,NA
13041,41,2,NA
13041,42,2,NA
13041,50,2,NA
13041,60,2,NA
13041,70,2,NA
13041,80,2,NA
13041,90,2,NA
13041,101,2,NA
13041,102,2,NA
13041,103,2,NA
13041,104,2,NA
13041,105,2,NA
13041,110,2,NA
13042,10,2,NA
13042,20,2,NA
13042,30,2,NA
13042,41,2,NA
13042,42,2,NA
13042,50,2,NA
13042,60,2,NA
13042,70,2,NA
13042,80,2,NA
13042,90,1,2
13042,101,2,NA
13042,102,2,NA
13042,103,2,NA
13042,104,2,NA
13042,105,2,NA
13042,110,2,NA
13043,10,2,NA
13043,20,2,NA
13043,30,2,NA
13043,41,2,NA
13043,42,2,NA
13043,50,2,NA
13043,60,2,NA
13043,70,2,NA
13043,80,2,NA
13043,90,2,NA
13043,101,2,NA
13043,102,2,NA
13043,103,2,NA
13043,104,2,NA
13043,105,2,NA
13043,110,2,NA
13044,10,2,NA
13044,20,2,NA
13044,30,2,NA
13044,41,1,7
13044,42,2,NA
13044,50,2,NA
13044,60,1,1
13044,70,2,NA
13044,80,2,NA
13044,90,1,1
13044,101,2,NA
13044,102,2,NA
13044,103,2,NA
13044,104,2,NA
13044,105,2,NA
13044,110,2,NA
13045,10,2,NA
13045,20,2,NA
13045,30,2,NA
13045,41,2,NA
13045,42,2,NA
13045,50,2,NA
13045,60,2,NA
13045,70,2,NA
13045,80,2,NA
13045,90,2,NA
13045,101,2,NA
13045,102,2,NA
13045,103,2,NA
13045,104,2,NA
13045,105,2,NA
13045,110,2,NA
13046,10,2,NA
13046,20,2,NA
13046,30,2,NA
13046,41,2,NA
13046,42,2,NA
13046,50,2,NA
13046,60,2,NA
13046,70,2,NA
13046,80,2,NA
13046,90,1,1
13046,101,2,NA
13046,102,2,NA
13046,103,2,NA
13046,104,2,NA
13046,105,2,NA
13046,110,2,NA
13047,10,2,NA
13047,20,2,NA
13047,30,2,NA
13047,41,2,NA
13047,42,2,NA
13047,50,2,NA
13047,60,2,NA
13047,70,2,NA
13047,80,2,NA
13047,90,2,NA
13047,101,2,NA
13047,102,2,NA
13047,103,2,NA
13047,104,2,NA
13047,105,2,NA
13047,110,2,NA
13048,10,2,NA
13048,20,2,NA
13048,30,2,NA
13048,41,2,NA
13048,42,2,NA
13048,50,2,NA
13048,60,1,4
13048,70,1,4
13048,80,2,NA
13048,90,2,NA
13048,101,2,NA
13048,102,2,NA
13048,103,2,NA
13048,104,2,NA
13048,105,2,NA
13048,110,2,NA
13049,10,2,NA
13049,20,2,NA
13049,30,2,NA
13049,41,2,NA
13049,42,2,NA
13049,50,2,NA
13049,60,2,NA
13049,70,2,NA
13049,80,2,NA
13049,90,2,NA
13049,101,2,NA
13049,102,2,NA
13049,103,2,NA
13049,104,2,NA
13049,105,2,NA
13049,110,2,NA
13050,10,2,NA
13050,20,2,NA
13050,30,2,NA
13050,41,2,NA
13050,42,2,NA
13050,50,2,NA
13050,60,2,NA
13050,70,2,NA
13050,80,2,NA
13050,90,2,NA
13050,101,2,NA
13050,102,2,NA
13050,103,2,NA
13050,104,2,NA
13050,105,2,NA
13050,110,2,NA
13051,10,2,NA
13051,20,2,NA
13051,30,2,NA
13051,41,2,NA
13051,42,2,NA
13051,50,2,NA
13051,60,1,3
13051,70,1,300
13051,80,2,NA
13051,90,1,61
13051,101,2,NA
13051,102,2,NA
13051,103,2,NA
13051,104,2,NA
13051,105,2,NA
13051,110,2,NA
13052,10,2,NA
13052,20,2,NA
13052,30,2,NA
13052,41,2,NA
13052,42,2,NA
13052,50,2,NA
13052,60,2,NA
13052,70,2,NA
13052,80,2,NA
13052,90,2,NA
13052,101,2,NA
13052,102,2,NA
13052,103,2,NA
13052,104,2,NA
13052,105,2,NA
13052,110,2,NA
13053,10,2,NA
13053,20,2,NA
13053,30,2,NA
13053,41,2,NA
13053,42,2,NA
13053,50,2,NA
13053,60,2,NA
13053,70,2,NA
13053,80,2,NA
13053,90,1,1
13053,101,2,NA
13053,102,2,NA
13053,103,2,NA
13053,104,2,NA
13053,105,2,NA
13053,110,2,NA
13054,10,2,NA
13054,20,2,NA
13054,30,2,NA
13054,41,2,NA
13054,42,2,NA
13054,50,2,NA
13054,60,2,NA
13054,70,2,NA
13054,80,2,NA
13054,90,2,NA
13054,101,2,NA
13054,102,2,NA
13054,103,2,NA
13054,104,2,NA
13054,105,2,NA
13054,110,2,NA
13055,10,2,NA
13055,20,2,NA
13055,30,2,NA
13055,41,2,NA
13055,42,2,NA
13055,50,2,NA
13055,60,2,NA
13055,70,2,NA
13055,80,2,NA
13055,90,2,NA
13055,101,2,NA
13055,102,2,NA
13055,103,2,NA
13055,104,2,NA
13055,105,2,NA
13055,110,2,NA
13056,10,2,NA
13056,20,2,NA
13056,30,2,NA
13056,41,2,NA
13056,42,2,NA
13056,50,2,NA
13056,60,2,NA
13056,70,2,NA
13056,80,2,NA
13056,90,2,NA
13056,101,2,NA
13056,102,2,NA
13056,103,2,NA
13056,104,2,NA
13056,105,2,NA
13056,110,2,NA
13057,10,2,NA
13057,20,2,NA
13057,30,2,NA
13057,41,2,NA
13057,42,2,NA
13057,50,2,NA
13057,60,2,NA
13057,70,2,NA
13057,80,2,NA
13057,90,2,NA
13057,101,2,NA
13057,102,2,NA
13057,103,2,NA
13057,104,2,NA
13057,105,2,NA
13057,110,2,NA
13058,10,2,NA
13058,20,2,NA
13058,30,2,NA
13058,41,2,NA
13058,42,1,9
13058,50,2,NA
13058,60,2,NA
13058,70,2,NA
13058,80,2,NA
13058,90,1,1
13058,101,2,NA
13058,102,2,NA
13058,103,2,NA
13058,104,2,NA
13058,105,2,NA
13058,110,2,NA
13059,10,2,NA
13059,20,2,NA
13059,30,2,NA
13059,41,2,NA
13059,42,2,NA
13059,50,2,NA
13059,60,2,NA
13059,70,2,NA
13059,80,2,NA
13059,90,2,NA
13059,101,2,NA
13059,102,2,NA
13059,103,2,NA
13059,104,2,NA
13059,105,2,NA
13059,110,2,NA
13060,10,2,NA
13060,20,2,NA
13060,30,2,NA
13060,41,2,NA
13060,42,2,NA
13060,50,2,NA
13060,60,2,NA
13060,70,2,NA
13060,80,2,NA
13060,90,2,NA
13060,101,2,NA
13060,102,2,NA
13060,103,2,NA
13060,104,2,NA
13060,105,2,NA
13060,110,2,NA
13061,10,2,NA
13061,20,2,NA
13061,30,2,NA
13061,41,2,NA
13061,42,2,NA
13061,50,2,NA
13061,60,2,NA
13061,70,2,NA
13061,80,2,NA
13061,90,1,5
13061,101,2,NA
13061,102,2,NA
13061,103,2,NA
13061,104,2,NA
13061,105,2,NA
13061,110,2,NA
13062,10,2,NA
13062,20,2,NA
13062,30,2,NA
13062,41,2,NA
13062,42,2,NA
13062,50,2,NA
13062,60,2,NA
13062,70,2,NA
13062,80,2,NA
13062,90,1,3
13062,101,2,NA
13062,102,2,NA
13062,103,2,NA
13062,104,2,NA
13062,105,2,NA
13062,110,2,NA
13063,10,2,NA
13063,20,2,NA
13063,30,1,2
13063,41,2,NA
13063,42,2,NA
13063,50,2,NA
13063,60,2,NA
13063,70,2,NA
13063,80,2,NA
13063,90,2,NA
13063,101,2,NA
13063,102,2,NA
13063,103,2,NA
13063,104,2,NA
13063,105,2,NA
13063,110,2,NA
13064,10,2,NA
13064,20,2,NA
13064,30,2,NA
13064,41,2,NA
13064,42,2,NA
13064,50,2,NA
13064,60,2,NA
13064,70,2,NA
13064,80,2,NA
13064,90,2,NA
13064,101,2,NA
13064,102,2,NA
13064,103,2,NA
13064,104,2,NA
13064,105,2,NA
13064,110,2,NA
13065,10,2,NA
13065,20,2,NA
13065,30,2,NA
13065,41,2,NA
13065,42,2,NA
13065,50,2,NA
13065,60,1,1
13065,70,2,NA
13065,80,2,NA
13065,90,1,1
13065,101,2,NA
13065,102,2,NA
13065,103,2,NA
13065,104,2,NA
13065,105,2,NA
13065,110,2,NA
13066,10,2,NA
13066,20,2,NA
13066,30,2,NA
13066,41,2,NA
13066,42,2,NA
13066,50,2,NA
13066,60,2,NA
13066,70,2,NA
13066,80,2,NA
13066,90,1,20
13066,101,2,NA
13066,102,2,NA
13066,103,2,NA
13066,104,2,NA
13066,105,2,NA
13066,110,2,NA
13067,10,2,NA
13067,20,2,NA
13067,30,2,NA
13067,41,2,NA
13067,42,2,NA
13067,50,2,NA
13067,60,2,NA
13067,70,2,NA
13067,80,2,NA
13067,90,2,NA
13067,101,2,NA
13067,102,2,NA
13067,103,2,NA
13067,104,2,NA
13067,105,2,NA
13067,110,2,NA
13068,10,2,NA
13068,20,2,NA
13068,30,2,NA
13068,41,2,NA
13068,42,2,NA
13068,50,2,NA
13068,60,2,NA
13068,70,2,NA
13068,80,2,NA
13068,90,1,1
13068,101,2,NA
13068,102,2,NA
13068,103,2,NA
13068,104,2,NA
13068,105,2,NA
13068,110,2,NA
13069,10,2,NA
13069,20,2,NA
13069,30,2,NA
13069,41,2,NA
13069,42,2,NA
13069,50,2,NA
13069,60,1,2
13069,70,2,NA
13069,80,2,NA
13069,90,1,33
13069,101,2,NA
13069,102,2,NA
13069,103,2,NA
13069,104,2,NA
13069,105,2,NA
13069,110,2,NA
13070,10,2,NA
13070,20,2,NA
13070,30,2,NA
13070,41,2,NA
13070,42,2,NA
13070,50,2,NA
13070,60,2,NA
13070,70,2,NA
13070,80,2,NA
13070,90,2,NA
13070,101,2,NA
13070,102,2,NA
13070,103,2,NA
13070,104,2,NA
13070,105,2,NA
13070,110,2,NA
13071,10,2,NA
13071,20,2,NA
13071,30,2,NA
13071,41,2,NA
13071,42,2,NA
13071,50,2,NA
13071,60,2,NA
13071,70,2,NA
13071,80,2,NA
13071,90,1,1
13071,101,2,NA
13071,102,2,NA
13071,103,2,NA
13071,104,2,NA
13071,105,2,NA
13071,110,2,NA
13072,10,2,NA
13072,20,2,NA
13072,30,2,NA
13072,41,2,NA
13072,42,2,NA
13072,50,2,NA
13072,60,2,NA
13072,70,2,NA
13072,80,2,NA
13072,90,2,NA
13072,101,2,NA
13072,102,2,NA
13072,103,2,NA
13072,104,2,NA
13072,105,2,NA
13072,110,2,NA
13073,10,2,NA
13073,20,2,NA
13073,30,2,NA
13073,41,2,NA
13073,42,2,NA
13073,50,2,NA
13073,60,2,NA
13073,70,2,NA
13073,80,2,NA
13073,90,2,NA
13073,101,2,NA
13073,102,2,NA
13073,103,2,NA
13073,104,2,NA
13073,105,2,NA
13073,110,2,NA
13074,10,2,NA
13074,20,2,NA
13074,30,2,NA
13074,41,2,NA
13074,42,2,NA
13074,50,2,NA
13074,60,2,NA
13074,70,2,NA
13074,80,2,NA
13074,90,1,1
13074,101,2,NA
13074,102,2,NA
13074,103,2,NA
13074,104,2,NA
13074,105,2,NA
13074,110,2,NA
13075,10,2,NA
13075,20,2,NA
13075,30,2,NA
13075,41,2,NA
13075,42,2,NA
13075,50,2,NA
13075,60,2,NA
13075,70,2,NA
13075,80,2,NA
13075,90,2,NA
13075,101,2,NA
13075,102,2,NA
13075,103,2,NA
13075,104,2,NA
13075,105,2,NA
13075,110,2,NA
13076,10,2,NA
13076,20,2,NA
13076,30,2,NA
13076,41,2,NA
13076,42,2,NA
13076,50,2,NA
13076,60,2,NA
13076,70,2,NA
13076,80,2,NA
13076,90,1,20
13076,101,2,NA
13076,102,2,NA
13076,103,2,NA
13076,104,2,NA
13076,105,2,NA
13076,110,2,NA
13077,10,2,NA
13077,20,2,NA
13077,30,2,NA
13077,41,2,NA
13077,42,2,NA
13077,50,2,NA
13077,60,2,NA
13077,70,2,NA
13077,80,2,NA
13077,90,1,1
13077,101,2,NA
13077,102,2,NA
13077,103,2,NA
13077,104,2,NA
13077,105,2,NA
13077,110,2,NA
13078,10,2,NA
13078,20,2,NA
13078,30,2,NA
13078,41,2,NA
13078,42,2,NA
13078,50,2,NA
13078,60,2,NA
13078,70,1,1
13078,80,2,NA
13078,90,2,NA
13078,101,2,NA
13078,102,2,NA
13078,103,2,NA
13078,104,2,NA
13078,105,2,NA
13078,110,2,NA
13079,10,2,NA
13079,20,2,NA
13079,30,2,NA
13079,41,2,NA
13079,42,2,NA
13079,50,2,NA
13079,60,2,NA
13079,70,2,NA
13079,80,2,NA
13079,90,2,NA
13079,101,2,NA
13079,102,2,NA
13079,103,2,NA
13079,104,2,NA
13079,105,2,NA
13079,110,2,NA
13080,10,2,NA
13080,20,2,NA
13080,30,2,NA
13080,41,2,NA
13080,42,2,NA
13080,50,2,NA
13080,60,2,NA
13080,70,2,NA
13080,80,2,NA
13080,90,2,NA
13080,101,2,NA
13080,102,2,NA
13080,103,2,NA
13080,104,2,NA
13080,105,2,NA
13080,110,2,NA
13081,10,2,NA
13081,20,2,NA
13081,30,2,NA
13081,41,2,NA
13081,42,2,NA
13081,50,2,NA
13081,60,1,1
13081,70,1,35
13081,80,2,NA
13081,90,1,2
13081,101,2,NA
13081,102,2,NA
13081,103,2,NA
13081,104,2,NA
13081,105,2,NA
13081,110,2,NA
13082,10,2,NA
13082,20,2,NA
13082,30,2,NA
13082,41,2,NA
13082,42,2,NA
13082,50,2,NA
13082,60,1,1
13082,70,2,NA
13082,80,2,NA
13082,90,1,2
13082,101,2,NA
13082,102,2,NA
13082,103,2,NA
13082,104,2,NA
13082,105,2,NA
13082,110,2,NA
13083,10,2,NA
13083,20,2,NA
13083,30,2,NA
13083,41,2,NA
13083,42,2,NA
13083,50,2,NA
13083,60,1,1
13083,70,1,44
13083,80,2,NA
13083,90,1,4
13083,101,2,NA
13083,102,2,NA
13083,103,2,NA
13083,104,2,NA
13083,105,2,NA
13083,110,2,NA
13084,10,2,NA
13084,20,2,NA
13084,30,2,NA
13084,41,2,NA
13084,42,2,NA
13084,50,2,NA
13084,60,2,NA
13084,70,2,NA
13084,80,2,NA
13084,90,1,3
13084,101,2,NA
13084,102,2,NA
13084,103,2,NA
13084,104,2,NA
13084,105,2,NA
13084,110,2,NA
14001,10,2,NA
14001,20,2,NA
14001,30,2,NA
14001,41,2,NA
14001,42,2,NA
14001,50,2,NA
14001,60,2,NA
14001,70,2,NA
14001,80,2,NA
14001,90,2,NA
14001,101,2,NA
14001,102,2,NA
14001,103,2,NA
14001,104,2,NA
14001,105,2,NA
14001,110,2,NA
14002,10,2,NA
14002,20,2,NA
14002,30,2,NA
14002,41,2,NA
14002,42,2,NA
14002,50,2,NA
14002,60,2,NA
14002,70,2,NA
14002,80,2,NA
14002,90,2,NA
14002,101,2,NA
14002,102,2,NA
14002,103,2,NA
14002,104,2,NA
14002,105,2,NA
14002,110,2,NA
14003,10,2,NA
14003,20,2,NA
14003,30,2,NA
14003,41,2,NA
14003,42,2,NA
14003,50,2,NA
14003,60,2,NA
14003,70,2,NA
14003,80,2,NA
14003,90,1,6
14003,101,2,NA
14003,102,2,NA
14003,103,2,NA
14003,104,2,NA
14003,105,2,NA
14003,110,2,NA
14004,10,2,NA
14004,20,2,NA
14004,30,2,NA
14004,41,2,NA
14004,42,2,NA
14004,50,2,NA
14004,60,2,NA
14004,70,2,NA
14004,80,2,NA
14004,90,1,3
14004,101,2,NA
14004,102,2,NA
14004,103,2,NA
14004,104,2,NA
14004,105,2,NA
14004,110,2,NA
14005,10,2,NA
14005,20,2,NA
14005,30,2,NA
14005,41,2,NA
14005,42,2,NA
14005,50,2,NA
14005,60,2,NA
14005,70,2,NA
14005,80,2,NA
14005,90,1,5
14005,101,2,NA
14005,102,2,NA
14005,103,2,NA
14005,104,2,NA
14005,105,2,NA
14005,110,2,NA
14006,10,2,NA
14006,20,2,NA
14006,30,2,NA
14006,41,2,NA
14006,42,2,NA
14006,50,2,NA
14006,60,2,NA
14006,70,2,NA
14006,80,2,NA
14006,90,2,NA
14006,101,2,NA
14006,102,2,NA
14006,103,2,NA
14006,104,2,NA
14006,105,2,NA
14006,110,2,NA
14007,10,2,NA
14007,20,2,NA
14007,30,2,NA
14007,41,2,NA
14007,42,2,NA
14007,50,2,NA
14007,60,2,NA
14007,70,2,NA
14007,80,2,NA
14007,90,2,NA
14007,101,2,NA
14007,102,2,NA
14007,103,2,NA
14007,104,2,NA
14007,105,2,NA
14007,110,2,NA
14008,10,2,NA
14008,20,1,8
14008,30,2,NA
14008,41,2,NA
14008,42,2,NA
14008,50,2,NA
14008,60,2,NA
14008,70,2,NA
14008,80,2,NA
14008,90,1,30
14008,101,2,NA
14008,102,2,NA
14008,103,2,NA
14008,104,2,NA
14008,105,2,NA
14008,110,2,NA
14009,10,2,NA
14009,20,2,NA
14009,30,2,NA
14009,41,2,NA
14009,42,2,NA
14009,50,2,NA
14009,60,2,NA
14009,70,2,NA
14009,80,2,NA
14009,90,2,NA
14009,101,1,1
14009,102,2,NA
14009,103,1,1
14009,104,2,NA
14009,105,2,NA
14009,110,2,NA
14010,10,2,NA
14010,20,2,NA
14010,30,2,NA
14010,41,2,NA
14010,42,2,NA
14010,50,2,NA
14010,60,2,NA
14010,70,2,NA
14010,80,2,NA
14010,90,2,NA
14010,101,2,NA
14010,102,2,NA
14010,103,2,NA
14010,104,2,NA
14010,105,2,NA
14010,110,2,NA
14011,10,2,NA
14011,20,2,NA
14011,30,2,NA
14011,41,2,NA
14011,42,2,NA
14011,50,2,NA
14011,60,2,NA
14011,70,2,NA
14011,80,2,NA
14011,90,1,5
14011,101,1,1
14011,102,2,NA
14011,103,2,NA
14011,104,2,NA
14011,105,2,NA
