ubicageo_f,aniorefe_b,rnsnni1,totalca1,pudisptt,pudisp1,pudisp2,pudispne
9009,1,0,NA,NA,NA,NA,
9009,2,0,NA,NA,NA,NA,
9010,1,0,NA,NA,NA,NA,
9010,2,0,NA,NA,NA,NA,
9011,1,0,NA,NA,NA,NA,
9011,2,0,NA,NA,NA,NA,
9012,1,0,NA,NA,NA,NA,
9012,2,0,NA,NA,NA,NA,
9013,1,0,NA,NA,NA,NA,
9013,2,0,NA,NA,NA,NA,
9014,1,0,NA,NA,NA,NA,
9014,2,0,NA,NA,NA,NA,
9015,1,0,NA,NA,NA,NA,
9015,2,0,NA,NA,NA,NA,
9016,1,0,NA,NA,NA,NA,
9016,2,0,NA,NA,NA,NA,
9017,1,0,NA,NA,NA,NA,
9017,2,0,NA,NA,NA,NA,
10001,1,2,NA,NA,NA,NA,
10001,2,2,NA,NA,NA,NA,
10002,1,2,NA,NA,NA,NA,
10002,2,2,NA,NA,NA,NA,
10003,1,2,NA,NA,NA,NA,
10003,2,1,0,20,20,0,
10004,1,1,4,25,0,25,
10004,2,1,0,15,0,15,
10005,1,1,10,16859,16097,762,
10005,2,1,6,11215,10543,672,
10006,1,9,NSS,NSS,NSS,NSS,
10006,2,1,0,47,47,0,
10007,1,1,0,3736,3149,587,
10007,2,1,0,3119,2686,433,
10008,1,1,1,206,206,0,
10008,2,1,1,142,142,0,
10009,1,2,NA,NA,NA,NA,
10009,2,2,NA,NA,NA,NA,
10010,1,2,NA,NA,NA,NA,
10010,2,2,NA,NA,NA,NA,
10011,1,2,NA,NA,NA,NA,
10011,2,2,NA,NA,NA,NA,
10012,1,1,21884,1547,1498,49,
10012,2,1,205,1311,1239,72,
10013,1,1,6,6,0,6,
10013,2,1,2,4,0,4,
10014,1,1,9,85,85,0,
10014,2,1,5,72,72,0,
10015,1,2,NA,NA,NA,NA,
10015,2,2,NA,NA,NA,NA,
10016,1,9,NSS,NSS,NSS,NSS,
10016,2,1,12,473,450,23,
10017,1,2,NA,NA,NA,NA,
10017,2,1,0,32,29,3,
10018,1,2,NA,NA,NA,NA,
10018,2,1,0,10,7,3,
10019,1,2,NA,NA,NA,NA,
10019,2,2,NA,NA,NA,NA,
10020,1,2,NA,NA,NA,NA,
10020,2,2,NA,NA,NA,NA,
10021,1,2,NA,NA,NA,NA,
10021,2,2,NA,NA,NA,NA,
10022,1,2,NA,NA,NA,NA,
10022,2,2,NA,NA,NA,NA,
10023,1,1,5,334,319,15,
10023,2,1,8,459,451,8,
10024,1,2,NA,NA,NA,NA,
10024,2,1,0,8,8,0,
10025,1,2,NA,NA,NA,NA,
