ubicageo_f,sitpaptt,sitpap1,sitpap2,sitpap3,sitpap4,sitpap5,sitpap6,sitpap7,sitpap8
12025,39,19,0,0,10,0,10,0,0
12026,NA,NA,NA,NA,NA,NA,NA,NA,NA
12027,NA,NA,NA,NA,NA,NA,NA,NA,NA
12028,339,46,0,17,146,124,6,0,0
12029,636,0,0,0,636,0,0,0,0
12030,15,0,0,0,7,0,8,0,0
12031,NA,NA,NA,NA,NA,NA,NA,NA,NA
12032,13,0,0,0,13,0,0,0,0
12033,86,21,13,0,28,0,24,0,0
12034,182,31,0,0,149,0,2,0,0
12035,NA,NA,NA,NA,NA,NA,NA,NA,NA
12036,89,89,0,0,0,0,0,0,0
12037,NA,NA,NA,NA,NA,NA,NA,NA,NA
12038,1012,0,0,0,1012,0,0,0,0
12039,8,0,0,0,8,0,0,0,0
12040,NA,NA,NA,NA,NA,NA,NA,NA,NA
12041,15,2,2,0,5,0,6,0,0
12042,3,0,0,0,3,0,0,0,0
12043,NA,NA,NA,NA,NA,NA,NA,NA,NA
12044,10,0,0,0,10,0,0,0,0
12045,NA,NA,NA,NA,NA,NA,NA,NA,NA
12046,229,0,0,0,229,0,0,0,0
12047,NA,NA,NA,NA,NA,NA,NA,NA,NA
12048,74,0,0,0,74,0,0,0,0
12049,2,0,0,0,2,0,0,0,0
12050,41,13,0,0,25,0,3,0,0
12051,NA,NA,NA,NA,NA,NA,NA,NA,NA
12052,90,0,0,28,51,11,0,0,0
12053,311,0,0,0,176,0,135,0,0
12054,NA,NA,NA,NA,NA,NA,NA,NA,NA
12055,285,0,0,0,219,0,66,0,0
12056,63,0,0,0,63,0,0,0,0
12057,302,25,22,0,247,0,8,0,0
12058,NA,NA,NA,NA,NA,NA,NA,NA,NA
12059,103,14,0,0,83,0,6,0,0
12060,NA,NA,NA,NA,NA,NA,NA,NA,NA
12061,1662,5,5,0,1566,0,86,0,0
12062,135,135,0,0,0,0,0,0,0
12063,41,7,4,0,22,0,8,0,0
12064,NA,NA,NA,NA,NA,NA,NA,NA,NA
12065,NA,NA,NA,NA,NA,NA,NA,NA,NA
12066,NA,NA,NA,NA,NA,NA,NA,NA,NA
12067,20,1,0,6,13,0,0,0,0
12068,NA,NA,NA,NA,NA,NA,NA,NA,NA
12069,2,0,0,0,0,0,0,2,0
12070,4,1,0,0,0,0,3,0,0
12071,199,100,0,0,99,0,0,0,0
12072,26,2,0,0,24,0,0,0,0
12073,NA,NA,NA,NA,NA,NA,NA,NA,NA
12074,13,12,0,0,1,0,0,0,0
12075,142,66,7,0,57,0,12,0,0
12076,NA,NA,NA,NA,NA,NA,NA,NA,NA
12077,54,20,0,0,29,5,0,0,0
12078,NA,NA,NA,NA,NA,NA,NA,NA,NA
12079,8,0,0,0,8,0,0,0,0
12080,1,1,0,0,0,0,0,0,0
12081,80,10,0,0,70,0,0,0,0
12082,NA,NA,NA,NA,NA,NA,NA,NA,NA
12083,NA,NA,NA,NA,NA,NA,NA,NA,NA
12084,NA,NA,NA,NA,NA,NA,NA,NA,NA
12085,NA,NA,NA,NA,NA,NA,NA,NA,NA
13001,NA,NA,NA,NA,NA,NA,NA,NA,NA
13002,142,23,9,3,84,3,12,8,0
13003,1246,85,0,0,1105,26,30,0,0
13004,76,25,0,0,38,0,13,0,0
13005,63,20,0,0,43,0,0,0,0
13006,65,15,0,0,40,0,10,0,0
13007,118,0,0,0,118,0,0,0,0
13008,385,1,0,0,384,0,0,0,0
13009,167,0,0,0,128,0,39,0,0
13010,449,0,0,0,449,0,0,0,0
13011,164,0,0,0,164,0,0,0,0
13012,263,0,3,67,169,15,9,0,0
13013,552,0,0,0,0,0,0,0,552
13014,57,24,0,0,22,0,11,0,0
13015,45,0,0,0,1,0,44,0,0
13016,265,0,0,0,265,0,0,0,0
13017,32,0,0,0,32,0,0,0,0
13018,112,9,0,0,50,0,53,0,0
13019,71,8,0,0,32,2,21,8,0
13020,7,0,0,0,0,0,7,0,0
13021,198,0,0,0,172,0,26,0,0
13022,127,12,0,0,2,0,113,0,0
13023,288,38,0,0,220,0,30,0,0
13024,104,9,0,0,70,0,25,0,0
13025,79,0,0,0,41,0,38,0,0
13026,38,0,0,0,28,0,10,0,0
13027,1,0,0,0,1,0,0,0,0
13028,1073,26,0,0,965,0,82,0,0
13029,574,0,0,0,574,0,0,0,0
13030,427,18,22,0,321,0,66,0,0
13031,45,0,0,0,45,0,0,0,0
13032,56,25,0,0,31,0,0,0,0
13033,16,0,0,0,16,0,0,0,0
13034,65,27,0,0,33,0,5,0,0
13035,25,3,0,7,12,0,3,0,0
13036,17,1,1,0,13,0,2,0,0
13037,60,0,0,0,14,0,36,0,10
13038,20,0,0,0,18,0,2,0,0
13039,120,0,0,0,120,0,0,0,0
13040,18,0,0,0,15,0,3,0,0
13041,NA,NA,NA,NA,NA,NA,NA,NA,NA
13042,105,2,0,0,100,0,3,0,0
13043,4,0,0,0,4,0,0,0,0
13044,NA,NA,NA,NA,NA,NA,NA,NA,NA
13045,NA,NA,NA,NA,NA,NA,NA,NA,NA
13046,154,45,0,0,51,0,58,0,0
13047,30,1,0,0,17,0,12,0,0
13048,4528,303,0,0,2200,0,2025,0,0
13049,25,10,0,0,5,0,5,0,5
13050,323,10,0,14,95,0,204,0,0
13051,1262,0,0,0,982,0,278,0,2
13052,339,120,0,0,120,1,98,0,0
13053,261,18,0,48,155,0,40,0,0
13054,129,0,0,0,0,0,129,0,0
13055,14,0,0,0,10,0,4,0,0
13056,506,66,0,0,422,0,18,0,0
13057,79,9,2,0,68,0,0,0,0
13058,52,16,0,0,36,0,0,0,0
13059,64,32,0,0,15,0,17,0,0
13060,45,12,0,0,29,0,4,0,0
13061,288,0,0,0,0,0,288,0,0
13062,149,8,4,0,122,0,15,0,0
13063,875,128,24,12,586,4,121,0,0
13064,16,0,0,0,16,0,0,0,0
13065,193,75,0,0,84,0,34,0,0
13066,NA,NA,NA,NA,NA,NA,NA,NA,NA
13067,323,43,0,5,170,0,105,0,0
13068,NA,NA,NA,NA,NA,NA,NA,NA,NA
13069,1170,0,0,0,0,0,0,0,1170
13070,361,112,0,0,249,0,0,0,0
13071,17,0,0,0,0,0,17,0,0
13072,34,0,0,0,32,0,0,2,0
13073,189,48,5,0,96,4,36,0,0
13074,628,48,10,37,443,4,86,0,0
13075,120,30,0,0,90,0,0,0,0
13076,1468,149,54,4,1183,49,29,0,0
13077,2571,0,0,0,2571,0,0,0,0
13078,170,0,0,0,170,0,0,0,0
13079,NA,NA,NA,NA,NA,NA,NA,NA,NA
13080,66,20,0,0,35,0,11,0,0
13081,705,0,0,0,705,0,0,0,0
13082,178,10,5,40,100,5,18,0,0
13083,188,6,0,0,176,0,6,0,0
