ubicageo_f,aniorefe_b,rnsnni1,mymenitt,mymeni1,mymeni2,mymeni3,mymenis1,mymeni4,mymeni5,mymeni6,mymenis2,mymeni8,mymeni9,mymeni10,mymenis3,mymeni12,mymeni13,mymeni14,mymenins,mymeni16
6001,2,1,500,486,14,0,458,446,12,0,42,40,2,0,0,0,0,0,,
6002,1,1,2842,2706,112,24,2534,2418,95,21,307,288,17,2,1,0,0,1,,
6002,2,1,837,775,5,57,767,712,5,50,69,63,0,6,1,0,0,1,,
6003,1,1,282,272,10,0,230,220,10,0,52,52,0,0,0,0,0,0,,
6003,2,1,241,236,5,0,191,186,5,0,50,50,0,0,0,0,0,0,,
6004,1,1,586,586,0,0,576,576,0,0,10,10,0,0,0,0,0,0,,
6004,2,1,403,403,0,0,393,393,0,0,10,10,0,0,0,0,0,0,,
6005,1,1,142,142,0,0,141,141,0,0,1,1,0,0,0,0,0,0,,
6005,2,1,136,136,0,0,131,131,0,0,5,5,0,0,0,0,0,0,,
6006,1,1,10,10,0,0,10,10,0,0,0,0,0,0,0,0,0,0,,
6006,2,1,62,62,0,0,56,56,0,0,6,6,0,0,0,0,0,0,,
6007,1,1,5036,4771,265,0,4568,4330,238,0,468,441,27,0,0,0,0,0,,
6007,2,1,4897,4638,259,0,4420,4196,224,0,477,442,35,0,0,0,0,0,,
6008,1,1,52,52,0,0,46,46,0,0,6,6,0,0,0,0,0,0,,
6008,2,1,37,37,0,0,36,36,0,0,1,1,0,0,0,0,0,0,,
6009,1,1,4735,0,0,4735,0,0,0,0,0,0,0,0,4735,0,0,4735,,
6009,2,1,3072,2876,196,0,2792,2609,183,0,280,267,13,0,0,0,0,0,,
6010,1,1,1817,1817,0,0,1693,1693,0,0,124,124,0,0,0,0,0,0,,
6010,2,1,2363,2363,0,0,2184,2184,0,0,179,179,0,0,0,0,0,0,,
7001,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
7001,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
7002,1,1,60,60,0,0,50,50,0,0,10,10,0,0,0,0,0,0,,
7002,2,1,360,360,0,0,290,290,0,0,70,70,0,0,0,0,0,0,,
7003,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
7003,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
7004,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
7004,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
7005,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
7005,2,1,311,311,0,0,311,311,0,0,0,0,0,0,0,0,0,0,,
7006,1,1,5,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,,
7006,2,1,6,6,0,0,6,6,0,0,0,0,0,0,0,0,0,0,,
7007,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
7007,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
7008,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
7008,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
7009,1,1,10,10,0,0,8,8,0,0,2,2,0,0,0,0,0,0,,
7009,2,1,47,47,0,0,40,40,0,0,7,7,0,0,0,0,0,0,,
7010,1,1,6,6,0,0,6,6,0,0,0,0,0,0,0,0,0,0,,
7010,2,1,8,8,0,0,8,8,0,0,0,0,0,0,0,0,0,0,,
7011,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
7011,2,1,150,120,30,0,130,100,30,0,20,20,0,0,0,0,0,0,,
7012,1,1,186,186,0,0,140,140,0,0,46,46,0,0,0,0,0,0,,
7012,2,1,908,908,0,0,908,908,0,0,0,0,0,0,0,0,0,0,,
7013,1,1,130,130,0,0,120,120,0,0,10,10,0,0,0,0,0,0,,
7013,2,1,720,720,0,0,610,610,0,0,110,110,0,0,0,0,0,0,,
7014,1,1,70,70,0,0,65,65,0,0,5,5,0,0,0,0,0,0,,
7014,2,1,502,502,0,0,492,492,0,0,10,10,0,0,0,0,0,0,,
7015,1,1,500,500,0,0,495,495,0,0,5,5,0,0,0,0,0,0,,
7015,2,1,956,956,0,0,940,940,0,0,16,16,0,0,0,0,0,0,,
7016,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
7016,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
7017,1,1,392,386,6,0,370,364,6,0,22,22,0,0,0,0,0,0,,
7017,2,1,1063,1054,9,0,964,955,9,0,99,99,0,0,0,0,0,0,,
7018,1,1,20,20,0,0,20,20,0,0,0,0,0,0,0,0,0,0,,
7018,2,1,14,14,0,0,14,14,0,0,0,0,0,0,0,0,0,0,,
7019,1,1,705,705,0,0,550,550,0,0,155,155,0,0,0,0,0,0,,
7019,2,1,2800,2800,0,0,2350,2350,0,0,450,450,0,0,0,0,0,0,,
7020,1,1,41,41,0,0,28,28,0,0,13,13,0,0,0,0,0,0,,
7020,2,1,103,103,0,0,66,66,0,0,37,37,0,0,0,0,0,0,,
7021,1,1,115,115,0,0,115,115,0,0,0,0,0,0,0,0,0,0,,
7021,2,1,407,407,0,0,407,407,0,0,0,0,0,0,0,0,0,0,,
7022,1,1,48,42,6,0,39,35,4,0,9,7,2,0,0,0,0,0,,
7022,2,1,112,100,12,0,92,83,9,0,20,17,3,0,0,0,0,0,,
7023,1,1,13,13,0,0,13,13,0,0,0,0,0,0,0,0,0,0,,
7023,2,1,15,15,0,0,15,15,0,0,0,0,0,0,0,0,0,0,,
7024,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
7024,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
7025,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
7025,2,1,30,30,0,0,27,27,0,0,3,3,0,0,0,0,0,0,,
7026,1,1,56,56,0,0,55,55,0,0,1,1,0,0,0,0,0,0,,
7026,2,1,226,226,0,0,221,221,0,0,5,5,0,0,0,0,0,0,,
7027,1,1,1074,1074,0,0,975,975,0,0,99,99,0,0,0,0,0,0,,
7027,2,1,912,912,0,0,815,815,0,0,97,97,0,0,0,0,0,0,,
7028,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
7028,2,1,60,60,0,0,50,50,0,0,10,10,0,0,0,0,0,0,,
7029,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
7029,2,1,27,27,0,0,27,27,0,0,0,0,0,0,0,0,0,0,,
7030,1,1,30,30,0,0,30,30,0,0,0,0,0,0,0,0,0,0,,
7030,2,1,100,100,0,0,95,95,0,0,5,5,0,0,0,0,0,0,,
7031,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
7031,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
7032,1,1,106,101,5,0,94,90,4,0,12,11,1,0,0,0,0,0,,
7032,2,1,95,91,4,0,70,68,2,0,25,23,2,0,0,0,0,0,,
7033,1,1,12,12,0,0,12,12,0,0,0,0,0,0,0,0,0,0,,
7033,2,1,35,35,0,0,35,35,0,0,0,0,0,0,0,0,0,0,,
7034,1,1,90,90,0,0,85,85,0,0,5,5,0,0,0,0,0,0,,
7034,2,1,996,996,0,0,946,946,0,0,50,50,0,0,0,0,0,0,,
7035,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
7035,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
7036,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
7036,2,1,50,50,0,0,40,40,0,0,10,10,0,0,0,0,0,0,,
7037,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
7037,2,1,55,55,0,0,50,50,0,0,5,5,0,0,0,0,0,0,,
7038,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
7038,2,1,8,8,0,0,8,8,0,0,0,0,0,0,0,0,0,0,,
7039,1,1,40,40,0,0,40,40,0,0,0,0,0,0,0,0,0,0,,
7039,2,1,64,64,0,0,64,64,0,0,0,0,0,0,0,0,0,0,,
7040,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
7040,2,1,2272,2272,0,0,2089,2089,0,0,183,183,0,0,0,0,0,0,,
7041,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
7041,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
7042,1,1,134,134,0,0,134,134,0,0,0,0,0,0,0,0,0,0,,
7042,2,1,53,53,0,0,50,50,0,0,3,3,0,0,0,0,0,0,,
7043,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
7043,2,1,70,70,0,0,70,70,0,0,0,0,0,0,0,0,0,0,,
7044,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
7044,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
7045,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
7045,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
7046,1,1,303,303,0,0,286,286,0,0,17,17,0,0,0,0,0,0,,
7046,2,1,236,236,0,0,221,221,0,0,15,15,0,0,0,0,0,0,,
7047,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
7047,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
7048,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
7048,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
7049,1,1,3,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,,
7049,2,1,5,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,,
7050,1,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,,
7050,2,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,,
7051,1,1,274,274,0,0,267,267,0,0,7,7,0,0,0,0,0,0,,
7051,2,1,577,577,0,0,567,567,0,0,10,10,0,0,0,0,0,0,,
7052,1,1,360,320,40,0,342,302,40,0,18,18,0,0,0,0,0,0,,
7052,2,1,2016,1978,38,0,1584,1574,10,0,432,404,28,0,0,0,0,0,,
