ubicageo_f,cantdeli_b,mymenitt,mymeni1,mymeni2,mymeni3,mymenint,mymenis1,mymeni4,mymeni5,mymeni6,mymenis2,mymeni8,mymeni9,mymeni10,mymenis3,mymeni12,mymeni13,mymeni14,mymenins
1001,1,4549,NSS,NSS,4549,,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,4549,NSS,NSS,4549,
4002,3,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
4002,4,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
4002,5,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
4002,6,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
4002,9,,,,,,,,,,,,,,,,,,
4003,1,400,390,10,0,,367,357,10,0,33,33,0,0,0,0,0,0,
4003,2,99,99,0,0,,99,99,0,0,0,0,0,0,0,0,0,0,
4003,3,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
4003,4,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
4003,5,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
4003,6,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
4003,9,,,,,,,,,,,,,,,,,,
4004,1,101,100,1,0,,98,97,1,0,3,3,0,0,0,0,0,0,
4004,2,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
4004,3,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
4004,4,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
4004,5,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
4004,6,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
4004,9,,,,,,,,,,,,,,,,,,
4005,1,11,11,0,0,,11,11,0,0,0,0,0,0,0,0,0,0,
4005,2,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
4005,3,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
4005,4,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
4005,5,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
4005,6,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
4005,9,,,,,,,,,,,,,,,,,,
4006,1,70,70,0,0,,70,70,0,0,0,0,0,0,0,0,0,0,
4006,2,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
4006,3,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
4006,4,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
4006,5,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
4006,6,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
4006,9,,,,,,,,,,,,,,,,,,
4007,1,40,39,1,0,,39,39,0,0,1,0,1,0,0,0,0,0,
4007,2,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
4007,3,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
4007,4,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
4007,5,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
4007,6,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
4007,9,,,,,,,,,,,,,,,,,,
4008,1,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4008,2,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4008,3,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4008,4,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4008,5,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4008,6,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4008,9,,,,,,,,,,,,,,,,,,
