ubicageo_f,aniorefe_b,pprfue1,pprfue2,pprfue3
20412,2,NA,NA,NA
20413,1,0,0,0
20413,2,0,0,0
20414,1,NA,NA,NA
20414,2,NA,NA,NA
20415,1,NA,NA,NA
20415,2,NA,NA,NA
20416,1,NA,NA,NA
20416,2,NA,NA,NA
20417,1,NSS,NSS,NSS
20417,2,0,0,0
20418,1,NA,NA,NA
20418,2,NA,NA,NA
20419,1,NA,NA,NA
20419,2,NA,NA,NA
20420,1,NA,NA,NA
20420,2,NA,NA,NA
20421,1,NA,NA,NA
20421,2,NA,NA,NA
20422,1,NA,NA,NA
20422,2,NA,NA,NA
20423,1,NA,NA,NA
20423,2,NA,NA,NA
20424,1,NA,NA,NA
20424,2,NA,NA,NA
20425,1,NA,NA,NA
20425,2,0,0,0
20426,1,NA,NA,NA
20426,2,2,0,0
20427,1,NSS,NSS,NSS
20427,2,NA,NA,NA
20428,1,NA,NA,NA
20428,2,NA,NA,NA
20429,1,NA,NA,NA
20429,2,NA,NA,NA
20430,1,NA,NA,NA
20430,2,NA,NA,NA
20431,1,NSS,NSS,NSS
20431,2,NA,NA,NA
20432,1,NA,NA,NA
20432,2,NA,NA,NA
20433,1,NA,NA,NA
20433,2,NA,NA,NA
20434,1,NSS,NSS,NSS
20434,2,NA,NA,NA
20435,1,NA,NA,NA
20435,2,NA,NA,NA
20436,1,NA,NA,NA
20436,2,0,0,0
20437,1,NA,NA,NA
20437,2,NA,NA,NA
20438,1,NSS,NSS,NSS
20438,2,NA,NA,NA
20439,1,NSS,NSS,NSS
20439,2,6,0,0
20440,1,NA,NA,NA
20440,2,NA,NA,NA
20441,1,NA,NA,NA
20441,2,3,0,0
20442,1,NA,NA,NA
20442,2,NA,NA,NA
20443,1,NA,NA,NA
20443,2,NA,NA,NA
20444,1,NA,NA,NA
20444,2,NA,NA,NA
20445,1,NA,NA,NA
20445,2,NA,NA,NA
20446,1,NA,NA,NA
20446,2,NA,NA,NA
20447,1,NA,NA,NA
20447,2,3,0,0
20448,1,NSS,NSS,NSS
20448,2,NA,NA,NA
20449,1,NA,NA,NA
20449,2,NA,NA,NA
20450,1,NSS,NSS,NSS
20450,2,3,0,0
20451,1,NA,NA,NA
20451,2,NA,NA,NA
20452,1,NSS,NSS,NSS
20452,2,1,0,0
20453,1,NA,NA,NA
20453,2,NA,NA,NA
20454,1,NA,NA,NA
20454,2,NA,NA,NA
20455,1,NSS,NSS,NSS
20455,2,NA,NA,NA
20456,1,NSS,NSS,NSS
20456,2,NA,NA,NA
20457,1,NA,NA,NA
20457,2,NA,NA,NA
20458,1,NA,NA,NA
20458,2,NA,NA,NA
20459,1,NA,NA,NA
20459,2,NA,NA,NA
20460,1,NA,NA,NA
20460,2,NA,NA,NA
20461,1,NA,NA,NA
20461,2,NA,NA,NA
20462,1,NA,NA,NA
20462,2,NA,NA,NA
20463,1,NA,NA,NA
20463,2,NA,NA,NA
20464,1,NA,NA,NA
20464,2,NA,NA,NA
20465,1,NA,NA,NA
20465,2,NA,NA,NA
20466,1,NA,NA,NA
20466,2,NA,NA,NA
20467,1,NA,NA,NA
20467,2,NA,NA,NA
20468,1,NA,NA,NA
20468,2,NA,NA,NA
20469,1,NSS,NSS,NSS
20469,2,NA,NA,NA
20470,1,NA,NA,NA
20470,2,NA,NA,NA
20471,1,NA,NA,NA
20471,2,NA,NA,NA
20472,1,NA,NA,NA
20472,2,NA,NA,NA
20473,1,NA,NA,NA
20473,2,NA,NA,NA
20474,1,NA,NA,NA
20474,2,1,0,0
20475,1,NSS,NSS,NSS
20475,2,0,0,0
20476,1,NA,NA,NA
20476,2,NA,NA,NA
20477,1,NA,NA,NA
20477,2,NA,NA,NA
20478,1,NA,NA,NA
20478,2,NA,NA,NA
20479,1,NA,NA,NA
20479,2,NA,NA,NA
20480,1,NA,NA,NA
20480,2,NA,NA,NA
20481,1,NA,NA,NA
20481,2,NA,NA,NA
20482,1,NSS,NSS,NSS
20482,2,NSS,NSS,NSS
20483,1,NSS,NSS,NSS
20483,2,0,0,0
20484,1,NSS,NSS,NSS
20484,2,NA,NA,NA
20485,1,NA,NA,NA
20485,2,NA,NA,NA
20486,1,NA,NA,NA
20486,2,NA,NA,NA
20487,1,NSS,NSS,NSS
20487,2,0,0,0
20488,1,NA,NA,NA
20488,2,NA,NA,NA
20489,1,NA,NA,NA
20489,2,NA,NA,NA
20490,1,0,0,0
20490,2,NA,NA,NA
20491,1,NA,NA,NA
20491,2,NA,NA,NA
20492,1,NA,NA,NA
20492,2,NA,NA,NA
20493,1,NA,NA,NA
20493,2,NA,NA,NA
20494,1,NA,NA,NA
20494,2,NA,NA,NA
20495,1,NSS,NSS,NSS
20495,2,NSS,NSS,NSS
20496,1,NA,NA,NA
20496,2,NA,NA,NA
20497,1,NA,NA,NA
20497,2,NA,NA,NA
20498,1,NA,NA,NA
20498,2,NA,NA,NA
20499,1,NA,NA,NA
20499,2,NA,NA,NA
20500,1,0,0,0
20500,2,0,0,0
20501,1,NSS,NSS,NSS
20501,2,NA,NA,NA
20502,1,NSS,NSS,NSS
20502,2,NA,NA,NA
20503,1,NA,NA,NA
20503,2,NA,NA,NA
20504,1,NA,NA,NA
20504,2,NA,NA,NA
20505,1,NSS,NSS,NSS
20505,2,NA,NA,NA
20506,1,NA,NA,NA
20506,2,NA,NA,NA
20507,1,NA,NA,NA
20507,2,NA,NA,NA
20508,1,NA,NA,NA
20508,2,2,0,0
20509,1,NSS,NSS,NSS
20509,2,NSS,NSS,NSS
20510,1,NA,NA,NA
20510,2,NA,NA,NA
20511,1,NSS,NSS,NSS
20511,2,0,0,0
20512,1,NA,NA,NA
20512,2,NA,NA,NA
20513,1,NSS,NSS,NSS
20513,2,NA,NA,NA
20514,1,NA,NA,NA
20514,2,NA,NA,NA
20515,1,NA,NA,NA
20515,2,NA,NA,NA
20516,1,NA,NA,NA
20516,2,NA,NA,NA
20517,1,NA,NA,NA
20517,2,NA,NA,NA
20518,1,NA,NA,NA
20518,2,NA,NA,NA
20519,1,NA,NA,NA
20519,2,0,0,0
20520,1,NSS,NSS,NSS
20520,2,4,4,0
20521,1,NA,NA,NA
20521,2,NA,NA,NA
20522,1,NA,NA,NA
