ubicageo_f,aniorefe_b,rnsnni1,percontt,percon1,percon2,percon3,percon4,percon5,percon6,percon7,percon8,percon9,percon10,percon11,percon12,percon13,percon14,perconne
5037,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5038,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5038,2,1,62,0,0,0,0,0,0,0,0,62,0,0,0,0,0,
6001,1,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,
6001,2,1,16,10,0,0,0,0,0,0,0,0,0,0,0,0,6,
6002,1,1,387,52,7,72,99,12,34,0,0,111,0,0,0,0,0,
6002,2,1,202,18,0,31,50,4,15,0,0,84,0,0,0,0,0,
6003,1,1,6,3,0,0,1,0,0,0,0,0,2,0,0,0,0,
6003,2,1,6,2,1,0,2,0,0,0,0,0,0,0,0,0,1,
6004,1,1,250,244,0,0,0,0,0,0,0,0,0,0,0,0,6,
6004,2,1,200,197,0,0,0,0,0,0,0,0,0,0,0,0,3,
6005,1,1,46,46,0,0,0,0,0,0,0,0,0,0,0,0,0,
6005,2,1,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,
6006,1,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,1,
6006,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,
6007,1,1,614,260,2,0,26,3,0,0,0,0,0,0,0,0,323,
6007,2,1,1130,369,0,0,19,0,0,0,0,0,0,0,0,0,742,
6008,1,1,5,2,0,0,0,0,0,0,0,0,0,1,0,0,2,
6008,2,1,5,4,0,0,0,0,0,0,0,0,0,0,0,0,1,
6009,1,1,237,44,0,0,122,0,0,0,0,0,1,0,0,60,10,
6009,2,1,159,27,0,0,69,0,0,0,0,0,0,0,0,57,6,
6010,1,1,98,40,1,0,41,0,0,0,0,16,0,0,0,0,0,
6010,2,1,166,54,2,0,71,3,0,0,0,36,0,0,0,0,0,
7001,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7001,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7002,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7002,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7003,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7003,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
