ubicageo_f,elemunif_b,rnsnni1,totalca1,frecuenc_e
12024,16,2,NA,0
12025,1,2,NA,0
12025,2,1,24,3
12025,3,2,NA,0
12025,4,1,24,3
12025,5,1,24,3
12025,6,1,24,3
12025,7,2,NA,0
12025,8,1,24,3
12025,9,1,24,3
12025,10,2,NA,0
12025,11,2,NA,0
12025,12,2,NA,0
12025,13,2,NA,0
12025,14,1,24,3
12025,15,2,NA,0
12025,16,2,NA,0
12026,1,2,NA,0
12026,2,2,NA,0
12026,3,2,NA,0
12026,4,2,NA,0
12026,5,2,NA,0
12026,6,2,NA,0
12026,7,2,NA,0
12026,8,2,NA,0
12026,9,2,NA,0
12026,10,2,NA,0
12026,11,2,NA,0
12026,12,2,NA,0
12026,13,2,NA,0
12026,14,2,NA,0
12026,15,2,NA,0
12026,16,2,NA,0
12027,1,2,NA,0
12027,2,1,1,3
12027,3,2,NA,0
12027,4,2,NA,0
12027,5,1,1,3
12027,6,2,NA,0
12027,7,2,NA,0
12027,8,2,NA,0
12027,9,1,1,3
12027,10,2,NA,0
12027,11,2,NA,0
12027,12,2,NA,0
12027,13,2,NA,0
12027,14,2,NA,0
12027,15,2,NA,0
12027,16,2,NA,0
12028,1,2,NA,0
12028,2,2,NA,0
12028,3,2,NA,0
12028,4,2,NA,0
12028,5,2,NA,0
12028,6,2,NA,0
12028,7,2,NA,0
12028,8,1,1,3
12028,9,2,NA,0
12028,10,2,NA,0
12028,11,2,NA,0
12028,12,1,2,3
12028,13,2,NA,0
12028,14,1,1,3
12028,15,2,NA,0
12028,16,2,NA,0
12029,1,1,1,3
12029,2,1,1,3
12029,3,2,NA,0
12029,4,1,1,3
12029,5,1,1,3
12029,6,1,1,3
12029,7,2,NA,0
12029,8,2,NA,0
12029,9,1,1,3
12029,10,2,NA,0
12029,11,2,NA,0
12029,12,2,NA,0
12029,13,2,NA,0
12029,14,1,1,3
12029,15,1,1,3
12029,16,2,NA,0
12030,1,2,NA,0
12030,2,1,35,3
12030,3,1,35,3
12030,4,1,35,3
12030,5,1,35,3
12030,6,1,35,3
12030,7,2,NA,0
12030,8,1,35,3
12030,9,1,35,3
12030,10,2,NA,0
12030,11,2,NA,0
12030,12,2,NA,0
12030,13,2,NA,0
12030,14,1,35,3
12030,15,2,NA,0
12030,16,2,NA,0
12031,1,2,NA,0
12031,2,2,NA,0
12031,3,2,NA,0
12031,4,2,NA,0
12031,5,2,NA,0
12031,6,2,NA,0
12031,7,2,NA,0
12031,8,2,NA,0
12031,9,2,NA,0
12031,10,2,NA,0
12031,11,2,NA,0
12031,12,2,NA,0
12031,13,2,NA,0
12031,14,2,NA,0
12031,15,2,NA,0
12031,16,2,NA,0
12032,1,2,NA,0
12032,2,1,30,3
12032,3,2,NA,0
12032,4,1,30,3
12032,5,1,30,3
12032,6,1,30,3
12032,7,2,NA,0
12032,8,2,NA,0
12032,9,1,30,3
12032,10,2,NA,0
12032,11,2,NA,0
12032,12,2,NA,0
12032,13,2,NA,0
12032,14,2,NA,0
12032,15,2,NA,0
12032,16,2,NA,0
12033,1,2,NA,0
12033,2,1,30,3
12033,3,2,NA,0
12033,4,1,30,3
12033,5,1,30,3
12033,6,1,30,3
12033,7,2,NA,0
12033,8,1,30,3
12033,9,1,30,3
12033,10,2,NA,0
12033,11,2,NA,0
12033,12,2,NA,0
12033,13,2,NA,0
12033,14,2,NA,0
12033,15,2,NA,0
12033,16,2,NA,0
12034,1,1,59,3
12034,2,1,59,3
12034,3,2,NA,0
12034,4,1,59,3
12034,5,1,59,3
12034,6,1,59,3
12034,7,2,NA,0
12034,8,1,59,3
12034,9,1,59,3
12034,10,2,NA,0
12034,11,2,NA,0
12034,12,2,NA,0
12034,13,2,NA,0
12034,14,1,59,3
12034,15,2,NA,0
12034,16,2,NA,0
12035,1,2,NA,0
12035,2,2,NA,0
12035,3,2,NA,0
12035,4,2,NA,0
12035,5,2,NA,0
12035,6,2,NA,0
12035,7,2,NA,0
12035,8,2,NA,0
12035,9,2,NA,0
12035,10,2,NA,0
12035,11,2,NA,0
12035,12,2,NA,0
12035,13,2,NA,0
12035,14,2,NA,0
12035,15,2,NA,0
12035,16,2,NA,0
12036,1,2,NA,0
12036,2,2,NA,0
12036,3,1,4,1
12036,4,2,NA,0
12036,5,2,NA,0
12036,6,2,NA,0
12036,7,2,NA,0
12036,8,2,NA,0
12036,9,1,21,3
12036,10,2,NA,0
12036,11,2,NA,0
12036,12,1,21,3
12036,13,2,NA,0
12036,14,2,NA,0
12036,15,2,NA,0
12036,16,2,NA,0
12037,1,2,NA,0
12037,2,1,7,3
12037,3,2,NA,0
12037,4,1,7,3
12037,5,1,7,3
12037,6,1,7,3
12037,7,2,NA,0
12037,8,1,7,3
12037,9,1,7,3
12037,10,2,NA,0
12037,11,2,NA,0
12037,12,2,NA,0
12037,13,2,NA,0
12037,14,2,NA,0
12037,15,2,NA,0
12037,16,2,NA,0
12038,1,2,NA,0
12038,2,1,2,2
12038,3,1,1,1
12038,4,1,2,2
12038,5,1,2,2
12038,6,1,2,2
12038,7,2,NA,0
12038,8,1,1,1
12038,9,1,2,2
12038,10,2,NA,0
12038,11,2,NA,0
12038,12,1,2,2
12038,13,2,NA,0
12038,14,1,2,2
12038,15,1,1,1
12038,16,1,2,2
12039,1,2,NA,0
12039,2,2,NA,0
12039,3,2,NA,0
12039,4,2,NA,0
12039,5,2,NA,0
12039,6,2,NA,0
12039,7,2,NA,0
12039,8,1,24,3
12039,9,1,24,3
12039,10,2,NA,0
12039,11,2,NA,0
12039,12,1,24,3
12039,13,2,NA,0
12039,14,2,NA,0
12039,15,2,NA,0
12039,16,2,NA,0
12040,1,1,14,1
12040,2,1,14,1
12040,3,2,NA,0
12040,4,1,14,1
12040,5,1,14,1
12040,6,1,14,1
12040,7,2,NA,0
12040,8,1,14,1
12040,9,1,14,1
12040,10,2,NA,0
12040,11,2,NA,0
12040,12,2,NA,0
12040,13,2,NA,0
12040,14,1,14,1
12040,15,2,NA,0
12040,16,2,NA,0
12041,1,1,22,9
12041,2,1,22,9
12041,3,1,22,1
12041,4,2,NA,0
12041,5,1,22,9
12041,6,1,22,9
12041,7,2,NA,0
12041,8,1,22,1
12041,9,1,22,9
12041,10,2,NA,0
12041,11,2,NA,0
12041,12,2,NA,0
12041,13,2,NA,0
12041,14,1,22,1
12041,15,2,NA,0
12041,16,2,NA,0
12042,1,1,24,3
12042,2,1,24,3
12042,3,1,24,3
12042,4,1,24,3
12042,5,1,24,3
12042,6,1,24,3
12042,7,2,NA,0
12042,8,2,NA,0
12042,9,1,24,3
12042,10,2,NA,0
12042,11,2,NA,0
12042,12,2,NA,0
12042,13,2,NA,0
12042,14,1,24,3
12042,15,2,NA,0
12042,16,2,NA,0
12043,1,1,25,9
12043,2,1,25,9
12043,3,2,NA,0
12043,4,1,25,9
12043,5,1,25,9
12043,6,1,25,9
12043,7,2,NA,0
12043,8,1,25,3
12043,9,1,3,9
12043,10,2,NA,0
12043,11,2,NA,0
12043,12,2,NA,0
12043,13,2,NA,0
12043,14,1,2,9
12043,15,2,NA,0
12043,16,2,NA,0
12044,1,1,16,2
12044,2,1,16,2
12044,3,2,NA,0
12044,4,1,16,2
12044,5,1,16,2
12044,6,1,16,2
12044,7,2,NA,0
12044,8,1,16,2
12044,9,1,16,2
12044,10,2,NA,0
12044,11,2,NA,0
12044,12,1,16,2
12044,13,2,NA,0
12044,14,1,16,2
12044,15,2,NA,0
12044,16,2,NA,0
12045,1,2,NA,0
12045,2,2,NA,0
12045,3,2,NA,0
12045,4,2,NA,0
12045,5,1,27,3
12045,6,1,27,3
12045,7,2,NA,0
12045,8,2,NA,0
12045,9,1,27,3
12045,10,2,NA,0
12045,11,2,NA,0
12045,12,2,NA,0
12045,13,2,NA,0
12045,14,2,NA,0
12045,15,1,27,3
12045,16,2,NA,0
12046,1,2,NA,0
12046,2,1,118,2
12046,3,2,NA,0
12046,4,1,118,2
12046,5,1,118,2
12046,6,1,118,2
12046,7,2,NA,0
12046,8,2,NA,0
12046,9,1,118,2
12046,10,2,NA,0
12046,11,2,NA,0
12046,12,2,NA,0
12046,13,2,NA,0
12046,14,2,NA,0
12046,15,2,NA,0
12046,16,2,NA,0
12047,1,2,NA,0
12047,2,2,NA,0
12047,3,2,NA,0
12047,4,2,NA,0
12047,5,2,NA,0
12047,6,2,NA,0
12047,7,2,NA,0
12047,8,2,NA,0
12047,9,2,NA,0
12047,10,2,NA,0
12047,11,2,NA,0
12047,12,2,NA,0
12047,13,2,NA,0
12047,14,2,NA,0
12047,15,2,NA,0
12047,16,2,NA,0
12048,1,2,NA,0
12048,2,1,97,1
12048,3,2,NA,0
12048,4,1,97,1
12048,5,1,97,1
12048,6,1,97,1
12048,7,2,NA,0
12048,8,2,NA,0
12048,9,1,97,1
12048,10,2,NA,0
12048,11,2,NA,0
12048,12,2,NA,0
12048,13,2,NA,0
12048,14,2,NA,0
12048,15,2,NA,0
12048,16,2,NA,0
12049,1,2,NA,0
12049,2,1,10,3
12049,3,1,10,5
12049,4,1,10,3
12049,5,1,10,3
12049,6,1,10,3
12049,7,2,NA,0
12049,8,1,10,3
12049,9,1,10,3
12049,10,1,10,3
12049,11,2,NA,0
12049,12,2,NA,0
12049,13,2,NA,0
12049,14,1,10,3
12049,15,2,NA,0
12049,16,2,NA,0
12050,1,2,NA,0
12050,2,1,31,1
12050,3,2,NA,0
12050,4,1,31,1
12050,5,1,31,1
12050,6,1,31,1
12050,7,2,NA,0
12050,8,2,NA,0
12050,9,1,31,1
12050,10,2,NA,0
12050,11,2,NA,0
12050,12,1,31,1
12050,13,2,NA,0
12050,14,2,NA,0
12050,15,2,NA,0
12050,16,9,NSS,997
12051,1,1,26,2
12051,2,1,26,2
12051,3,1,26,2
12051,4,1,26,2
12051,5,1,26,2
12051,6,1,26,2
12051,7,2,NA,0
12051,8,1,26,2
12051,9,1,26,2
12051,10,2,NA,0
12051,11,2,NA,0
12051,12,1,26,2
12051,13,1,26,2
12051,14,1,26,2
12051,15,1,26,2
12051,16,2,NA,0
12052,1,2,NA,0
12052,2,1,2,3
12052,3,1,2,3
12052,4,1,2,3
12052,5,1,2,3
12052,6,1,2,3
12052,7,2,NA,0
12052,8,1,1,3
12052,9,1,2,3
12052,10,2,NA,0
12052,11,2,NA,0
12052,12,1,2,3
12052,13,2,NA,0
12052,14,2,NA,0
12052,15,2,NA,0
12052,16,2,NA,0
12053,1,2,NA,0
12053,2,1,78,2
12053,3,1,41,2
12053,4,1,78,3
12053,5,1,78,2
12053,6,1,78,2
12053,7,1,78,2
12053,8,1,78,2
12053,9,1,78,2
12053,10,2,NA,0
12053,11,2,NA,0
12053,12,1,78,2
12053,13,2,NA,0
12053,14,1,78,2
12053,15,1,78,2
12053,16,2,NA,0
12054,1,2,NA,0
12054,2,1,12,3
12054,3,2,NA,0
12054,4,1,12,3
12054,5,1,12,3
12054,6,1,12,3
12054,7,2,NA,0
12054,8,2,NA,0
12054,9,1,12,3
12054,10,2,NA,0
12054,11,2,NA,0
12054,12,1,12,3
12054,13,2,NA,0
12054,14,2,NA,0
12054,15,2,NA,0
12054,16,2,NA,0
12055,1,1,1,2
12055,2,1,1,2
12055,3,1,1,2
12055,4,1,1,2
12055,5,1,1,2
12055,6,1,1,2
12055,7,9,NSS,997
12055,8,1,1,2
12055,9,1,1,2
12055,10,2,NA,0
12055,11,2,NA,0
12055,12,9,NSS,997
12055,13,2,NA,0
12055,14,1,1,2
12055,15,9,NSS,997
12055,16,2,NA,0
12056,1,2,NA,0
12056,2,1,57,5
12056,3,2,NA,0
12056,4,1,57,5
12056,5,1,57,5
12056,6,1,57,5
12056,7,2,NA,0
12056,8,1,57,5
12056,9,1,57,5
12056,10,1,57,5
12056,11,2,NA,0
12056,12,2,NA,0
12056,13,2,NA,0
12056,14,1,57,5
12056,15,2,NA,0
12056,16,2,NA,0
12057,1,2,NA,0
12057,2,1,91,3
12057,3,2,NA,0
12057,4,1,91,3
12057,5,1,91,3
12057,6,1,91,3
12057,7,2,NA,0
12057,8,2,NA,0
12057,9,1,91,3
12057,10,2,NA,0
12057,11,2,NA,0
12057,12,2,NA,0
12057,13,2,NA,0
12057,14,1,91,3
12057,15,2,NA,0
12057,16,2,NA,0
12058,1,2,NA,0
12058,2,1,14,2
12058,3,2,NA,0
12058,4,1,14,2
12058,5,1,14,2
12058,6,1,14,2
12058,7,2,NA,0
12058,8,1,14,1
12058,9,1,14,2
12058,10,2,NA,0
12058,11,2,NA,0
12058,12,2,NA,0
12058,13,2,NA,0
12058,14,1,14,1
12058,15,2,NA,0
12058,16,2,NA,0
12059,1,2,NA,0
12059,2,1,1,3
12059,3,1,1,3
12059,4,1,1,3
12059,5,1,1,3
12059,6,1,1,3
12059,7,2,NA,0
12059,8,2,NA,0
12059,9,1,1,3
12059,10,2,NA,0
12059,11,2,NA,0
12059,12,2,NA,0
12059,13,2,NA,0
12059,14,2,NA,0
12059,15,2,NA,0
12059,16,2,NA,0
12060,1,2,NA,0
12060,2,2,NA,0
12060,3,2,NA,0
12060,4,1,9,3
12060,5,1,9,3
12060,6,1,9,3
12060,7,2,NA,0
12060,8,2,NA,0
12060,9,1,9,3
12060,10,2,NA,0
12060,11,2,NA,0
12060,12,2,NA,0
12060,13,2,NA,0
12060,14,2,NA,0
12060,15,2,NA,0
12060,16,2,NA,0
12061,1,1,58,2
12061,2,1,58,2
12061,3,1,58,2
12061,4,1,58,2
12061,5,1,58,2
12061,6,1,58,2
12061,7,2,NA,0
12061,8,1,58,2
12061,9,1,58,2
12061,10,2,NA,0
12061,11,2,NA,0
12061,12,1,58,2
12061,13,2,NA,0
12061,14,1,58,2
12061,15,1,58,2
12061,16,1,58,2
12062,1,2,NA,0
12062,2,1,34,3
12062,3,2,NA,0
12062,4,1,34,3
12062,5,1,34,3
12062,6,1,34,3
12062,7,2,NA,0
12062,8,1,34,3
12062,9,1,34,3
12062,10,2,NA,0
12062,11,2,NA,0
12062,12,2,NA,0
12062,13,2,NA,0
12062,14,2,NA,0
12062,15,2,NA,0
12062,16,2,NA,0
12063,1,1,19,9
12063,2,1,19,9
12063,3,1,19,9
12063,4,1,19,9
12063,5,1,19,9
12063,6,1,19,9
12063,7,2,NA,0
12063,8,1,19,9
12063,9,1,19,9
12063,10,2,NA,0
12063,11,2,NA,0
12063,12,2,NA,0
12063,13,2,NA,0
12063,14,1,19,9
12063,15,2,NA,0
12063,16,2,NA,0
12064,1,2,NA,0
12064,2,2,NA,0
12064,3,2,NA,0
12064,4,1,14,3
12064,5,1,14,3
12064,6,2,NA,0
12064,7,2,NA,0
12064,8,2,NA,0
12064,9,1,14,3
12064,10,2,NA,0
12064,11,2,NA,0
12064,12,2,NA,0
12064,13,2,NA,0
12064,14,2,NA,0
12064,15,2,NA,0
12064,16,2,NA,0
12065,1,1,15,3
12065,2,2,NA,0
12065,3,2,NA,0
12065,4,1,15,2
12065,5,1,15,2
12065,6,1,15,2
12065,7,2,NA,0
12065,8,2,NA,0
12065,9,1,15,2
12065,10,2,NA,0
12065,11,2,NA,0
12065,12,2,NA,0
12065,13,2,NA,0
12065,14,2,NA,0
12065,15,2,NA,0
12065,16,2,NA,0
12066,1,1,82,3
12066,2,1,82,3
12066,3,1,82,3
12066,4,1,82,3
12066,5,1,82,3
12066,6,1,82,3
12066,7,2,NA,0
12066,8,2,NA,0
12066,9,1,82,3
12066,10,2,NA,0
12066,11,2,NA,0
12066,12,1,82,3
12066,13,2,NA,0
12066,14,1,82,3
12066,15,2,NA,0
12066,16,2,NA,0
12067,1,2,NA,0
12067,2,1,23,1
12067,3,2,NA,0
12067,4,1,23,1
12067,5,1,23,1
12067,6,1,23,1
12067,7,2,NA,0
12067,8,2,NA,0
12067,9,1,23,1
12067,10,2,NA,0
12067,11,2,NA,0
12067,12,2,NA,0
12067,13,2,NA,0
12067,14,1,23,1
12067,15,1,23,1
12067,16,2,NA,0
12068,1,2,NA,0
12068,2,1,50,3
12068,3,2,NA,0
12068,4,1,50,3
12068,5,1,50,3
12068,6,1,50,3
12068,7,2,NA,0
12068,8,2,NA,0
12068,9,1,50,3
12068,10,2,NA,0
12068,11,2,NA,0
12068,12,2,NA,0
12068,13,2,NA,0
12068,14,2,NA,0
12068,15,2,NA,0
12068,16,2,NA,0
12069,1,2,NA,0
12069,2,1,10,1
12069,3,2,NA,0
12069,4,1,10,1
12069,5,1,10,1
12069,6,1,10,1
12069,7,2,NA,0
12069,8,2,NA,0
12069,9,1,10,1
12069,10,2,NA,0
12069,11,2,NA,0
12069,12,2,NA,0
12069,13,2,NA,0
12069,14,2,NA,0
12069,15,2,NA,0
12069,16,2,NA,0
12070,1,1,16,3
12070,2,1,16,6
12070,3,2,NA,0
12070,4,1,16,6
12070,5,1,16,6
12070,6,1,16,6
12070,7,2,NA,0
12070,8,1,16,3
12070,9,1,16,6
12070,10,2,NA,0
12070,11,2,NA,0
12070,12,1,16,6
12070,13,2,NA,0
12070,14,2,NA,0
12070,15,2,NA,0
12070,16,2,NA,0
12071,1,2,NA,0
12071,2,1,39,3
12071,3,1,39,3
12071,4,1,39,3
12071,5,1,39,3
12071,6,1,39,3
12071,7,2,NA,0
12071,8,1,39,3
12071,9,1,39,3
12071,10,2,NA,0
12071,11,2,NA,0
12071,12,2,NA,0
12071,13,2,NA,0
12071,14,2,NA,0
12071,15,2,NA,0
12071,16,2,NA,0
12072,1,1,18,2
12072,2,1,18,2
12072,3,2,NA,0
12072,4,1,18,2
12072,5,1,18,2
12072,6,1,18,2
12072,7,2,NA,0
12072,8,1,18,2
12072,9,1,18,2
12072,10,2,NA,0
12072,11,2,NA,0
12072,12,2,NA,0
12072,13,2,NA,0
12072,14,2,NA,0
12072,15,2,NA,0
12072,16,2,NA,0
12073,1,2,NA,0
12073,2,1,1,3
12073,3,1,1,3
12073,4,1,1,3
12073,5,1,1,3
12073,6,1,1,3
12073,7,2,NA,0
12073,8,2,NA,0
12073,9,1,1,3
12073,10,2,NA,0
12073,11,2,NA,0
12073,12,1,1,3
12073,13,2,NA,0
12073,14,1,1,3
12073,15,2,NA,0
12073,16,2,NA,0
12074,1,2,NA,0
12074,2,2,NA,0
12074,3,2,NA,0
12074,4,2,NA,0
12074,5,2,NA,0
12074,6,2,NA,0
12074,7,2,NA,0
12074,8,2,NA,0
12074,9,2,NA,0
12074,10,2,NA,0
12074,11,2,NA,0
12074,12,2,NA,0
12074,13,2,NA,0
12074,14,2,NA,0
12074,15,2,NA,0
12074,16,2,NA,0
12075,1,2,NA,0
12075,2,1,136,2
12075,3,1,30,3
12075,4,1,100,2
12075,5,1,136,2
12075,6,1,136,2
12075,7,2,NA,0
12075,8,1,57,3
12075,9,1,72,3
12075,10,2,NA,0
12075,11,2,NA,0
12075,12,2,NA,0
12075,13,2,NA,0
12075,14,1,44,3
12075,15,1,88,2
12075,16,2,NA,0
12076,1,1,32,2
12076,2,1,32,2
12076,3,1,32,2
12076,4,1,32,2
12076,5,1,32,2
12076,6,1,32,2
12076,7,2,NA,0
12076,8,1,32,2
12076,9,1,32,2
12076,10,2,NA,0
12076,11,2,NA,0
12076,12,2,NA,0
12076,13,2,NA,0
12076,14,1,32,2
12076,15,2,NA,0
12076,16,2,NA,0
12077,1,2,NA,0
12077,2,1,35,2
12077,3,2,NA,0
12077,4,1,35,2
12077,5,1,35,2
12077,6,1,35,2
12077,7,2,NA,0
12077,8,1,35,3
12077,9,1,35,2
12077,10,2,NA,0
12077,11,2,NA,0
12077,12,2,NA,0
12077,13,2,NA,0
12077,14,1,35,2
12077,15,2,NA,0
12077,16,2,NA,0
12078,1,1,38,2
12078,2,1,38,2
12078,3,2,NA,0
12078,4,1,38,2
12078,5,1,38,2
12078,6,1,38,2
12078,7,2,NA,0
12078,8,2,NA,0
12078,9,1,38,2
12078,10,2,NA,0
12078,11,2,NA,0
12078,12,2,NA,0
12078,13,2,NA,0
12078,14,2,NA,0
12078,15,2,NA,0
12078,16,2,NA,0
12079,1,2,NA,0
12079,2,1,32,1
12079,3,1,32,1
12079,4,1,32,1
12079,5,1,32,1
12079,6,1,32,1
12079,7,2,NA,0
12079,8,1,32,1
12079,9,1,32,1
12079,10,2,NA,0
12079,11,2,NA,0
12079,12,2,NA,0
12079,13,2,NA,0
12079,14,1,32,1
12079,15,2,NA,0
12079,16,2,NA,0
12080,1,2,NA,0
12080,2,2,NA,0
12080,3,2,NA,0
12080,4,2,NA,0
12080,5,2,NA,0
12080,6,2,NA,0
12080,7,2,NA,0
12080,8,1,12,1
12080,9,1,12,2
12080,10,2,NA,0
12080,11,2,NA,0
12080,12,1,12,2
12080,13,2,NA,0
12080,14,2,NA,0
12080,15,2,NA,0
12080,16,2,NA,0
12081,1,1,30,2
12081,2,1,30,2
12081,3,1,30,2
12081,4,1,30,2
12081,5,1,30,2
12081,6,1,30,2
12081,7,2,NA,0
12081,8,1,30,2
12081,9,1,30,2
12081,10,2,NA,0
12081,11,2,NA,0
12081,12,1,30,2
12081,13,2,NA,0
12081,14,1,30,2
12081,15,2,NA,0
12081,16,2,NA,0
12082,1,0,NA,0
12082,2,0,NA,0
12082,3,0,NA,0
12082,4,0,NA,0
12082,5,0,NA,0
12082,6,0,NA,0
12082,7,0,NA,0
12082,8,0,NA,0
12082,9,0,NA,0
12082,10,0,NA,0
12082,11,0,NA,0
12082,12,0,NA,0
12082,13,0,NA,0
12082,14,0,NA,0
12082,15,0,NA,0
12082,16,0,NA,0
12083,1,0,NA,0
12083,2,0,NA,0
12083,3,0,NA,0
12083,4,0,NA,0
12083,5,0,NA,0
12083,6,0,NA,0
12083,7,0,NA,0
12083,8,0,NA,0
12083,9,0,NA,0
12083,10,0,NA,0
12083,11,0,NA,0
12083,12,0,NA,0
12083,13,0,NA,0
12083,14,0,NA,0
12083,15,0,NA,0
12083,16,0,NA,0
12084,1,0,NA,0
12084,2,0,NA,0
12084,3,0,NA,0
12084,4,0,NA,0
12084,5,0,NA,0
12084,6,0,NA,0
12084,7,0,NA,0
12084,8,0,NA,0
12084,9,0,NA,0
12084,10,0,NA,0
12084,11,0,NA,0
12084,12,0,NA,0
12084,13,0,NA,0
12084,14,0,NA,0
12084,15,0,NA,0
12084,16,0,NA,0
12085,1,0,NA,0
12085,2,0,NA,0
12085,3,0,NA,0
12085,4,0,NA,0
12085,5,0,NA,0
12085,6,0,NA,0
12085,7,0,NA,0
12085,8,0,NA,0
12085,9,0,NA,0
12085,10,0,NA,0
12085,11,0,NA,0
12085,12,0,NA,0
12085,13,0,NA,0
12085,14,0,NA,0
12085,15,0,NA,0
12085,16,0,NA,0
13001,1,1,32,3
13001,2,1,32,3
13001,3,2,NA,0
13001,4,1,32,3
13001,5,1,32,3
13001,6,1,32,3
13001,7,2,NA,0
13001,8,1,32,3
13001,9,1,32,3
13001,10,2,NA,0
13001,11,2,NA,0
13001,12,2,NA,0
13001,13,2,NA,0
13001,14,1,32,3
13001,15,2,NA,0
13001,16,2,NA,0
13002,1,1,49,3
13002,2,1,49,3
13002,3,2,NA,0
13002,4,1,49,3
13002,5,1,49,3
13002,6,1,49,3
13002,7,2,NA,0
13002,8,2,NA,0
13002,9,1,49,3
13002,10,2,NA,0
13002,11,2,NA,0
13002,12,2,NA,0
13002,13,2,NA,0
13002,14,1,49,3
13002,15,2,NA,0
13002,16,2,NA,0
13003,1,1,56,3
13003,2,1,56,3
13003,3,2,NA,0
13003,4,2,NA,0
13003,5,1,56,3
13003,6,2,NA,0
13003,7,2,NA,0
13003,8,2,NA,0
13003,9,1,56,3
13003,10,1,56,3
13003,11,1,56,3
13003,12,1,56,3
13003,13,2,NA,0
13003,14,2,NA,0
13003,15,1,56,3
13003,16,2,NA,0
13004,1,1,20,2
13004,2,1,20,2
13004,3,2,NA,0
13004,4,1,20,2
13004,5,1,20,2
13004,6,1,20,2
13004,7,2,NA,0
13004,8,1,20,2
13004,9,1,20,2
13004,10,2,NA,0
13004,11,2,NA,0
13004,12,1,20,2
13004,13,2,NA,0
13004,14,1,20,2
13004,15,2,NA,0
13004,16,2,NA,0
13005,1,1,1,1
13005,2,1,1,1
13005,3,2,NA,0
13005,4,2,NA,0
13005,5,2,NA,0
13005,6,1,1,1
13005,7,2,NA,0
13005,8,2,NA,0
13005,9,1,1,1
13005,10,2,NA,0
13005,11,2,NA,0
13005,12,2,NA,0
13005,13,2,NA,0
13005,14,2,NA,0
13005,15,2,NA,0
13005,16,2,NA,0
13006,1,2,NA,0
13006,2,2,NA,0
13006,3,2,NA,0
13006,4,2,NA,0
13006,5,2,NA,0
13006,6,2,NA,0
13006,7,2,NA,0
13006,8,2,NA,0
13006,9,2,NA,0
13006,10,2,NA,0
13006,11,2,NA,0
13006,12,2,NA,0
13006,13,2,NA,0
13006,14,2,NA,0
13006,15,2,NA,0
13006,16,2,NA,0
13007,1,1,31,2
13007,2,1,31,2
13007,3,2,NA,0
13007,4,1,31,2
13007,5,1,31,2
13007,6,1,31,2
13007,7,2,NA,0
13007,8,2,NA,0
13007,9,1,31,2
13007,10,2,NA,0
13007,11,2,NA,0
13007,12,1,31,2
13007,13,2,NA,0
13007,14,1,31,2
13007,15,2,NA,0
13007,16,2,NA,0
13008,1,1,1,6
13008,2,1,1,6
13008,3,2,NA,0
13008,4,1,1,6
13008,5,1,2,6
13008,6,1,1,6
13008,7,2,NA,0
13008,8,2,NA,0
13008,9,1,1,6
13008,10,2,NA,0
13008,11,2,NA,0
13008,12,2,NA,0
13008,13,2,NA,0
13008,14,1,1,6
13008,15,1,1,6
13008,16,2,NA,0
13009,1,1,19,3
13009,2,1,19,3
13009,3,2,NA,0
13009,4,1,19,3
13009,5,1,19,3
13009,6,1,19,3
13009,7,2,NA,0
13009,8,2,NA,0
13009,9,1,19,3
13009,10,2,NA,0
13009,11,2,NA,0
13009,12,1,19,3
13009,13,2,NA,0
13009,14,1,19,3
13009,15,2,NA,0
13009,16,2,NA,0
13010,1,2,NA,0
13010,2,2,NA,0
13010,3,2,NA,0
13010,4,2,NA,0
13010,5,2,NA,0
13010,6,2,NA,0
13010,7,2,NA,0
13010,8,2,NA,0
13010,9,1,1,2
13010,10,2,NA,0
13010,11,2,NA,0
13010,12,1,1,2
13010,13,2,NA,0
13010,14,1,1,2
13010,15,2,NA,0
13010,16,2,NA,0
13011,1,1,23,1
13011,2,1,23,1
13011,3,2,NA,0
13011,4,1,23,1
13011,5,1,23,1
13011,6,1,23,1
13011,7,2,NA,0
13011,8,1,23,1
13011,9,1,23,1
13011,10,2,NA,0
13011,11,2,NA,0
13011,12,2,NA,0
13011,13,2,NA,0
13011,14,1,23,1
13011,15,2,NA,0
13011,16,2,NA,0
13012,1,1,32,2
13012,2,1,32,2
13012,3,2,NA,0
13012,4,1,32,2
13012,5,1,32,2
13012,6,1,32,2
13012,7,2,NA,0
13012,8,2,NA,0
13012,9,1,32,2
13012,10,2,NA,0
13012,11,2,NA,0
13012,12,2,NA,0
13012,13,2,NA,0
13012,14,1,32,3
13012,15,2,NA,0
13012,16,2,NA,0
13013,1,1,58,3
13013,2,1,58,3
13013,3,2,NA,0
13013,4,1,58,3
13013,5,1,58,3
13013,6,1,58,3
13013,7,2,NA,0
13013,8,2,NA,0
13013,9,1,58,3
13013,10,2,NA,0
13013,11,2,NA,0
13013,12,1,58,3
13013,13,2,NA,0
13013,14,1,58,3
13013,15,1,58,3
13013,16,2,NA,0
13014,1,1,26,1
13014,2,1,26,1
13014,3,1,26,1
13014,4,1,26,1
13014,5,1,26,1
13014,6,1,26,1
13014,7,2,NA,0
13014,8,1,26,1
13014,9,1,26,1
13014,10,2,NA,0
13014,11,2,NA,0
13014,12,1,26,1
13014,13,2,NA,0
13014,14,2,NA,0
13014,15,2,NA,0
13014,16,2,NA,0
