ubicageo_f,montos1,montos2
16080,NA,NA
16081,NA,NA
16082,NA,NA
16083,55700,12750
16084,NA,NA
16085,NA,NA
16086,NA,NA
16087,NA,NA
16088,NA,NA
16089,NA,NA
16090,NA,NA
16091,NA,NA
16092,NA,NA
16093,NA,NA
16094,NA,NA
16095,NA,NA
16096,NA,NA
16097,NA,NA
16098,NA,NA
16099,NA,NA
16100,NA,NA
16101,NA,NA
16102,NA,NA
16103,NA,NA
16104,NA,NA
16105,NA,NA
16106,NA,NA
16107,NA,NA
16108,1746801,0
16109,NA,NA
16110,NA,NA
16111,85000,0
16112,NSS,0
16113,NA,NA
17001,NA,NA
17002,289554.61,120710
17003,NA,NA
17004,NA,NA
17005,NA,NA
17006,NA,NA
17007,20203159,0
17008,NA,NA
17009,NA,NA
17010,75000,0
17011,NA,NA
17012,NA,NA
17013,477548.36,0
17014,NA,NA
17015,NA,NA
17016,NA,NA
17017,2092970,0
17018,4562560.87,0
17019,233520.62,77453.32
17020,2446821.17,0
17021,119129,0
17022,NSS,0
17023,NA,NA
17024,NA,NA
17025,NA,NA
17026,NA,NA
17027,NA,NA
17028,NA,NA
17029,1445666,766320
17030,NA,NA
17031,NA,NA
17032,NA,NA
17033,NA,NA
17034,NA,NA
17035,NA,NA
17036,NA,NA
18001,NA,NA
18002,NA,NA
18003,NA,NA
18004,1450497,985300
18005,NA,NA
18006,914100,100000
18007,NA,NA
18008,NA,NA
18009,NA,NA
18010,NA,NA
18011,NA,NA
18012,NA,NA
18013,NA,NA
18014,335606,0
18015,NA,NA
18016,NA,NA
18017,NA,NA
18018,NA,NA
18019,NA,NA
18020,NSS,NSS
19001,NA,NA
19002,NA,NA
19003,6000,0
19004,NSS,NSS
19005,47750,0
19006,NSS,NSS
19007,NA,NA
19008,NSS,NSS
19009,363798,170257.3
19010,NSS,NSS
19011,25000,25000
19012,NA,NA
19013,12000,800
19014,6300,0
19015,NA,NA
19016,NA,NA
19017,NA,NA
