ubicageo_f,tordenes_b,rnsnni1,ordcum1,ordcum2
14111,5,1,14,14
14111,6,2,NA,NA
14112,1,2,NA,NA
14112,2,2,NA,NA
14112,3,2,NA,NA
14112,4,2,NA,NA
14112,5,2,NA,NA
14112,6,2,NA,NA
14113,1,2,NA,NA
14113,2,2,NA,NA
14113,3,2,NA,NA
14113,4,2,NA,NA
14113,5,1,22,22
14113,6,2,NA,NA
14114,1,2,NA,NA
14114,2,1,29,29
14114,3,2,NA,NA
14114,4,2,NA,NA
14114,5,2,NA,NA
14114,6,2,NA,NA
14115,1,2,NA,NA
14115,2,1,2,2
14115,3,2,NA,NA
14115,4,1,2,2
14115,5,1,15,15
14115,6,2,NA,NA
14116,1,2,NA,NA
14116,2,2,NA,NA
14116,3,2,NA,NA
14116,4,2,NA,NA
14116,5,2,NA,NA
14116,6,2,NA,NA
14117,1,2,NA,NA
14117,2,2,NA,NA
14117,3,2,NA,NA
14117,4,2,NA,NA
14117,5,1,2,2
14117,6,2,NA,NA
14118,1,2,NA,NA
14118,2,2,NA,NA
14118,3,2,NA,NA
14118,4,2,NA,NA
14118,5,2,NA,NA
14118,6,2,NA,NA
14119,1,2,NA,NA
14119,2,2,NA,NA
14119,3,2,NA,NA
14119,4,2,NA,NA
14119,5,2,NA,NA
14119,6,2,NA,NA
14120,1,2,NA,NA
14120,2,1,33,16
14120,3,2,NA,NA
14120,4,1,1655,1655
14120,5,1,10539,10539
14120,6,2,NA,NA
14121,1,2,NA,NA
14121,2,2,NA,NA
14121,3,2,NA,NA
14121,4,2,NA,NA
14121,5,1,34,34
14121,6,2,NA,NA
14122,1,2,NA,NA
14122,2,2,NA,NA
14122,3,2,NA,NA
14122,4,2,NA,NA
14122,5,1,3,3
14122,6,2,NA,NA
14123,1,2,NA,NA
14123,2,2,NA,NA
14123,3,2,NA,NA
14123,4,2,NA,NA
14123,5,2,NA,NA
14123,6,2,NA,NA
14124,1,2,NA,NA
14124,2,2,NA,NA
14124,3,2,NA,NA
14124,4,1,2098,2098
14124,5,1,332,332
14124,6,2,NA,NA
14125,1,2,NA,NA
14125,2,2,NA,NA
14125,3,2,NA,NA
14125,4,2,NA,NA
14125,5,1,6,6
14125,6,2,NA,NA
15001,1,2,NA,NA
15001,2,2,NA,NA
15001,3,2,NA,NA
15001,4,2,NA,NA
15001,5,1,279,279
15001,6,2,NA,NA
15002,1,2,NA,NA
15002,2,2,NA,NA
15002,3,1,18,18
15002,4,2,NA,NA
15002,5,1,622,622
15002,6,2,NA,NA
15003,1,2,NA,NA
15003,2,2,NA,NA
15003,3,1,5,5
15003,4,1,4,4
15003,5,1,94,94
15003,6,2,NA,NA
15004,1,2,NA,NA
15004,2,2,NA,NA
15004,3,2,NA,NA
15004,4,2,NA,NA
15004,5,2,NA,NA
15004,6,2,NA,NA
15005,1,2,NA,NA
15005,2,2,NA,NA
15005,3,2,NA,NA
15005,4,1,8,8
15005,5,1,312,312
15005,6,2,NA,NA
15006,1,2,NA,NA
15006,2,2,NA,NA
15006,3,2,NA,NA
15006,4,1,2,2
15006,5,1,2,2
15006,6,2,NA,NA
15007,1,2,NA,NA
15007,2,2,NA,NA
15007,3,2,NA,NA
15007,4,2,NA,NA
15007,5,2,NA,NA
15007,6,2,NA,NA
15008,1,2,NA,NA
15008,2,2,NA,NA
15008,3,1,1,1
15008,4,2,NA,NA
15008,5,2,NA,NA
15008,6,2,NA,NA
15009,1,2,NA,NA
15009,2,1,8,8
15009,3,2,NA,NA
15009,4,1,12,12
15009,5,1,573,573
15009,6,2,NA,NA
15010,1,2,NA,NA
15010,2,2,NA,NA
15010,3,2,NA,NA
15010,4,1,20,4
15010,5,1,38,38
15010,6,2,NA,NA
15011,1,2,NA,NA
15011,2,1,1,1
15011,3,2,NA,NA
15011,4,2,NA,NA
15011,5,1,250,250
15011,6,2,NA,NA
15012,1,9,NSS,NSS
15012,2,9,NSS,NSS
15012,3,9,NSS,NSS
15012,4,9,NSS,NSS
15012,5,9,NSS,NSS
15012,6,9,NSS,NSS
15013,1,2,NA,NA
15013,2,1,4,4
15013,3,1,23,23
15013,4,1,259,259
15013,5,1,2829,2829
15013,6,2,NA,NA
15014,1,2,NA,NA
15014,2,2,NA,NA
15014,3,1,16,16
15014,4,1,15,15
15014,5,1,486,486
15014,6,2,NA,NA
15015,1,2,NA,NA
15015,2,2,NA,NA
15015,3,2,NA,NA
15015,4,2,NA,NA
15015,5,1,183,183
15015,6,2,NA,NA
15016,1,2,NA,NA
15016,2,2,NA,NA
15016,3,2,NA,NA
15016,4,1,25,25
15016,5,1,30,20
15016,6,2,NA,NA
15017,1,2,NA,NA
15017,2,2,NA,NA
15017,3,2,NA,NA
15017,4,2,NA,NA
15017,5,2,NA,NA
15017,6,2,NA,NA
15018,1,2,NA,NA
15018,2,2,NA,NA
15018,3,2,NA,NA
15018,4,2,NA,NA
15018,5,2,NA,NA
15018,6,2,NA,NA
15019,1,2,NA,NA
15019,2,2,NA,NA
15019,3,2,NA,NA
15019,4,2,NA,NA
15019,5,1,300,300
15019,6,2,NA,NA
15020,1,2,NA,NA
15020,2,2,NA,NA
15020,3,2,NA,NA
15020,4,1,3,3
15020,5,1,666,666
15020,6,2,NA,NA
15021,1,2,NA,NA
15021,2,2,NA,NA
15021,3,2,NA,NA
15021,4,2,NA,NA
15021,5,2,NA,NA
15021,6,2,NA,NA
15022,1,2,NA,NA
15022,2,2,NA,NA
15022,3,1,1,1
15022,4,1,2,2
15022,5,1,80,80
15022,6,2,NA,NA
15023,1,2,NA,NA
15023,2,2,NA,NA
15023,3,2,NA,NA
15023,4,2,NA,NA
15023,5,2,NA,NA
15023,6,2,NA,NA
15024,1,2,NA,NA
15024,2,2,NA,NA
15024,3,2,NA,NA
15024,4,1,15,11
15024,5,1,511,409
15024,6,2,NA,NA
15025,1,2,NA,NA
15025,2,2,NA,NA
15025,3,2,NA,NA
15025,4,2,NA,NA
15025,5,2,NA,NA
15025,6,2,NA,NA
15026,1,1,20,20
15026,2,1,15,15
15026,3,1,2,2
15026,4,1,8,8
15026,5,1,120,120
15026,6,1,8,8
15027,1,2,NA,NA
15027,2,2,NA,NA
15027,3,2,NA,NA
15027,4,2,NA,NA
15027,5,2,NA,NA
15027,6,2,NA,NA
15028,1,2,NA,NA
15028,2,2,NA,NA
15028,3,2,NA,NA
15028,4,2,NA,NA
15028,5,1,47,47
15028,6,2,NA,NA
15029,1,2,NA,NA
15029,2,2,NA,NA
15029,3,2,NA,NA
15029,4,1,36,32
15029,5,1,759,759
15029,6,2,NA,NA
15030,1,2,NA,NA
15030,2,1,1,1
15030,3,2,NA,NA
15030,4,1,2,2
15030,5,1,145,145
15030,6,2,NA,NA
15031,1,1,5,5
15031,2,2,NA,NA
15031,3,1,3,3
15031,4,2,NA,NA
15031,5,2,NA,NA
15031,6,2,NA,NA
15032,1,2,NA,NA
15032,2,2,NA,NA
15032,3,2,NA,NA
15032,4,2,NA,NA
15032,5,1,99,89
15032,6,2,NA,NA
15033,1,2,NA,NA
15033,2,2,NA,NA
15033,3,2,NA,NA
15033,4,1,1450,1450
15033,5,1,11496,11496
15033,6,2,NA,NA
15034,1,2,NA,NA
15034,2,2,NA,NA
15034,3,2,NA,NA
15034,4,2,NA,NA
15034,5,1,18,18
15034,6,2,NA,NA
15035,1,2,NA,NA
15035,2,1,1,1
15035,3,9,NSS,NSS
15035,4,1,35,35
15035,5,1,480,480
15035,6,2,NA,NA
15036,1,2,NA,NA
15036,2,1,2,2
15036,3,2,NA,NA
15036,4,1,6,6
15036,5,1,56,56
15036,6,2,NA,NA
15037,1,2,NA,NA
15037,2,2,NA,NA
15037,3,2,NA,NA
15037,4,1,90,90
15037,5,2,NA,NA
15037,6,2,NA,NA
15038,1,1,3,3
15038,2,2,NA,NA
15038,3,1,1,1
15038,4,2,NA,NA
15038,5,1,47,47
15038,6,2,NA,NA
15039,1,2,NA,NA
15039,2,2,NA,NA
15039,3,2,NA,NA
15039,4,1,191,191
15039,5,1,470,470
15039,6,2,NA,NA
15040,1,2,NA,NA
15040,2,2,NA,NA
15040,3,2,NA,NA
15040,4,1,2,2
15040,5,1,2,2
15040,6,2,NA,NA
15041,1,2,NA,NA
15041,2,2,NA,NA
15041,3,2,NA,NA
15041,4,1,2,2
15041,5,1,7,7
15041,6,2,NA,NA
15042,1,2,NA,NA
15042,2,2,NA,NA
15042,3,2,NA,NA
15042,4,9,NSS,NSS
15042,5,1,60,60
15042,6,2,NA,NA
15043,1,2,NA,NA
15043,2,2,NA,NA
15043,3,2,NA,NA
15043,4,2,NA,NA
15043,5,1,86,86
15043,6,2,NA,NA
15044,1,2,NA,NA
15044,2,2,NA,NA
15044,3,2,NA,NA
15044,4,2,NA,NA
15044,5,2,NA,NA
15044,6,2,NA,NA
15045,1,2,NA,NA
15045,2,1,1,1
15045,3,2,NA,NA
15045,4,1,30,30
15045,5,1,2920,2920
15045,6,2,NA,NA
15046,1,2,NA,NA
15046,2,2,NA,NA
15046,3,2,NA,NA
15046,4,1,3,3
15046,5,1,19,19
15046,6,2,NA,NA
15047,1,2,NA,NA
15047,2,2,NA,NA
15047,3,2,NA,NA
15047,4,2,NA,NA
15047,5,2,NA,NA
15047,6,2,NA,NA
15048,1,2,NA,NA
15048,2,2,NA,NA
15048,3,2,NA,NA
15048,4,1,12,12
15048,5,1,402,402
15048,6,2,NA,NA
15049,1,1,5,5
15049,2,2,NA,NA
15049,3,2,NA,NA
15049,4,2,NA,NA
15049,5,1,20,20
15049,6,2,NA,NA
15050,1,1,2,2
15050,2,2,NA,NA
15050,3,2,NA,NA
15050,4,1,1,1
15050,5,1,204,204
15050,6,2,NA,NA
15051,1,2,NA,NA
15051,2,2,NA,NA
15051,3,2,NA,NA
15051,4,1,24,24
15051,5,2,NA,NA
15051,6,2,NA,NA
15052,1,2,NA,NA
15052,2,2,NA,NA
15052,3,2,NA,NA
15052,4,1,125,125
15052,5,1,25,25
15052,6,9,NSS,NSS
15053,1,2,NA,NA
15053,2,2,NA,NA
15053,3,2,NA,NA
15053,4,2,NA,NA
15053,5,2,NA,NA
15053,6,2,NA,NA
15054,1,2,NA,NA
15054,2,2,NA,NA
15054,3,2,NA,NA
15054,4,1,83,83
15054,5,1,1611,1611
15054,6,2,NA,NA
15055,1,2,NA,NA
15055,2,2,NA,NA
15055,3,2,NA,NA
15055,4,2,NA,NA
15055,5,2,NA,NA
15055,6,2,NA,NA
15056,1,2,NA,NA
15056,2,2,NA,NA
15056,3,2,NA,NA
15056,4,2,NA,NA
15056,5,1,146,146
15056,6,2,NA,NA
15057,1,2,NA,NA
15057,2,2,NA,NA
15057,3,2,NA,NA
15057,4,1,315,315
15057,5,1,5877,5877
15057,6,2,NA,NA
15058,1,2,NA,NA
15058,2,2,NA,NA
15058,3,2,NA,NA
15058,4,1,88,88
15058,5,1,6158,6158
15058,6,2,NA,NA
15059,1,1,283,283
15059,2,1,283,283
15059,3,2,NA,NA
15059,4,1,150,133
15059,5,1,175,108
15059,6,2,NA,NA
15060,1,2,NA,NA
15060,2,2,NA,NA
15060,3,2,NA,NA
15060,4,2,NA,NA
15060,5,1,1230,1230
15060,6,2,NA,NA
15061,1,2,NA,NA
15061,2,2,NA,NA
15061,3,2,NA,NA
15061,4,2,NA,NA
15061,5,2,NA,NA
15061,6,2,NA,NA
15062,1,2,NA,NA
15062,2,2,NA,NA
15062,3,2,NA,NA
15062,4,2,NA,NA
15062,5,1,507,0
15062,6,2,NA,NA
15063,1,0,NA,NA
15063,2,0,NA,NA
15063,3,0,NA,NA
15063,4,0,NA,NA
15063,5,0,NA,NA
15063,6,0,NA,NA
15064,1,2,NA,NA
15064,2,2,NA,NA
15064,3,2,NA,NA
15064,4,1,8,8
15064,5,1,312,312
15064,6,2,NA,NA
15065,1,2,NA,NA
15065,2,2,NA,NA
15065,3,2,NA,NA
15065,4,1,2,2
15065,5,1,288,288
15065,6,2,NA,NA
15066,1,2,NA,NA
15066,2,2,NA,NA
15066,3,2,NA,NA
15066,4,2,NA,NA
15066,5,2,NA,NA
15066,6,2,NA,NA
15067,1,2,NA,NA
15067,2,2,NA,NA
15067,3,2,NA,NA
15067,4,1,8,8
15067,5,1,232,232
15067,6,2,NA,NA
15068,1,2,NA,NA
15068,2,2,NA,NA
15068,3,2,NA,NA
15068,4,2,NA,NA
15068,5,2,NA,NA
15068,6,2,NA,NA
15069,1,2,NA,NA
15069,2,2,NA,NA
15069,3,2,NA,NA
15069,4,2,NA,NA
15069,5,1,6,6
15069,6,2,NA,NA
15070,1,2,NA,NA
15070,2,2,NA,NA
15070,3,2,NA,NA
15070,4,2,NA,NA
15070,5,2,NA,NA
15070,6,2,NA,NA
15071,1,2,NA,NA
15071,2,2,NA,NA
15071,3,2,NA,NA
15071,4,2,NA,NA
15071,5,2,NA,NA
15071,6,2,NA,NA
15072,1,2,NA,NA
15072,2,2,NA,NA
15072,3,2,NA,NA
15072,4,2,NA,NA
15072,5,2,NA,NA
15072,6,2,NA,NA
15073,1,1,1,1
15073,2,2,NA,NA
15073,3,2,NA,NA
15073,4,2,NA,NA
15073,5,2,NA,NA
15073,6,2,NA,NA
15074,1,2,NA,NA
15074,2,2,NA,NA
15074,3,2,NA,NA
15074,4,2,NA,NA
15074,5,2,NA,NA
15074,6,2,NA,NA
15075,1,2,NA,NA
15075,2,2,NA,NA
15075,3,2,NA,NA
15075,4,1,15,15
15075,5,2,NA,NA
15075,6,2,NA,NA
15076,1,2,NA,NA
15076,2,2,NA,NA
15076,3,2,NA,NA
15076,4,1,83,83
15076,5,1,1611,1611
15076,6,2,NA,NA
15077,1,2,NA,NA
15077,2,2,NA,NA
15077,3,2,NA,NA
15077,4,2,NA,NA
15077,5,1,6,6
15077,6,2,NA,NA
15078,1,2,NA,NA
15078,2,2,NA,NA
15078,3,2,NA,NA
15078,4,2,NA,NA
15078,5,1,11,11
15078,6,2,NA,NA
15079,1,2,NA,NA
15079,2,2,NA,NA
15079,3,1,6,6
15079,4,1,10,10
15079,5,1,37,37
15079,6,2,NA,NA
15080,1,2,NA,NA
15080,2,2,NA,NA
15080,3,2,NA,NA
15080,4,2,NA,NA
15080,5,1,6,6
15080,6,2,NA,NA
15081,1,1,3,0
15081,2,1,1,0
15081,3,1,1,0
15081,4,1,151,151
15081,5,1,2548,0
15081,6,1,353,353
15082,1,2,NA,NA
15082,2,2,NA,NA
15082,3,2,NA,NA
15082,4,1,8,8
15082,5,2,NA,NA
15082,6,2,NA,NA
15083,1,2,NA,NA
15083,2,2,NA,NA
15083,3,2,NA,NA
15083,4,2,NA,NA
15083,5,2,NA,NA
15083,6,2,NA,NA
15084,1,2,NA,NA
15084,2,2,NA,NA
15084,3,1,17,17
15084,4,1,6,6
15084,5,1,97,97
15084,6,2,NA,NA
15085,1,2,NA,NA
15085,2,1,3,0
15085,3,2,NA,NA
15085,4,1,4,2
15085,5,1,168,168
15085,6,2,NA,NA
15086,1,2,NA,NA
15086,2,2,NA,NA
15086,3,2,NA,NA
15086,4,2,NA,NA
15086,5,2,NA,NA
15086,6,2,NA,NA
15087,1,2,NA,NA
15087,2,1,NSS,NSS
15087,3,2,NA,NA
15087,4,1,NSS,NSS
15087,5,1,NSS,NSS
15087,6,1,NSS,NSS
15088,1,2,NA,NA
15088,2,2,NA,NA
15088,3,2,NA,NA
15088,4,2,NA,NA
15088,5,1,2,2
15088,6,2,NA,NA
15089,1,2,NA,NA
15089,2,2,NA,NA
15089,3,2,NA,NA
15089,4,1,2,2
15089,5,1,25,25
15089,6,2,NA,NA
15090,1,2,NA,NA
15090,2,2,NA,NA
15090,3,2,NA,NA
15090,4,1,17,17
15090,5,1,580,580
15090,6,2,NA,NA
15091,1,2,NA,NA
15091,2,2,NA,NA
15091,3,2,NA,NA
15091,4,2,NA,NA
15091,5,1,1047,1047
15091,6,2,NA,NA
15092,1,2,NA,NA
15092,2,2,NA,NA
15092,3,2,NA,NA
15092,4,2,NA,NA
15092,5,2,NA,NA
15092,6,2,NA,NA
15093,1,2,NA,NA
15093,2,2,NA,NA
15093,3,2,NA,NA
15093,4,1,2,2
15093,5,1,50,50
15093,6,2,NA,NA
15094,1,2,NA,NA
15094,2,1,2,2
15094,3,2,NA,NA
15094,4,1,1,1
15094,5,2,NA,NA
15094,6,2,NA,NA
15095,1,2,NA,NA
15095,2,2,NA,NA
15095,3,2,NA,NA
15095,4,1,43,43
15095,5,1,1137,1137
15095,6,2,NA,NA
15096,1,1,1,1
15096,2,2,NA,NA
15096,3,2,NA,NA
15096,4,1,29,9
15096,5,1,226,226
15096,6,2,NA,NA
15097,1,2,NA,NA
15097,2,2,NA,NA
15097,3,2,NA,NA
15097,4,2,NA,NA
15097,5,2,NA,NA
15097,6,2,NA,NA
15098,1,9,NSS,NSS
15098,2,2,NA,NA
15098,3,2,NA,NA
15098,4,2,NA,NA
15098,5,2,NA,NA
15098,6,2,NA,NA
15099,1,2,NA,NA
15099,2,2,NA,NA
15099,3,2,NA,NA
15099,4,1,124,124
15099,5,1,1564,1564
15099,6,2,NA,NA
15100,1,2,NA,NA
15100,2,2,NA,NA
15100,3,2,NA,NA
15100,4,1,45,45
15100,5,1,128,128
15100,6,2,NA,NA
15101,1,2,NA,NA
15101,2,2,NA,NA
15101,3,2,NA,NA
15101,4,2,NA,NA
15101,5,1,507,0
15101,6,2,NA,NA
15102,1,2,NA,NA
15102,2,2,NA,NA
15102,3,2,NA,NA
15102,4,1,4,4
15102,5,1,11,11
15102,6,2,NA,NA
15103,1,2,NA,NA
15103,2,1,4,2
15103,3,2,NA,NA
15103,4,2,NA,NA
15103,5,1,431,431
15103,6,2,NA,NA
15104,1,2,NA,NA
15104,2,2,NA,NA
15104,3,2,NA,NA
15104,4,1,35,35
15104,5,1,359,359
15104,6,2,NA,NA
15105,1,9,NSS,NSS
15105,2,9,NSS,NSS
15105,3,9,NSS,NSS
15105,4,9,NSS,NSS
15105,5,1,5,5
15105,6,9,NSS,NSS
15106,1,2,NA,NA
15106,2,2,NA,NA
15106,3,2,NA,NA
15106,4,1,753,753
15106,5,1,7258,7258
15106,6,2,NA,NA
15107,1,2,NA,NA
15107,2,1,10,10
15107,3,2,NA,NA
15107,4,2,NA,NA
15107,5,1,30,30
15107,6,2,NA,NA
15108,1,2,NA,NA
15108,2,2,NA,NA
15108,3,2,NA,NA
15108,4,2,NA,NA
15108,5,2,NA,NA
15108,6,2,NA,NA
15109,1,1,14,14
15109,2,2,NA,NA
15109,3,1,31,31
15109,4,2,NA,NA
15109,5,2,NA,NA
15109,6,2,NA,NA
15110,1,2,NA,NA
15110,2,2,NA,NA
15110,3,2,NA,NA
15110,4,2,NA,NA
15110,5,2,NA,NA
15110,6,2,NA,NA
15111,1,2,NA,NA
15111,2,2,NA,NA
15111,3,2,NA,NA
15111,4,1,6,6
15111,5,1,30,30
15111,6,2,NA,NA
15112,1,2,NA,NA
15112,2,2,NA,NA
15112,3,2,NA,NA
15112,4,2,NA,NA
15112,5,2,NA,NA
15112,6,2,NA,NA
15113,1,2,NA,NA
15113,2,1,10,10
15113,3,2,NA,NA
15113,4,2,NA,NA
15113,5,1,30,30
15113,6,2,NA,NA
15114,1,2,NA,NA
15114,2,2,NA,NA
15114,3,2,NA,NA
15114,4,1,2,2
15114,5,1,30,30
15114,6,2,NA,NA
15115,1,1,3,3
15115,2,2,NA,NA
15115,3,1,1,1
15115,4,1,14,14
15115,5,1,234,234
15115,6,2,NA,NA
15116,1,2,NA,NA
15116,2,2,NA,NA
15116,3,2,NA,NA
15116,4,2,NA,NA
15116,5,2,NA,NA
15116,6,2,NA,NA
15117,1,2,NA,NA
15117,2,2,NA,NA
15117,3,2,NA,NA
15117,4,2,NA,NA
15117,5,2,NA,NA
15117,6,2,NA,NA
15118,1,2,NA,NA
15118,2,2,NA,NA
15118,3,2,NA,NA
15118,4,2,NA,NA
15118,5,2,NA,NA
15118,6,2,NA,NA
15119,1,2,NA,NA
15119,2,2,NA,NA
15119,3,2,NA,NA
15119,4,1,3,3
15119,5,1,40,40
15119,6,1,14,14
15120,1,9,NSS,NSS
15120,2,9,NSS,NSS
15120,3,1,50,50
15120,4,1,230,230
15120,5,1,975,975
15120,6,2,NA,NA
15121,1,2,NA,NA
15121,2,2,NA,NA
15121,3,2,NA,NA
15121,4,1,88,88
15121,5,1,3718,3718
15121,6,2,NA,NA
15122,1,2,NA,NA
15122,2,2,NA,NA
15122,3,2,NA,NA
15122,4,1,264,264
15122,5,1,808,808
15122,6,2,NA,NA
15123,1,2,NA,NA
15123,2,2,NA,NA
15123,3,2,NA,NA
15123,4,1,125,125
15123,5,1,25,25
15123,6,9,NSS,NSS
15124,1,2,NA,NA
15124,2,2,NA,NA
15124,3,2,NA,NA
15124,4,1,10,10
15124,5,1,269,269
15124,6,2,NA,NA
15125,1,2,NA,NA
15125,2,1,1,1
15125,3,2,NA,NA
15125,4,1,2,2
15125,5,1,76,76
15125,6,9,NSS,NSS
16001,1,2,NA,NA
16001,2,2,NA,NA
16001,3,2,NA,NA
16001,4,2,NA,NA
16001,5,2,NA,NA
16001,6,2,NA,NA
16002,1,2,NA,NA
16002,2,2,NA,NA
16002,3,2,NA,NA
16002,4,2,NA,NA
16002,5,2,NA,NA
16002,6,2,NA,NA
16003,1,2,NA,NA
16003,2,2,NA,NA
16003,3,2,NA,NA
16003,4,2,NA,NA
16003,5,1,12,12
16003,6,2,NA,NA
16004,1,2,NA,NA
16004,2,2,NA,NA
16004,3,2,NA,NA
16004,4,1,73,73
16004,5,1,4,4
16004,6,2,NA,NA
16005,1,2,NA,NA
16005,2,2,NA,NA
16005,3,2,NA,NA
16005,4,2,NA,NA
16005,5,2,NA,NA
16005,6,2,NA,NA
16006,1,2,NA,NA
16006,2,2,NA,NA
16006,3,2,NA,NA
16006,4,2,NA,NA
16006,5,1,32,32
16006,6,2,NA,NA
16007,1,2,NA,NA
16007,2,2,NA,NA
16007,3,2,NA,NA
16007,4,2,NA,NA
16007,5,1,1,1
16007,6,2,NA,NA
16008,1,0,NA,NA
16008,2,0,NA,NA
16008,3,0,NA,NA
16008,4,0,NA,NA
16008,5,0,NA,NA
16008,6,0,NA,NA
16009,1,2,NA,NA
16009,2,2,NA,NA
16009,3,2,NA,NA
16009,4,2,NA,NA
16009,5,2,NA,NA
16009,6,2,NA,NA
16010,1,0,NA,NA
16010,2,0,NA,NA
16010,3,0,NA,NA
16010,4,0,NA,NA
16010,5,0,NA,NA
16010,6,0,NA,NA
16011,1,2,NA,NA
16011,2,2,NA,NA
16011,3,2,NA,NA
16011,4,2,NA,NA
16011,5,2,NA,NA
16011,6,2,NA,NA
16012,1,2,NA,NA
16012,2,2,NA,NA
16012,3,2,NA,NA
16012,4,2,NA,NA
16012,5,1,15,15
16012,6,2,NA,NA
16013,1,2,NA,NA
16013,2,2,NA,NA
16013,3,2,NA,NA
16013,4,2,NA,NA
16013,5,2,NA,NA
16013,6,2,NA,NA
16014,1,2,NA,NA
16014,2,2,NA,NA
16014,3,2,NA,NA
16014,4,2,NA,NA
16014,5,2,NA,NA
16014,6,2,NA,NA
16015,1,2,NA,NA
16015,2,2,NA,NA
16015,3,2,NA,NA
16015,4,2,NA,NA
16015,5,1,8,8
16015,6,2,NA,NA
16016,1,2,NA,NA
16016,2,2,NA,NA
16016,3,2,NA,NA
16016,4,2,NA,NA
16016,5,2,NA,NA
16016,6,2,NA,NA
16017,1,2,NA,NA
16017,2,1,27,27
16017,3,2,NA,NA
16017,4,1,63,63
16017,5,1,12,12
16017,6,2,NA,NA
16018,1,2,NA,NA
16018,2,2,NA,NA
16018,3,2,NA,NA
16018,4,2,NA,NA
16018,5,2,NA,NA
16018,6,2,NA,NA
16019,1,1,1,0
16019,2,2,NA,NA
16019,3,2,NA,NA
16019,4,1,200,0
16019,5,1,1,0
16019,6,2,NA,NA
16020,1,2,NA,NA
16020,2,2,NA,NA
16020,3,2,NA,NA
16020,4,2,NA,NA
16020,5,2,NA,NA
16020,6,2,NA,NA
16021,1,1,250,250
16021,2,1,250,250
16021,3,1,2,2
16021,4,1,3,3
16021,5,2,NA,NA
16021,6,2,NA,NA
16022,1,1,250,250
16022,2,9,NSS,NSS
16022,3,1,60,60
16022,4,9,NSS,NSS
16022,5,1,140,140
16022,6,2,NA,NA
16023,1,2,NA,NA
16023,2,2,NA,NA
16023,3,2,NA,NA
16023,4,2,NA,NA
16023,5,2,NA,NA
16023,6,2,NA,NA
16024,1,2,NA,NA
16024,2,2,NA,NA
16024,3,2,NA,NA
16024,4,2,NA,NA
16024,5,2,NA,NA
16024,6,2,NA,NA
16025,1,2,NA,NA
16025,2,1,2,2
16025,3,2,NA,NA
16025,4,1,30,30
16025,5,1,15,15
16025,6,2,NA,NA
16026,1,2,NA,NA
16026,2,2,NA,NA
16026,3,2,NA,NA
16026,4,2,NA,NA
16026,5,2,NA,NA
16026,6,2,NA,NA
16027,1,2,NA,NA
16027,2,2,NA,NA
16027,3,2,NA,NA
16027,4,2,NA,NA
16027,5,2,NA,NA
16027,6,2,NA,NA
16028,1,2,NA,NA
16028,2,2,NA,NA
16028,3,2,NA,NA
16028,4,2,NA,NA
16028,5,1,4,4
16028,6,2,NA,NA
16029,1,2,NA,NA
16029,2,2,NA,NA
16029,3,2,NA,NA
16029,4,1,5,5
16029,5,2,NA,NA
16029,6,2,NA,NA
16030,1,2,NA,NA
16030,2,2,NA,NA
16030,3,2,NA,NA
16030,4,2,NA,NA
16030,5,2,NA,NA
16030,6,2,NA,NA
16031,1,2,NA,NA
16031,2,2,NA,NA
16031,3,2,NA,NA
16031,4,1,2,2
16031,5,1,3,3
16031,6,2,NA,NA
16032,1,2,NA,NA
16032,2,2,NA,NA
16032,3,2,NA,NA
16032,4,2,NA,NA
16032,5,2,NA,NA
16032,6,2,NA,NA
16033,1,2,NA,NA
16033,2,2,NA,NA
16033,3,2,NA,NA
16033,4,2,NA,NA
16033,5,2,NA,NA
16033,6,2,NA,NA
16034,1,2,NA,NA
16034,2,2,NA,NA
16034,3,2,NA,NA
16034,4,1,17,17
16034,5,1,65,65
16034,6,2,NA,NA
16035,1,2,NA,NA
16035,2,2,NA,NA
16035,3,2,NA,NA
16035,4,2,NA,NA
16035,5,2,NA,NA
16035,6,2,NA,NA
16036,1,2,NA,NA
16036,2,2,NA,NA
16036,3,2,NA,NA
16036,4,2,NA,NA
16036,5,1,5,5
16036,6,9,NSS,NSS
16037,1,2,NA,NA
16037,2,2,NA,NA
16037,3,2,NA,NA
16037,4,2,NA,NA
16037,5,2,NA,NA
16037,6,2,NA,NA
16038,1,2,NA,NA
16038,2,2,NA,NA
16038,3,2,NA,NA
16038,4,2,NA,NA
16038,5,2,NA,NA
16038,6,2,NA,NA
16039,1,2,NA,NA
16039,2,2,NA,NA
16039,3,2,NA,NA
16039,4,2,NA,NA
16039,5,1,5,5
16039,6,9,NSS,NSS
16040,1,2,NA,NA
16040,2,2,NA,NA
16040,3,2,NA,NA
16040,4,2,NA,NA
16040,5,1,10,10
16040,6,2,NA,NA
16041,1,2,NA,NA
16041,2,2,NA,NA
16041,3,2,NA,NA
16041,4,2,NA,NA
16041,5,2,NA,NA
16041,6,2,NA,NA
16042,1,1,1,1
16042,2,2,NA,NA
16042,3,2,NA,NA
16042,4,2,NA,NA
16042,5,2,NA,NA
16042,6,2,NA,NA
16043,1,2,NA,NA
16043,2,2,NA,NA
16043,3,2,NA,NA
16043,4,1,220,220
16043,5,1,126,126
16043,6,2,NA,NA
16044,1,1,1,1
16044,2,2,NA,NA
16044,3,2,NA,NA
16044,4,2,NA,NA
16044,5,2,NA,NA
16044,6,2,NA,NA
16045,1,2,NA,NA
16045,2,2,NA,NA
16045,3,2,NA,NA
16045,4,2,NA,NA
