ubicageo_f,aniorefe_b,rnsnni1,forfastt,forfas1,forfas2,forfas3
7071,1,1,6729370.1,6729370.1,0,0
7071,2,1,6737140.94,6737140.94,0,0
7072,1,2,NA,NA,NA,NA
7072,2,2,NA,NA,NA,NA
7073,1,2,NA,NA,NA,NA
7073,2,2,NA,NA,NA,NA
7074,1,1,32244824.75,32244824.75,0,0
7074,2,1,30443211.65,30443211.65,0,0
7075,1,2,NA,NA,NA,NA
7075,2,2,NA,NA,NA,NA
7076,1,2,NA,NA,NA,NA
7076,2,2,NA,NA,NA,NA
7077,1,2,NA,NA,NA,NA
7077,2,2,NA,NA,NA,NA
7078,1,1,91989002,91989002,0,0
7078,2,1,91528652,91528652,0,0
7079,1,2,NA,NA,NA,NA
7079,2,2,NA,NA,NA,NA
7080,1,2,NA,NA,NA,NA
7080,2,1,3974366.92,3974366.92,0,0
7081,1,1,11657549.25,11657549.25,0,0
7081,2,1,12510297.34,12510297.34,0,0
7082,1,2,NA,NA,NA,NA
7082,2,1,4592951.54,4592951.54,0,0
7083,1,2,NA,NA,NA,NA
7083,2,2,NA,NA,NA,NA
7084,1,2,NA,NA,NA,NA
7084,2,2,NA,NA,NA,NA
7085,1,1,7598052,7598052,0,0
7085,2,1,8179155,8179155,0,0
7086,1,1,8275337.5,8275337.5,0,0
7086,2,1,8821070.91,8821070.91,0,0
7087,1,2,NA,NA,NA,NA
7087,2,2,NA,NA,NA,NA
7088,1,2,NA,NA,NA,NA
7088,2,2,NA,NA,NA,NA
7089,1,1,183808218.47,183808218.47,0,0
7089,2,1,207718163.76,207718163.76,0,0
7090,1,2,NA,NA,NA,NA
7090,2,2,NA,NA,NA,NA
7091,1,2,NA,NA,NA,NA
7091,2,2,NA,NA,NA,NA
7092,1,1,10251132.62,10251132.62,0,0
7092,2,1,11860289.08,11860289.08,0,0
7093,1,1,4389632.07,4389632.07,0,0
7093,2,1,6279733.85,6279733.85,0,0
7094,1,9,NSS,NSS,NSS,NSS
