ubicageo_f,aniorefe_b,prpltett,prplte1,prplte2,prplte4,prplte5,prpltene
31032,1,0,0,0,0,0,
31032,2,0,0,0,0,0,
31033,1,0,0,0,0,0,
31033,2,0,0,0,0,0,
31034,1,0,0,0,0,0,
31034,2,0,0,0,0,0,
31035,1,0,0,0,0,0,
31035,2,0,0,0,0,0,
31036,1,0,0,0,0,0,
31036,2,0,0,0,0,0,
31037,1,0,0,0,0,0,
31037,2,0,0,0,0,0,
31038,1,0,0,0,0,0,
31038,2,0,0,0,0,0,
31039,1,0,0,0,0,0,
31039,2,0,0,0,0,0,
31040,1,0,0,0,0,0,
31040,2,0,0,0,0,0,
31041,1,0,0,0,0,0,
31041,2,0,0,0,0,0,
31042,1,0,0,0,0,0,
31042,2,0,0,0,0,0,
31043,1,0,0,0,0,0,
31043,2,0,0,0,0,0,
31044,1,0,0,0,0,0,
31044,2,0,0,0,0,0,
31045,1,0,0,0,0,0,
31045,2,0,0,0,0,0,
31046,1,0,0,0,0,0,
31046,2,0,0,0,0,0,
31047,1,0,0,0,0,0,
31047,2,0,0,0,0,0,
31048,1,0,0,0,0,0,
31048,2,0,0,0,0,0,
31049,1,0,0,0,0,0,
31049,2,0,0,0,0,0,
31050,1,0,0,0,0,0,
31050,2,0,0,0,0,0,
31051,1,0,0,0,0,0,
31051,2,0,0,0,0,0,
31052,1,0,0,0,0,0,
31052,2,0,0,0,0,0,
31053,1,0,0,0,0,0,
31053,2,0,0,0,0,0,
31054,1,0,0,0,0,0,
31054,2,0,0,0,0,0,
31055,1,0,0,0,0,0,
31055,2,0,0,0,0,0,
31056,1,0,0,0,0,0,
31056,2,0,0,0,0,0,
31057,1,0,0,0,0,0,
31057,2,0,0,0,0,0,
31058,1,0,0,0,0,0,
31058,2,0,0,0,0,0,
31059,1,0,0,0,0,0,
31059,2,0,0,0,0,0,
31060,1,0,0,0,0,0,
31060,2,0,0,0,0,0,
31061,1,0,0,0,0,0,
31061,2,0,0,0,0,0,
31062,1,0,0,0,0,0,
31062,2,0,0,0,0,0,
31063,1,0,0,0,0,0,
31063,2,0,0,0,0,0,
31064,1,0,0,0,0,0,
31064,2,0,0,0,0,0,
31065,1,0,0,0,0,0,
31065,2,0,0,0,0,0,
31066,1,0,0,0,0,0,
31066,2,0,0,0,0,0,
31067,1,0,0,0,0,0,
31067,2,0,0,0,0,0,
31068,1,0,0,0,0,0,
31068,2,0,0,0,0,0,
