ubicageo_f,capobg1,capobg2,capobg3,capobg4,capobg5,capobg6,capobg7,capobg8,capobg9,capobgne
11023,18739467.73,10057205.36,5009257.56,0,251787.89,0,0,0,0,
11024,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
11025,28502162.94,5255064.06,700193.66,0,52578,0,0,0,0,
11026,500000,300000,500000,0,0,0,0,0,0,
11027,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
11028,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,54926960
11029,12783409.54,1920006,699006,0,860014.53,0,0,0,0,
11030,0,8118910.25,1143380,0,4648320,1052514,0,0,0,
11031,73580966.9,16397330.7,9085030.2,0,6145270.9,0,0,0,0,
11032,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
11033,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,43845378
11034,344012,273419,209479,0,99966,0,0,0,0,3588710
11035,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
11036,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
11037,18904698.8,6263596.76,3170906.24,NSS,5000000,NSS,NSS,NSS,NSS,20694387.51
11038,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
11039,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
11040,6366249.74,2242572.37,867087.16,0,0,0,0,0,0,
11041,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
11042,57386313.3,4867341.25,3765629.1,35000,1856116.27,0,0,0,0,
11043,4039963.43,2468321.74,642864.3,0,0,0,0,0,0,
11044,25245841.67,3361296.96,1824105.89,0,80354.18,0,0,0,0,
11045,1465947.58,1137523.56,113509.37,0,0,0,0,0,0,
11046,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,3697773.37
12001,514757602.92,39962139.82,4824631.04,0,14891942.21,4225885.61,0,450317137.53,580414.27,
12002,6987569.42,6205210.71,5567879.24,0,37000,0,0,0,0,
12003,700766.51,700766.51,700766.51,0,0,0,0,0,0,
12004,6688209.44,943830.86,4408377.78,0,1000900,0,0,0,0,
12005,2995276.64,1011890.34,1471433.52,264835.01,83428.25,0,0,0,0,
12006,0,0,4679117.62,0,0,0,0,0,0,
12007,4125489,3000300,2456357.81,1763149,2852297,53795,0,0,0,
12008,NSS,NSS,NSS,NSS,NSS,0,0,0,0,1245418.8
12009,1653015.73,1265415.09,800798.7,216000,469400,0,0,0,0,
12010,2950346.29,13870527.26,3018570.28,1302000,0,0,0,0,0,
12011,25554735.94,3540361.7,1122294.3,0,24820.01,15012380.07,0,0,0,
12012,14631297.74,8791642.19,1234218.23,1978,193975,0,0,0,0,
12013,17499423.92,4460160.16,3460132.55,2539516.16,172695.19,40803933.69,0,0,0,
12014,6593045.6,2512739.7,902923.98,9900,774951.79,611719.93,0,0,0,
12015,5276024,1698737,2488935,16700,56460,NSS,NSS,NSS,NSS,145000
12016,131780.5,2187564.68,211526.48,0,0,0,0,0,0,
12017,0,0,716434.8,0,0,0,0,0,0,
12018,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,7533472.56
12019,3295099.7,1907436.59,1545497.71,0,891030,0,0,0,0,
12020,6044651.24,3187666.77,5511321.99,0,575900,250000,0,0,0,
12021,39073558.4,6185797.05,2118749.3,0,3830945.05,1079166.2,0,1670094,0,
12022,2999876,1649222,763952,0,321911.71,0,0,0,0,
12023,9235789.35,1548697.19,256791.45,40977.2,874258.87,8901659.46,0,0,0,
12024,4171762.81,727802.95,1067123.24,0,55641.34,0,0,0,0,
12025,12696343.68,0,0,0,0,0,0,0,0,
12026,0,0,0,0,0,0,0,0,0,
12027,825241,200000,250000,0,0,0,0,0,0,
12028,54272915.34,16256088.6,10449724.84,7099659.36,3301236.86,0,0,0,0,
12029,149526362.1,10293650.01,8666139.64,20063050,73130,0,0,0,22700000,
12030,8823859.74,5614427.26,712056.28,50711.72,0,0,0,0,0,
12031,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
12032,NSS,NSS,NSS,NSS,NSS,0,0,0,0,18234531.82
