ubicageo_f,capobg1,capobg2,capobg3,capobg4,capobg5,capobg6,capobg7,capobg8,capobg9,capobgne
20103,1520000,1850000,300000,0,195000,371122,0,0,0,
20104,200342.72,1024214.02,260943.89,0,0,0,0,0,0,
20105,0,0,0,0,0,0,0,0,0,
20106,0,0,0,0,0,0,0,0,0,
20107,4500000,3000000,4000000,2000000,3000000,946937,0,0,0,
20108,0,0,0,0,0,0,0,0,0,
20109,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
20110,82800,0,0,0,0,0,0,0,0,
20111,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
20112,1200000,230426,140000,65000,75000,0,0,0,0,
20113,0,0,120000,0,0,0,0,0,0,
20114,0,0,0,0,0,2526259.5,0,0,0,
20115,1989229.32,1072423.59,1600761.57,0,357697,1877169.72,0,0,0,
20116,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
20117,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
20118,1619625,0,0,0,0,0,0,0,0,
20119,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
20120,0,126606.42,137803.45,48.55,33569.99,0,0,0,0,
20121,300000,100000,60000,5000,0,0,0,0,0,
20122,0,3000,4000,0,0,0,0,0,0,
20123,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
20124,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
20125,0,3000,4000,0,0,0,0,0,0,
20126,345350,1020688,1020686,0,0,1195576,0,0,0,
20127,240000,0,0,0,0,0,0,0,0,
20128,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,1200000
20129,360000,40000,0,0,0,0,0,0,0,
20130,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,5484944
20131,631180.81,0,0,0,0,0,0,0,0,
20132,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
20133,0,2957926,0,0,0,0,0,0,0,
20134,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
20135,2026047.74,0,0,0,0,0,0,0,0,
20136,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
20137,707654.83,467141,212199.49,0,0,0,0,0,0,
20138,0,0,0,0,0,299355.93,0,0,0,
20139,500000,516000,0,0,500000,0,0,0,0,
20140,0,118441.05,370420.35,0,50112,0,0,0,0,
20141,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
20142,0,0,550000,0,0,0,0,0,0,
20143,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,
