ubicageo_f,tipatrul_c,rnsnni1,totalca1,totalca2
5036,3,1,13140,170820
5036,4,2,NA,NA
5036,5,2,NA,NA
5036,6,2,NA,NA
5036,7,2,NA,NA
5036,8,2,NA,NA
5036,9,2,NA,NA
5037,1,2,NA,NA
5037,2,2,NA,NA
5037,3,1,365,NSS
5037,4,2,NA,NA
5037,5,2,NA,NA
5037,6,2,NA,NA
5037,7,2,NA,NA
5037,8,2,NA,NA
5037,9,2,NA,NA
5038,1,2,NA,NA
5038,2,2,NA,NA
5038,3,2,NA,NA
5038,4,1,365,1825
5038,5,2,NA,NA
5038,6,1,30,60
5038,7,2,NA,NA
5038,8,2,NA,NA
5038,9,2,NA,NA
6001,1,2,NA,NA
6001,2,2,NA,NA
6001,3,2,NA,NA
6001,4,1,2190,328500
6001,5,2,NA,NA
6001,6,2,NA,NA
6001,7,2,NA,NA
6001,8,2,NA,NA
6001,9,2,NA,NA
6002,1,1,730,950
6002,2,2,NA,NA
6002,3,1,1460,407680
6002,4,1,4745,1892800
6002,5,1,1825,582400
6002,6,1,1825,18200
6002,7,2,NA,NA
6002,8,2,NA,NA
6002,9,2,NA,NA
6003,1,2,NA,NA
6003,2,2,NA,NA
6003,3,1,365,36500
6003,4,1,365,36500
6003,5,1,365,18250
6003,6,2,NA,NA
6003,7,2,NA,NA
6003,8,2,NA,NA
6003,9,2,NA,NA
6004,1,2,NA,NA
6004,2,2,NA,NA
6004,3,2,NA,NA
6004,4,1,365,54750
6004,5,2,NA,NA
6004,6,2,NA,NA
6004,7,2,NA,NA
6004,8,2,NA,NA
6004,9,2,NA,NA
6005,1,2,NA,NA
6005,2,2,NA,NA
6005,3,2,NA,NA
6005,4,1,29200,29200000
6005,5,2,NA,NA
6005,6,2,NA,NA
6005,7,2,NA,NA
6005,8,2,NA,NA
6005,9,2,NA,NA
6006,1,2,NA,NA
6006,2,2,NA,NA
6006,3,2,NA,NA
6006,4,1,730,20550
6006,5,2,NA,NA
6006,6,2,NA,NA
6006,7,2,NA,NA
6006,8,2,NA,NA
6006,9,2,NA,NA
6007,1,1,20,82
6007,2,2,NA,NA
6007,3,2,NA,NA
6007,4,1,365,5279580418
6007,5,1,365,59886
6007,6,1,365,52357
6007,7,2,NA,NA
6007,8,2,NA,NA
6007,9,2,NA,NA
6008,1,2,NA,NA
6008,2,2,NA,NA
6008,3,1,60,45260
6008,4,1,2000,112285
6008,5,1,300,66795
6008,6,2,NA,NA
6008,7,2,NA,NA
6008,8,2,NA,NA
6008,9,2,NA,NA
6009,1,2,NA,NA
6009,2,2,NA,NA
6009,3,2,NA,NA
6009,4,1,3240,492750
6009,5,1,2555,178850
6009,6,2,NA,NA
6009,7,2,NA,NA
6009,8,2,NA,NA
6009,9,2,NA,NA
6010,1,2,NA,NA
6010,2,2,NA,NA
6010,3,2,NA,NA
6010,4,1,7300,1168000
6010,5,2,NA,NA
6010,6,2,NA,NA
6010,7,2,NA,NA
6010,8,2,NA,NA
6010,9,2,NA,NA
7001,1,1,40,150
7001,2,2,NA,NA
7001,3,1,120,1200
7001,4,2,NA,NA
7001,5,1,150,1500
7001,6,2,NA,NA
7001,7,2,NA,NA
7001,8,2,NA,NA
7001,9,2,NA,NA
7002,1,2,NA,NA
7002,2,2,NA,NA
7002,3,2,NA,NA
7002,4,1,1825,180000
7002,5,2,NA,NA
7002,6,2,NA,NA
7002,7,2,NA,NA
7002,8,2,NA,NA
7002,9,2,NA,NA
7003,1,1,1625,975
7003,2,2,NA,NA
7003,3,2,NA,NA
7003,4,1,365,100000
7003,5,2,NA,NA
7003,6,2,NA,NA
7003,7,2,NA,NA
7003,8,2,NA,NA
7003,9,2,NA,NA
7004,1,2,NA,NA
7004,2,2,NA,NA
7004,3,1,180,600
7004,4,2,NA,NA
7004,5,2,NA,NA
7004,6,2,NA,NA
7004,7,2,NA,NA
7004,8,2,NA,NA
7004,9,2,NA,NA
7005,1,1,730,2190
7005,2,2,NA,NA
7005,3,2,NA,NA
7005,4,1,1095,3285
7005,5,2,NA,NA
7005,6,2,NA,NA
7005,7,2,NA,NA
7005,8,2,NA,NA
7005,9,2,NA,NA
7006,1,2,NA,NA
7006,2,2,NA,NA
7006,3,2,NA,NA
7006,4,1,3714,93751
7006,5,2,NA,NA
7006,6,2,NA,NA
7006,7,2,NA,NA
7006,8,2,NA,NA
7006,9,2,NA,NA
7007,1,2,NA,NA
7007,2,2,NA,NA
7007,3,1,50,100
7007,4,2,NA,NA
7007,5,1,120,500
7007,6,2,NA,NA
7007,7,2,NA,NA
7007,8,2,NA,NA
7007,9,2,NA,NA
7008,1,2,NA,NA
7008,2,2,NA,NA
7008,3,2,NA,NA
7008,4,1,1460,8760
7008,5,2,NA,NA
7008,6,2,NA,NA
7008,7,2,NA,NA
7008,8,2,NA,NA
7008,9,2,NA,NA
7009,1,2,NA,NA
7009,2,2,NA,NA
7009,3,2,NA,NA
7009,4,1,7300,36500
7009,5,2,NA,NA
7009,6,2,NA,NA
7009,7,2,NA,NA
7009,8,2,NA,NA
7009,9,2,NA,NA
7010,1,2,NA,NA
7010,2,2,NA,NA
7010,3,1,365,1095
7010,4,2,NA,NA
7010,5,2,NA,NA
7010,6,2,NA,NA
7010,7,2,NA,NA
7010,8,2,NA,NA
7010,9,2,NA,NA
7011,1,1,12,48
7011,2,2,NA,NA
7011,3,2,NA,NA
7011,4,1,90,810
7011,5,1,15,135
7011,6,2,NA,NA
7011,7,2,NA,NA
7011,8,2,NA,NA
7011,9,2,NA,NA
7012,1,1,80,400
7012,2,2,NA,NA
7012,3,1,365,73000
7012,4,1,365,73000
7012,5,2,NA,NA
7012,6,2,NA,NA
7012,7,2,NA,NA
7012,8,2,NA,NA
7012,9,2,NA,NA
7013,1,1,70,NSS
7013,2,2,NA,NA
7013,3,2,NA,NA
7013,4,1,400,NSS
7013,5,1,200,NSS
7013,6,2,NA,NA
7013,7,2,NA,NA
7013,8,2,NA,NA
7013,9,2,NA,NA
7014,1,1,150,NSS
7014,2,2,NA,NA
7014,3,2,NA,NA
7014,4,1,1380,NSS
7014,5,1,360,NSS
7014,6,2,NA,NA
7014,7,2,NA,NA
7014,8,2,NA,NA
7014,9,2,NA,NA
7015,1,1,50,250
7015,2,2,NA,NA
7015,3,1,365,36500
7015,4,1,365,131400
7015,5,1,150,9000
7015,6,2,NA,NA
7015,7,2,NA,NA
7015,8,2,NA,NA
7015,9,2,NA,NA
7016,1,1,30,10
7016,2,2,NA,NA
7016,3,2,NA,NA
7016,4,1,15,25
7016,5,2,NA,NA
7016,6,2,NA,NA
7016,7,2,NA,NA
7016,8,2,NA,NA
7016,9,2,NA,NA
7017,1,1,1460,7300
7017,2,2,NA,NA
7017,3,2,NA,NA
7017,4,1,3285,1198416
7017,5,9,NSS,NSS
