ubicageo_f,regiadmi_g,rnspni1,anios_a,periactu_b,siregadm_b,tipers1,tipers2,tipers3,tipers4,tipers5,tipers6,tipers7,tipers8,raauto1,raauto2,raauto3,raauto4,raauto5,raauto6,raauto7,raauto8,raauto9,raauto10,raauto11,raauto12,raauto13
7054,1,1,2021,5,5,1,1,1,,,1,,,1,,,,,,,1,,,,,
7055,1,1,2021,5,1,1,1,1,1,1,1,,,,,,,,,,,,,,1,
7056,1,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7057,1,1,2016,9,1,1,1,1,1,,,1,,,,,,,,,,,,,1,
7058,1,1,2021,9,3,1,1,1,,,,,,,,1,,,,,,,,,,
7059,1,1,2011,5,5,1,1,1,1,1,1,1,,,,,,1,,1,,,,,,
7060,1,1,2021,2,1,1,1,1,1,,1,,,1,1,,,,,,,1,,,,
7061,1,1,2022,5,3,,,,,,,1,,,,,,,,,,,,,1,
7062,1,1,2022,6,3,1,,,,,,,,,,,,,,,,,,,1,
7063,1,1,2021,5,4,1,1,,,,1,,,,,,,,,,,,,1,,
7064,1,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7065,1,1,2022,4,4,,,,,,1,,,,,,,,,,,,,,1,
7066,1,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7067,1,1,2021,2,1,1,1,1,,,,,,1,,,,,,,,,,,,
7068,1,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7069,1,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7070,1,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7071,1,1,2021,5,1,1,1,1,1,1,1,,,,,,,,,,,,,,1,
7072,1,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7073,1,1,2021,1,1,1,1,1,1,1,1,,,,,,,1,,,,,,,,
7074,1,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
