ubicageo_f,regiadmi_g,rnspni1,anios_a,periactu_b,siregadm_b,tipers1,tipers2,tipers3,tipers4,tipers5,tipers6,tipers7,tipers8,raauto1,raauto2,raauto3,raauto4,raauto5,raauto6,raauto7,raauto8,raauto9,raauto10,raauto11,raauto12,raauto13
8026,2,1,2018,1,3,1,1,1,1,1,1,,,,,,,1,,,,,,,,
8027,2,1,NSS,10,1,,,,,,,,1,,,,,,,,,,,,,1
8028,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8029,2,1,2014,5,3,1,1,1,1,1,1,1,,,,,,1,,,,,,,,
8030,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8031,2,1,2019,5,1,,,,,1,,,,,,,,,,,1,,,,,
8032,2,1,2009,5,3,1,1,,,,,1,,1,,,,1,,,,,,,,
8033,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8034,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8035,2,1,NSS,5,1,1,1,1,1,1,1,1,,,,,,1,1,,,,,,,
8036,2,1,2014,5,3,1,1,1,1,1,1,,,,,,,1,,,,,,,,
8037,2,1,NSS,2,5,1,1,1,1,1,1,1,,,,,,,,1,1,1,,,,
8038,2,1,NSS,12,1,1,1,1,,,1,,,,,1,,,,,,,,,,
8039,2,1,NSS,11,4,,1,1,1,,,1,,,,,,1,,,,,,,,
8040,2,1,NSS,1,3,1,1,,1,1,1,,,,,,,,,,,,,1,,
8041,2,1,2003,1,9,,,1,,,,,,,,,,,,,,,,1,,
8042,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8043,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8044,2,1,2021,1,3,1,1,1,,,1,,,,,,,1,,,,,,,,
8045,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8046,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8047,2,1,2011,1,4,,,,,,,1,,,,,,,,,,,,1,,
8048,2,1,2012,5,9,1,1,1,1,,1,,,,,1,,,,,,,,,,
8049,2,1,2022,1,3,1,1,1,1,1,1,1,,,,,,,,,1,,,,,
8050,2,1,NSS,99,1,1,1,1,,,1,,,,,,,,,,,,,,,1
8051,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8052,2,1,2006,1,2,1,1,1,1,1,1,,,1,,,,,,1,1,1,1,,,
8053,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8054,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8055,2,1,2022,9,1,1,1,1,,,,,,,,,,,,,,,,,1,
8056,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8057,2,1,2009,1,1,1,1,1,1,1,1,,,,,,,,,,1,,,1,,
8058,2,1,NSS,11,1,1,1,1,1,1,1,,,,,,,1,,,,,,,,
8059,2,1,2022,1,3,1,1,1,1,1,1,,,,,,,1,,,,,,,,
8060,2,1,2022,10,3,1,1,1,,,,,,,,,,,,,,,,,1,
8061,2,1,NSS,1,3,1,1,1,1,1,1,,,,,,,,,,1,,,1,,
8062,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8063,2,1,2019,5,1,1,,,,,,,,,,,,,1,,,1,,,,
8064,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8065,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8066,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8067,2,1,2021,1,3,1,1,1,,,1,,,,,,,,,1,1,,,,,
9002,2,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9003,2,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9004,2,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9005,2,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9006,2,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9007,2,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9008,2,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9009,2,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9010,2,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9011,2,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9012,2,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9013,2,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9014,2,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9015,2,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9016,2,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9017,2,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10001,2,1,NSS,7,2,,,,,,1,,,,,,,1,,,,,,,,
10002,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10003,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10004,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10005,2,1,2019,2,3,1,1,1,1,1,1,1,,,,,,,,,,,,,1,
10006,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10007,2,1,2002,2,4,1,1,1,1,,,,,,,,,,,,,,,,,1
10008,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10009,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10010,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10011,2,1,2022,5,1,1,1,1,,,,,,,,,,,,,,,,,1,
10012,2,1,2020,10,3,1,1,1,,,1,,,,,,,,,,,,,,1,
10013,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10014,2,1,2016,1,1,1,1,1,,,,,,,,,,1,,,,,,,,
10015,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10016,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10017,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10018,2,1,2019,5,1,,1,,,,,,,,,,,,,1,,,,,,
10019,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10020,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10021,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10022,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10023,2,9,NSS,997,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
10024,2,1,2021,2,4,1,1,1,1,1,,,,,,,,1,,,,,,,,
10025,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10026,2,1,2019,5,3,1,1,1,1,1,1,1,,1,1,1,,,,,,,,,,
10027,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10028,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10029,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10030,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10031,2,1,2022,5,4,1,1,,,,,,,1,,,,,,,,,,,,
10032,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10033,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10034,2,1,2000,5,3,1,1,1,1,1,1,1,,,,,,1,,,,,,,,
10035,2,1,2022,5,1,1,1,1,1,1,1,1,,,,,,1,,,,,,,,
10036,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10037,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10038,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10039,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11001,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11002,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11003,2,1,2013,9,4,1,1,1,1,1,1,,,1,,,,1,,1,,,,,,
11004,2,1,2015,1,2,1,1,1,,,,,,,,,,,,,,,,,1,
11005,2,1,2007,5,3,1,1,1,1,1,1,1,,,,,,,,,,,,1,,
11006,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11007,2,1,2018,2,3,1,1,1,1,1,1,,,,,,,,,,,,,1,,
11008,2,9,NSS,997,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
11009,2,1,2012,9,3,1,1,1,1,1,1,,,1,,1,,,,,,,,,,
11010,2,9,NSS,997,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
11011,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11012,2,1,2019,4,3,,,,,,,1,,,,,,,,,,,,1,,
11013,2,1,2016,10,1,1,1,1,1,,,,,,,,1,,,,,,,,,
11014,2,1,2018,1,3,1,1,1,1,1,1,,,,,,,,,,,,,,1,
11015,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11016,2,1,2022,1,9,1,1,1,1,1,1,,,,,1,1,1,,,,,,,,
11017,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11018,2,1,2000,5,4,1,1,1,1,1,1,1,,,,1,,,,,,,,,,
11019,2,1,2006,5,3,1,1,1,1,1,,,,,,,,,,,,,,1,,
11020,2,1,2015,5,3,1,1,1,1,1,1,,,,,,,,,,,,,,1,
11021,2,1,2010,5,4,1,1,1,1,1,,,,,,,,1,,,,,,,,
11022,2,1,2021,5,5,1,1,1,1,1,1,,,,,,,1,,,,,,,,
11023,2,1,2015,2,2,1,1,1,1,1,1,,,,,,,1,,1,,,,,,
11024,2,9,NSS,997,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
11025,2,1,2013,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,1,
11026,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11027,2,9,NSS,997,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
11028,2,1,2011,5,5,,,,,1,,,,,,,,,,,,,,1,,
11029,2,1,2022,5,2,1,1,1,1,1,1,1,,,,1,,,,,,,,1,,
11030,2,9,NSS,997,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
11031,2,1,2015,4,3,1,1,1,1,1,1,,,,,,,1,,,,,,,,
11032,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11033,2,1,2011,1,2,1,1,1,1,1,1,1,,,,,,,,,,,,,1,
11034,2,1,2021,10,3,,,,,1,,,,,,,,,,,,,,1,,
11035,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11036,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11037,2,1,2017,5,1,,,,,,,,1,,,,,,,,,1,,,,
11038,2,9,NSS,997,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
11039,2,9,NSS,997,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
11040,2,1,2018,1,1,1,1,1,1,1,1,,,,,1,,,,,,,,,,
11041,2,1,2013,5,3,1,1,1,1,1,1,,,1,1,,,1,,,,,,,,
11042,2,1,2018,5,4,,,,,,,,1,,,,,,,,,,,,,1
11043,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11044,2,1,2019,2,5,1,1,1,1,1,1,,,,,,,1,,,,,,,,
11045,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11046,2,1,2021,5,3,,,,,,,,1,,,1,1,1,1,1,,,,,,
12001,2,1,2015,2,2,,,,,1,,,,1,,,1,,,,1,,,,,
12002,2,1,2012,10,1,1,1,,,,1,,,,,,,1,,,,,,1,,
12003,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12004,2,1,2021,9,4,1,1,1,1,1,1,,,,,,,1,,,,,,,,
12005,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12006,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12007,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12008,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12009,2,1,2022,1,1,1,1,1,,,1,,,,,,,,,,,,,,1,
12010,2,1,2021,10,4,1,1,1,,,1,,,,,,,1,,,,,,,,
12011,2,1,2021,10,3,1,1,1,1,1,1,,,,,,,,,,,,,,1,
12012,2,1,2021,10,1,1,1,1,1,,,,,1,,,,,,,,,,,,
12013,2,1,2021,10,3,1,1,1,,1,,,,,,,,,,,,,,,1,
12014,2,1,2022,10,1,1,1,1,1,1,,,,,,,,,,,,,,,1,
12015,2,1,2022,5,1,1,1,1,1,1,1,,,,,,,,,,,,,,1,
12016,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12017,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12018,2,1,2020,11,1,1,1,1,1,,1,,,,,,,1,,,,,,,,
12019,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12020,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12021,2,9,NSS,997,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
12022,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12023,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12024,2,1,2021,1,4,1,1,1,,,,,,,,,,,,,,,,,1,
12025,2,1,2022,12,1,1,1,1,1,1,1,,,,,,,1,,,,,,,,
12026,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12027,2,1,2021,5,1,1,1,1,,,,,,1,,,,,,,,,,,,
12028,2,1,2020,10,3,1,1,1,1,,1,,,1,,,,1,,1,,,,,,
12029,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12030,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12031,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12032,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12033,2,1,2021,6,1,1,,,,,,,,,,1,,,,,,,,,,
12034,2,1,2022,5,4,1,1,1,1,,,,,,,,,1,,,,,,,,
12035,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12036,2,1,2021,2,5,,1,1,,,,,,1,,,,,,,,,,,,
12037,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12038,2,1,2018,1,3,1,1,1,1,1,1,,,,,,,1,,,,,,,,
12039,2,1,2022,5,9,1,1,1,1,1,1,,,,,,,1,,,,,,,,
12040,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12041,2,1,2022,1,1,,,,,,,1,,,,,,,,1,,,,,,
12042,2,1,2021,5,2,1,1,1,1,1,1,,,1,,,,1,,,,,,,,
12043,2,1,2022,10,1,1,1,1,1,1,1,,,,,,,,,1,,,,,,
12044,2,1,2022,10,1,,,,1,,,,,,,,,1,,,,,,,,
12045,2,1,2021,5,4,1,1,1,,,,,,,,1,,,,,,,,,,
12046,2,1,2021,5,3,1,1,,1,,1,,,1,,,,1,,,,,,,,
12047,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12048,2,1,2021,10,3,1,1,1,1,1,,,,,,,,1,,,,,,,,
12049,2,1,2022,5,1,1,1,1,1,1,1,,,,,,,,,,,,,,,1
12050,2,1,2022,2,9,1,1,1,1,1,1,1,,,,,,,,,,,,1,,
12051,2,1,2018,11,1,1,,,,,,,,1,,,,,,,,,,,,
12052,2,1,2021,2,1,1,1,1,1,1,1,1,,,,1,1,1,1,1,,,,,,
12053,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12054,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12055,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12056,2,1,2009,2,3,1,1,1,1,1,1,,,,,,,,,,,,,1,,
12057,2,1,2018,1,4,1,1,1,1,1,1,1,,,,,,,,,,,,,1,
12058,2,9,NSS,997,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
12059,2,1,2021,7,3,1,1,1,1,1,1,1,,,,1,,,,,,,,,,
12060,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12061,2,1,2010,4,4,1,1,1,1,1,1,,,,,,,,,,,,,1,,
12062,2,1,2021,11,4,1,1,1,,,1,,,,,,,1,,,,,,,,
12063,2,1,2021,1,1,,,,,,,1,,,,,,1,,,,,,,,
12064,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12065,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12066,2,1,2002,11,1,,,,,,,1,,,,1,,,,,,,,,,
12067,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12068,2,1,NSS,5,4,1,1,,,,1,,,,,,,,,,,,,,1,
12069,2,1,2021,10,1,1,1,,,,,,,,,,,1,,,,,,,,
12070,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12071,2,1,2022,10,4,1,1,1,1,1,1,,,,,,,1,,,,,,,,
12072,2,1,2021,1,1,1,1,,,,,1,,,,,,,,,,,,,1,
12073,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12074,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12075,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12076,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12077,2,1,2021,5,3,1,1,1,1,1,1,,,,,,,1,,,,,,,,
12078,2,1,2021,9,1,1,1,1,1,,,,,,,,,,,1,,,,1,,
12079,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12080,2,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12081,2,1,2018,1,1,1,1,1,1,1,1,,,,,,1,,,,,,,,,
12082,2,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12083,2,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12084,2,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12085,2,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13001,2,1,2022,5,4,1,1,1,1,1,1,1,,,,,,1,,,,,,,,
