ubicageo_f,regiadmi_g,rnspni1,anios_a,periactu_b,siregadm_b,tipres1,tipres2,tipres3,tipres4,tipres5,tipres6,raauto1,raauto2,raauto3,raauto4,raauto5,raauto6,raauto7,raauto8,raauto9,raauto10,raauto11,raauto12,raauto13
11035,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11036,5,1,2022,5,3,1,1,1,1,,,,,,,1,,,,,,,,
11037,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11038,5,9,NSS,997,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
11039,5,9,NSS,997,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
11040,5,1,2018,1,3,1,1,1,1,,,,,1,,,,,,,,,,
11041,5,1,2018,5,4,1,1,1,1,1,,,,,,1,,1,1,1,1,,,
11042,5,1,2018,5,4,,,,,1,,,,,,,,,,,,,,1
11043,5,1,2022,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,,
11044,5,1,2016,1,5,1,1,1,1,,,1,,,,,,,1,,,,,
11045,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11046,5,1,2021,5,4,1,1,1,1,1,,1,,,1,1,,,1,,1,,,
12001,5,1,2005,2,5,1,1,1,1,,,,,,,,,,,,1,1,,
12002,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12003,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12004,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12005,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12006,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12007,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12008,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12009,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12010,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12011,5,1,2021,5,3,1,1,1,1,,,,,,,,,,,1,,,,
12012,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12013,5,1,2021,10,3,1,1,1,1,1,,,,,,,,,,,,,1,
12014,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12015,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12016,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12017,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12018,5,1,2016,5,1,1,1,1,,,,1,,,,,,,,,,,,
12019,5,1,2020,1,1,,1,1,1,,,,1,,,,,,,1,,,,
12020,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12021,5,9,NSS,997,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
12022,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12023,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12024,5,1,2021,1,4,,1,,,,,,,,,,,,,,,,1,
12025,5,1,2021,5,1,1,1,1,1,,,,,,,,,,,,,,1,
12026,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12027,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12028,5,1,2019,2,3,1,1,1,1,,,1,,,,,,1,,,,,,
12029,5,1,2021,2,3,,,,,,1,,,,,,,,,,,,1,
12030,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12031,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12032,5,1,2022,1,1,,1,1,,,,,,,,,,1,,,,,,
12033,5,1,2021,6,1,1,1,1,1,1,,,,1,,,,,,,,,,
12034,5,1,2022,2,4,1,1,1,,,,1,,,,,,,,,,,,
12035,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12036,5,1,2021,2,5,,1,1,,,,1,,,,,,,,,,,,
12037,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12038,5,1,2018,1,3,1,1,1,1,,,,,,,1,,,,,,,,
12039,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12040,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12041,5,1,2022,1,2,,1,1,,1,,,,,,,,,,,,,1,
12042,5,1,2021,5,1,,,1,,,,1,,,,1,,,1,,1,,,
12043,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12044,5,1,2020,10,1,,,1,,,,,,,,,,,1,,,,,
12045,5,1,2021,5,4,1,1,1,,,,,,1,,,,,,,,,,
12046,5,1,2021,2,3,1,1,1,1,,,1,,,,1,,,,,,,,
12047,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12048,5,1,2021,10,3,1,1,1,1,,,,,,,,,,,,,,1,
12049,5,1,2022,5,1,1,,,,,,,,,,,,,,,,,,1
12050,5,1,2022,5,3,1,1,1,1,,,1,,,,,,,,,,,,
12051,5,1,2021,10,1,,1,,,,,,,,,,,,1,,,,,
12052,5,1,2021,2,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,1,,,
12053,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12054,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12055,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12056,5,1,2009,2,3,,1,,,,,,,,,,,,,,,1,,
12057,5,9,NSS,997,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
12058,5,9,NSS,997,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
12059,5,1,2021,2,9,1,1,1,1,,,,,1,,,,,,,,,,
12060,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12061,5,1,2010,1,4,1,1,1,1,,,1,,,,,,,,,,,,
12062,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12063,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12064,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12065,5,1,2021,1,4,1,1,1,1,,,,,,,,,,,,,,1,
12066,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12067,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12068,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12069,5,1,2021,10,1,1,1,,,,,,,,,,,,,,,1,,
12070,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12071,5,1,2022,10,4,1,1,1,1,,,,,,,1,,,,,,,,
12072,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12073,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12074,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12075,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12076,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12077,5,1,2021,5,3,1,1,1,1,,,,,,,,,,,,,1,,
12078,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12079,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12080,5,1,2018,1,1,1,1,1,1,,,1,,,,,,,,,,,,
12081,5,1,2018,1,1,1,1,1,1,,,1,,,,,,,,,,,,
12082,5,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12083,5,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12084,5,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12085,5,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13001,5,1,2022,5,4,,,1,1,,,,,,,1,,,,,,,,
13002,5,1,2020,2,2,1,1,1,1,1,,,,,,,,,,1,,,,
13003,5,1,2021,1,5,,,,1,,,,,,,,,,,1,,,,
13004,5,1,2006,5,3,1,1,1,1,,,,,,,1,,,,,,,,
13005,5,1,2020,1,5,1,,,,,,,,,,,,,1,,,,,
13006,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13007,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13008,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13009,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13010,5,1,2017,5,1,,,,,1,,,,1,,,,,,,,,,
13011,5,1,2020,5,4,,1,,,,,,,,,,,,,,,1,,
13012,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13013,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13014,5,1,2021,5,1,1,1,,1,,,1,,,,,,,,,,,,
13015,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13016,5,1,2021,1,1,1,1,1,1,,,,,,,1,,,,,,,,
13017,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13018,5,1,2020,5,4,1,1,1,,,,1,,1,,,,,,,,,,
13019,5,1,2020,1,9,1,1,1,1,1,,,,,,1,,,1,,1,,,
13020,5,1,2021,5,3,1,1,1,,,,1,,,,1,,,,,,,,
13021,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13022,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13023,5,1,2020,2,3,1,1,1,1,,,,,,,,,,1,,,,,
13024,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13025,5,1,2018,3,4,1,1,1,,,,1,,,,1,,,,,,,,
13026,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13027,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13028,5,1,2012,1,4,1,,,,,,,,,,,,,1,,,,,
13029,5,9,NSS,997,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
13030,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13031,5,1,2021,5,3,1,1,1,1,1,,1,,,,1,,,1,,,,,
13032,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13033,5,1,2020,5,1,,,1,,,,,,,,,,,1,,,,,
13034,5,1,2022,1,2,1,1,1,,,,1,,,,1,,,,,,,,
13035,5,1,2018,5,3,1,1,,1,1,,,,,,,,,1,,,,,
13036,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13037,5,1,2020,5,5,1,,1,1,1,,,,,,,,,,,,1,,
13038,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13039,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13040,5,1,2021,3,2,1,1,1,,,,1,,1,,,,,,,,,,
13041,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13042,5,1,2012,8,1,1,1,1,1,,,,,,,,,,,1,,,,
13043,5,9,NSS,997,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
13044,5,9,NSS,997,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
13045,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13046,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13047,5,1,2022,4,2,1,1,1,1,,,1,,,,1,,,,,,,,
13048,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13049,5,1,2022,2,2,,1,1,,,,1,,,,1,,,,,,,,
13050,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13051,5,1,2021,2,4,1,1,1,1,1,,,,,1,,,,1,,,,,
13052,5,1,2020,99,1,1,1,1,1,1,,,,,,,,,,,1,,,
13053,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13054,5,1,2020,2,1,1,1,1,1,,,,,,,1,,,,,,,,
13055,5,1,2020,5,4,,1,1,1,,,1,,,,,,,,,,,,
13056,5,1,2018,5,3,1,1,1,1,,,,,1,,,,,,,,,,
13057,5,1,2017,5,1,1,1,1,1,1,,,,1,1,,,,,,,,,
13058,5,1,NSS,5,2,,,1,,,,,,,,1,,,,,,,,
13059,5,1,2012,5,4,1,1,1,1,,,,,,,,,,1,,1,,,
13060,5,1,2021,5,5,1,1,1,1,,,,,,,1,,,,,,,,
13061,5,1,2016,2,1,1,1,1,1,,,1,,,,1,,,,,,,,
13062,5,1,2022,1,3,1,1,1,1,,,,,,,1,,,1,,1,,,
13063,5,1,2016,2,3,1,1,1,1,,,,,1,,,1,1,1,,1,,,
13064,5,1,NSS,1,1,1,1,1,1,,,,,,,,,,,,,,1,
13065,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13066,5,9,NSS,997,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
13067,5,1,2021,5,5,1,1,1,1,1,,,,,,,,1,,,,,,
13068,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13069,5,1,2022,5,5,1,1,1,1,,,1,,,,1,,,,,,,,
13070,5,1,2021,5,3,1,1,1,1,,,1,,1,,,,,1,,1,,,
13071,5,1,2021,1,1,,1,1,1,,,1,,,,1,,,1,,,,,
13072,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13073,5,1,2022,1,1,1,,,,,,1,,,,,,,1,,,,,
13074,5,1,2020,2,3,1,1,1,1,,,,,,,1,,,,,,,,
13075,5,1,2021,10,3,1,1,1,1,,,,,,,1,,,1,,1,,,
13076,5,1,2017,5,3,1,1,1,1,,,,,,,,,,,,,1,,
13077,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13078,5,1,2021,1,1,1,1,1,1,1,,,,,,1,,,1,,,,,
13079,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13080,5,1,2022,1,4,1,1,1,1,1,,,,1,,1,,,,,,,,
13081,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13082,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13083,5,1,2019,5,3,1,1,1,,,,,,,,,,,1,,,,,
13084,5,1,2021,5,3,1,1,1,,,,1,,,,1,,1,1,,,,,
14001,5,1,2021,1,2,,,,1,,,,,,,,,,,,1,,,
14002,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14003,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14004,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14005,5,1,2022,2,1,,1,1,1,,,,,,,,,,1,,,,,
14006,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14007,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14008,5,9,NSS,997,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
14009,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14010,5,1,2021,5,1,,1,1,1,,,1,,,,,,,,,,,,
14011,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14012,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14013,5,1,2019,1,2,,,,,,1,,,,,,,,,,,,1,
14014,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14015,5,1,2000,1,5,,1,1,1,,,1,,1,,,,,1,,,,,
14016,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14017,5,1,2021,1,1,1,1,1,1,,,,,,,1,,,,,,,,
14018,5,1,2018,1,2,1,1,1,1,,,,,,,,,,,,,,1,
14019,5,1,2022,3,1,,1,,1,,,,,,,,,,1,,,,,
14020,5,1,2022,2,1,1,1,1,1,,,1,,,,,,,,,1,,,
14021,5,1,2021,5,3,1,1,1,,,,1,,,,,,,1,,,,,
14022,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14023,5,1,2018,1,1,1,1,1,1,,,1,,1,,,,,,,,,,
14024,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14025,5,1,2017,10,1,1,1,1,1,,,,,1,,,,,,,,,,
14026,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14027,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14028,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14029,5,1,2021,5,1,1,1,,,,,,,,,,,,,,,,1,
14030,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14031,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14032,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14033,5,1,2010,2,1,1,1,1,1,1,,,,,,,1,,,,,,,
14034,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14035,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14036,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14037,5,1,2022,1,5,1,1,1,1,,,1,,,,,,,,,,,,
14038,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14039,5,1,2015,1,5,1,1,1,,,,,,,,,,,,,,,1,
14040,5,1,2021,5,2,1,1,,,,,,,,,,,,1,,,,,
14041,5,1,2018,99,5,1,1,1,1,1,,,,,,,,,,,,1,,
14042,5,1,2020,1,1,1,,,,,,1,,,,1,,,,,,,,
14043,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14044,5,1,2022,10,1,1,1,1,,,,,,,,,,,1,,1,,,
14045,5,1,2016,2,4,,1,1,1,,,,,,,,,,1,,,,,
14046,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14047,5,1,2016,1,2,,1,,1,,,1,,,,,,,,,,,,
14048,5,1,2019,5,1,1,,,,,,1,,,,,,,,,,,,
14049,5,1,2022,1,1,1,1,1,1,1,,,,,,,,,1,,,,,
14050,5,9,NSS,997,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
14051,5,1,2021,2,1,,1,,,,,1,,,,,,,,,,,,
14052,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14053,5,1,2021,5,3,,1,1,1,,,,,,,,,,,,,,1,
14054,5,1,2001,1,1,1,1,1,1,,,1,,,,,,,1,,,,,
14055,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14056,5,1,2018,1,2,,1,1,1,,,,,,,1,,,1,,,,,
14057,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14058,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14059,5,1,2021,12,5,1,1,,,,,,,,,,,,,,,1,,
14060,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14061,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14062,5,1,2021,1,9,1,1,1,1,,,,,,,,,,1,,,,,
14063,5,1,2010,3,2,,1,1,1,1,,,,,,,,,1,,,,,
14064,5,1,2018,4,1,,,1,1,1,,,,,,,,,1,,,1,,
14065,5,2,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14066,5,1,2021,2,5,1,1,,,,,,,,,1,,,,,,,,
14067,5,9,NSS,997,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
14068,5,1,2020,5,4,1,1,1,1,,,1,,,,,,,,,,,,
