ubicageo_f,aniorefe_b,rnsnni1,totalca1
30041,2,2,NA
30042,1,2,NA
30042,2,2,NA
30043,1,9,NSS
30043,2,2,NA
30044,1,9,NSS
30044,2,2,NA
30045,1,2,NA
30045,2,2,NA
30046,1,2,NA
30046,2,2,NA
30047,1,2,NA
30047,2,2,NA
30048,1,9,NSS
30048,2,2,NA
30049,1,2,NA
30049,2,2,NA
30050,1,2,NA
30050,2,2,NA
30051,1,2,NA
30051,2,2,NA
30052,1,2,NA
30052,2,2,NA
30053,1,2,NA
30053,2,2,NA
30054,1,2,NA
30054,2,2,NA
30055,1,9,NSS
30055,2,2,NA
30056,1,2,NA
30056,2,2,NA
30057,1,9,NSS
30057,2,2,NA
30058,1,9,NSS
30058,2,2,NA
30059,1,2,NA
30059,2,2,NA
30060,1,2,NA
30060,2,2,NA
30061,1,9,NSS
30061,2,2,NA
30062,1,9,NSS
30062,2,2,NA
30063,1,2,NA
30063,2,2,NA
30064,1,2,NA
30064,2,2,NA
30065,1,2,NA
30065,2,2,NA
30066,1,9,NSS
30066,2,2,NA
30067,1,2,NA
30067,2,2,NA
30068,1,9,NSS
30068,2,9,NSS
30069,1,2,NA
30069,2,2,NA
30070,1,2,NA
30070,2,2,NA
30071,1,9,NSS
30071,2,2,NA
30072,1,2,NA
30072,2,2,NA
30073,1,2,NA
30073,2,2,NA
30074,1,9,NSS
30074,2,9,NSS
30075,1,9,NSS
30075,2,9,NSS
30076,1,2,NA
30076,2,2,NA
30077,1,2,NA
30077,2,2,NA
30078,1,2,NA
30078,2,2,NA
30079,1,2,NA
30079,2,2,NA
30080,1,2,NA
30080,2,2,NA
30081,1,2,NA
30081,2,2,NA
30082,1,9,NSS
30082,2,9,NSS
30083,1,2,NA
30083,2,2,NA
30084,1,2,NA
30084,2,2,NA
30085,1,2,NA
30085,2,2,NA
30086,1,2,NA
30086,2,2,NA
30087,1,2,NA
30087,2,2,NA
30088,1,2,NA
30088,2,2,NA
30089,1,2,NA
30089,2,2,NA
30090,1,2,NA
